year,good,value,movement_type
1749,Bar iron,15,CL
1749,Beans,149,CL
1749,Beans,67,CL
1749,Beeswax,0,CL
1749,Bread,62,CL
1749,Bread,126,CL
1749,Corn,4312,CL
1749,Deer Skins,0,CL
1749,Deer Skins,0,CL
1749,Flour,1005,CL
1749,Gammons,0,CL
1749,Gammons,0,CL
1749,Gammons,9,CL
1749,Ham,5,CL
1749,Heading,13,CL
1749,Heading,2,CL
1749,Heading (hhds),1,CL
1749,Hemp,46,CL
1749,Hoops,0,CL
1749,Indigo,4,CL
1749,Iron,2494,CL
1749,Iron,1,CL
1749,Iron,0,CL
1749,Myrtle wax,0,CL
1749,Negroes,27,CL
1749,Oak timber,2,CL
1749,Oats,77,CL
1749,Peas,36,CL
1749,Pine board,30,CL
1749,Pitch,4,CL
1749,Plank,48,CL
1749,Pork,9,CL
1749,Pork,416,CL
1749,Shingles,0,CL
1749,Ship bread,0,CL
1749,Spars,0,CL
1749,Staves,784,CL
1749,Staves (hhds),3,CL
1749,Tar,9,CL
1749,Tobacco,10,CL
1749,Tobacco,28670,CL
1749,Walnut,0,CL
1749,Walnut board,1,CL
1749,Walnut logs,0,CL
1749,Walnut plank,0,CL
1749,Walnut plank,10,CL
1749,Walnut plank,2,CL
1749,Walnut plank/stock,0,CL
1749,Walnut timber,0,CL
1749,Wheat,3171,CL
1749,Wine,39,CL
1749,Wine,51,CL
1750,Bar iron,0,CL
1750,Bar iron,75,CL
1750,Beans,0,CL
1750,Beans,111,CL
1750,Bread,727,CL
1750,Bread,17,CL
1750,Corn,3954,CL
1750,Corn,300,CL
1750,Deer Skins,0,CL
1750,Deer Skins,1,CL
1750,Flour,457,CL
1750,Flour,403,CL
1750,Furs,0,CL
1750,Furs,0,CL
1750,Fyall wine,157,CL
1750,Ham,4,CL
1750,Heading,16,CL
1750,Heading and staves,25,CL
1750,Hoops,0,CL
1750,Inch plank,14,CL
1750,Indigo,0,CL
1750,Iron,3631,CL
1750,Oak,1,CL
1750,Oak plank,6,CL
1750,Peas,2,CL
1750,Peas,42,CL
1750,Peas/beans,3,CL
1750,Pig iron,72,CL
1750,Pine board,3,CL
1750,Pine plank,22,CL
1750,Plank,20,CL
1750,Plank,31,CL
1750,Pork,341,CL
1750,Ship bread,8,CL
1750,Skins,0,CL
1750,Staves,286,CL
1750,Staves,308,CL
1750,Staves (barrels),10,CL
1750,Staves (hhds),115,CL
1750,Staves (hhds),210,CL
1750,Staves (pipe),18,CL
1750,Tar,4,CL
1750,Tobacco,50640,CL
1750,Tobacco,7,CL
1750,Walnut logs,0,CL
1750,Walnut plank,4,CL
1750,Walnut plank,8,CL
1750,Walnut plank,0,CL
1750,Wheat,2365,CL
1751,Beef,14,CL
1751,Bread,570,CL
1751,Bread,0,CL
1751,Bread,18,CL
1751,Bread,2,CL
1751,Brown sugar,6,CL
1751,Corn,927,CL
1751,Flaxseed,0,CL
1751,Flour,2537,CL
1751,Fyall wine,301,CL
1751,Heading,11,CL
1751,Heading,5,CL
1751,Heading (hhds),7,CL
1751,Heading,2,CL
1751,Hoops,0,CL
1751,Hoops,0,CL
1751,Hoops,0,CL
1751,Inch oak plank,1,CL
1751,Inch pine plank,3,CL
1751,Inch plank,27,CL
1751,Iron,3329,CL
1751,Lumber,2,CL
1751,Pig iron,147,CL
1751,Plank,21,CL
1751,Plank,20,CL
1751,Pork,6,CL
1751,Rum,32,CL
1751,Salt,4,CL
1751,Shingles,0,CL
1751,Shingles,0,CL
1751,Ship bread,4,CL
1751,Ship bread,44,CL
1751,Staves,49,CL
1751,Staves,145,CL
1751,Staves (hhds),286,CL
1751,Staves (hhds),160,CL
1751,Staves (pipe),7,CL
1751,Tobacco,50421,CL
1751,Tobacco,24,CL
1751,Two inch oak plank,0,CL
1751,Walnut,0,CL
1751,Walnut plank,3,CL
1751,Wheat,1538,CL
1752,Bacon,2,CL
1752,Bar iron,30,CL
1752,Beans,9,CL
1752,Beans,1,CL
1752,Beans,1,CL
1752,Beef,5,CL
1752,Bread,1168,CL
1752,Bread,12,CL
1752,Bread,16,CL
1752,Bread,0,CL
1752,Cheese,0,CL
1752,Chocolate,0,CL
1752,Coffee,0,CL
1752,Corn,3048,CL
1752,Corn,153,CL
1752,Flaxseed,0,CL
1752,Flour,2217,CL
1752,Flour,46,CL
1752,Four inch walnut plank,0,CL
1752,Hams,0,CL
1752,Heading,65,CL
1752,Heading (hhds),2,CL
1752,Heading (hhds),1277,CL
1752,Heading,1,CL
1752,Hemp,0,CL
1752,Iron,0,CL
1752,Iron,3422,CL
1752,Madeira,0,CL
1752,Madeira,361,CL
1752,Molasses,6,CL
1752,Oak plank,3,CL
1752,Peas,0,CL
1752,Peas,4,CL
1752,Pig iron,1,CL
1752,Pine plank,2,CL
1752,Pine plank,11,CL
1752,Plank,2,CL
1752,Pork,35,CL
1752,Rum,142,CL
1752,Salt,21,CL
1752,Shingles,0,CL
1752,Ship bread,144,CL
1752,Ship bread,0,CL
1752,Skins,0,CL
1752,Staves,565,CL
1752,Staves,82,CL
1752,Staves (hhds),243,CL
1752,Sugar,13,CL
1752,Tobacco,1395,CL
1752,Tobacco,49375,CL
1752,Tobacco,84,CL
1752,Walnut logs,0,CL
1752,Walnut plank,2,CL
1752,Walnut plank,0,CL
1752,Wheat,2831,CL
1752,White oak board,1,CL
1752,Wine,18,CL
1753,Bar iron,1343,CL
1753,Bar iron,6,CL
1753,Beans,1,CL
1753,Beans,3,CL
1753,Beans,15,CL
1753,Biscuits,0,CL
1753,Biscuits,18,CL
1753,Bread,1494,CL
1753,Bread,11,CL
1753,Corn,2003,CL
1753,Corn,2,CL
1753,Deer Skin,0,CL
1753,Flaxseed,0,CL
1753,Flour,2046,CL
1753,Heading,32,CL
1753,Inch plank,6,CL
1753,Iron,1700,CL
1753,Iron,0,CL
1753,Peas,2,CL
1753,Pig iron,119,CL
1753,Pine plank,12,CL
1753,Plank,14,CL
1753,Pork,23,CL
1753,Rum,6,CL
1753,Rum,10,CL
1753,Rum,18,CL
1753,Salt,0,CL
1753,Shingles,0,CL
1753,Shingles,0,CL
1753,Skins,0,CL
1753,Skins,0,CL
1753,Staves,965,CL
1753,Staves,82,CL
1753,Staves (hhds),33,CL
1753,Tar,8,CL
1753,Tobacco,13841,CL
1753,Tobacco,52,CL
1753,Turpentine,34,CL
1753,Walnut plank,3,CL
1753,Walnut plank,0,CL
1753,Walnut plank,1,CL
1753,Wheat,8065,CL
1754,Bacon and ham,4,CL
1754,Bar iron,157,CL
1754,Bar iron,25,CL
1754,Beans,31,CL
1754,Beans,5,CL
1754,Boards,5,CL
1754,Bread,658,CL
1754,Corn,2665,CL
1754,Corn,374,CL
1754,Deer Skins,0,CL
1754,Flaxseed,0,CL
1754,Flaxseed,0,CL
1754,Flaxseed,107,CL
1754,Flour,1673,CL
1754,Furs,0,CL
1754,Gammons,2,CL
1754,Hoops,0,CL
1754,Inch pine plank,3,CL
1754,Iron,1822,CL
1754,Madeira,34,CL
1754,Molasses,6,CL
1754,Negroes,99,CL
1754,Oak plank,5,CL
1754,Peas,1,CL
1754,Peas,1,CL
1754,Pig iron,300,CL
1754,Pine plank,5,CL
1754,Plank,69,CL
1754,Pork,140,CL
1754,Pork,12,CL
1754,Rum,50,CL
1754,Scantling,14,CL
1754,Shingles,0,CL
1754,Shingles (cypress),0,CL
1754,Ship biscuit,0,CL
1754,Skins,0,CL
1754,Staves,44,CL
1754,Staves,1582,CL
1754,Timber,0,CL
1754,Tobacco,24,CL
1754,Tobacco,44673,CL
1754,Walnut logs,0,CL
1754,Walnut logs,0,CL
1754,Walnut plank,6,CL
1754,Wheat,2148,CL
1755,Bacon and ham,6,CL
1755,Beans,5,CL
1755,Beans,8,CL
1755,Beans,23,CL
1755,Beans,0,CL
1755,Beeswax,0,CL
1755,Biscuits,115,CL
1755,Boat boards,4,CL
1755,Bread,786,CL
1755,Corn,2467,CL
1755,Corn,589,CL
1755,Flaxseed,0,CL
1755,Flaxseed,1,CL
1755,Flaxseed,0,CL
1755,Flour,1957,CL
1755,Ham,22,CL
1755,Handspikes,0,CL
1755,Inch plank,2,CL
1755,Indian corn,738,CL
1755,Iron,3094,CL
1755,Logs,0,CL
1755,Molasses,2,CL
1755,Oak logs,0,CL
1755,Oak logs,0,CL
1755,Oak plank,0,CL
1755,Peas,1,CL
1755,Peas,12,CL
1755,Peas/beans,3,CL
1755,Pine plank,18,CL
1755,Plank,47,CL
1755,Pork,151,CL
1755,Rum,2,CL
1755,Rum,5,CL
1755,Shingles,0,CL
1755,Skins,0,CL
1755,Staves,227,CL
1755,Staves and heading,1520,CL
1755,Sugar,4,CL
1755,Tobacco,11,CL
1755,Tobacco,27849,CL
1755,Walnut logs,0,CL
1755,Walnut logs,0,CL
1755,Walnut logs,0,CL
1755,Walnut plank,38,CL
1755,Wheat,3164,CL
1756,Beans,6,CL
1756,Beef,10,CL
1756,Beeswax,0,CL
1756,Boat boards,7,CL
1756,Bread,3,CL
1756,Bread,71,CL
1756,Bread,412,CL
1756,Corn,174,CL
1756,Flaxseed,0,CL
1756,Flaxseed,0,CL
1756,Flour,1381,CL
1756,Flour,990,CL
1756,Ham,4,CL
1756,Heading and staves,6,CL
1756,Indian corn,3497,CL
1756,Iron,1541,CL
1756,Madeira,6,CL
1756,Negroes,463,CL
1756,Oak plank,2,CL
1756,Peas,1,CL
1756,Peas,64,CL
1756,Pine board,3,CL
1756,Plank,12,CL
1756,Pork,42,CL
1756,Pork,7,CL
1756,Salt,99,CL
1756,Shingles,0,CL
1756,Staves and heading,412,CL
1756,Timber,0,CL
1756,Tobacco,16054,CL
1756,Turpentine,3,CL
1756,Walnut logs,0,CL
1756,Walnut plank,5,CL
1756,Wheat,5296,CL
1757,Bread,1410,CL
1757,Deer skins (raw),0,CL
1757,Flaxseed,324,CL
1757,Flour,3000,CL
1757,Inch plank,0,CL
1757,Indian corn,1138,CL
1757,Iron,2461,CL
1757,Oak board,1,CL
1757,Peas,15,CL
1757,Pine plank,1,CL
1757,Poles (hoop),0,CL
1757,Pork,37,CL
1757,Shingles,0,CL
1757,Shingles (cypress),0,CL
1757,Ship bread,6,CL
1757,Ship bread,3,CL
1757,Ship bread,15,CL
1757,Ship bread,145,CL
1757,Staves,12,CL
1757,Staves and heading,368,CL
1757,Staves and shingles,1,CL
1757,Tobacco,33785,CL
1757,Walnut plank,2,CL
1757,Walnut plank,2,CL
1757,Wheat,4148,CL
1758,Beans,33,CL
1758,Beeswax,0,CL
1758,Bread,6,CL
1758,Bread,49,CL
1758,Bread,18,CL
1758,Bread,2575,CL
1758,Bread,5,CL
1758,Bread and flour,209,CL
1758,Corn,44,CL
1758,Flaxseed,0,CL
1758,Flour,4342,CL
1758,Gammons,10,CL
1758,Ham,0,CL
1758,Ham,4,CL
1758,Hemp,28,CL
1758,Hickory wood,0,CL
1758,Inch boards,0,CL
1758,Indian corn,1674,CL
1758,Iron,3157,CL
1758,Mahogany plank,1,CL
1758,Peas,0,CL
1758,Peas,1,CL
1758,Pine board,2,CL
1758,Pine boards,2,CL
1758,Pine plank,2,CL
1758,Pork,363,CL
1758,Rye,24,CL
1758,Shingles,0,CL
1758,Shingles (cypress),0,CL
1758,Ship bread,0,CL
1758,Staves and heading,1045,CL
1758,Timber logs,0,CL
1758,Tobacco,41406,CL
1758,Walnut plank,8,CL
1758,Wheat,11949,CL
1758,White beans,18,CL
1759,Beans,4,CL
1759,Beans,15,CL
1759,Beans,0,CL
1759,Beef,19,CL
1759,Beeswax,0,CL
1759,Bread,2642,CL
1759,Flaxseed,0,CL
1759,Flaxseed,0,CL
1759,Flour,4654,CL
1759,Gammons,5,CL
1759,Gammons,2,CL
1759,Ham,2,CL
1759,Ham,27,CL
1759,Hoops,0,CL
1759,Indian corn,1674,CL
1759,Iron,2405,CL
1759,Iron,0,CL
1759,Oak plank,1,CL
1759,Peas,0,CL
1759,Peas,15,CL
1759,Pine boards,0,CL
1759,Pitch,0,CL
1759,Plank,32,CL
1759,Pork,386,CL
1759,Racoon skins,0,CL
1759,Rye,19,CL
1759,Shingles,0,CL
1759,Shingles (cypress),0,CL
1759,Staves and heading,572,CL
1759,Staves and shingles,26,CL
1759,Tar,0,CL
1759,Tobacco,33635,CL
1759,Turpentine,3,CL
1759,Wheat,5823,CL
1760,Bacon,2,CL
1760,Beans,10,CL
1760,Bread,41,CL
1760,Bread,2626,CL
1760,Coffee,0,CL
1760,Corn,42,CL
1760,Flaxseed,0,CL
1760,Flaxseed,0,CL
1760,Flaxseed,0,CL
1760,Flaxseed,240,CL
1760,Flour,5,CL
1760,Flour,10025,CL
1760,Ham,11,CL
1760,Hemp,58,CL
1760,Hoops,0,CL
1760,Inch oak plank,13,CL
1760,Inch plank,2,CL
1760,Indian corn,5278,CL
1760,Iron,0,CL
1760,Iron,5482,CL
1760,Madeira,4,CL
1760,Madeira,191,CL
1760,Molasses,378,CL
1760,Peas,26,CL
1760,Pine board,11,CL
1760,Pine plank,13,CL
1760,Plank,6,CL
1760,Poles (hoop),0,CL
1760,Pork,205,CL
1760,Shingles,0,CL
1760,Ship bread,377,CL
1760,Staves and heading,1458,CL
1760,Sugar,191,CL
1760,Sugar,44,CL
1760,Tar,3,CL
1760,Tobacco,71274,CL
1760,Turpentine,37,CL
1760,Walnut plank,1,CL
1760,Wheat,7584,CL
1761,Bacon,6,CL
1761,Beans,195,CL
1761,Beef,14,CL
1761,Beeswax,0,CL
1761,Boards,4,CL
1761,Bread,0,CL
1761,Bread,2969,CL
1761,Corn,263,CL
1761,Deer Skin,0,CL
1761,Flaxseed,0,CL
1761,Flaxseed,0,CL
1761,Flour,9694,CL
1761,Gammons,9,CL
1761,Ham,4,CL
1761,Hemp,104,CL
1761,Hemp,107,CL
1761,Hoops,0,CL
1761,Indian corn,2856,CL
1761,Iron,4087,CL
1761,Iron,0,CL
1761,Molasses,28,CL
1761,Oats,7,CL
1761,Peas,1,CL
1761,Peas,5,CL
1761,Pine board,32,CL
1761,Plank,10,CL
1761,Poles (hoop),0,CL
1761,Pork,124,CL
1761,Racoon skins,0,CL
1761,Rum,143,CL
1761,Rye,0,CL
1761,Salt,405,CL
1761,Salt,28,CL
1761,Shingles,0,CL
1761,Ship bread,4,CL
1761,Skins,0,CL
1761,Staves and heading,2614,CL
1761,Staves and shingles,14,CL
1761,Sugar,385,CL
1761,Sugar,668,CL
1761,Sugar,3993,CL
1761,Tobacco,56404,CL
1761,Tobacco,9,CL
1761,Turpentine,1,CL
1761,Walnut plank,9,CL
1761,Walnut plank,0,CL
1761,Walnut planks,0,CL
1761,Wheat,5163,CL
1761,Wine,28,CL
1762,Beans,2,CL
1762,Beans,16,CL
1762,Beef,5,CL
1762,Bread,3,CL
1762,Bread,2421,CL
1762,Bread,10,CL
1762,Cherry tree plank,3,CL
1762,Chocolate,0,CL
1762,Corn,776,CL
1762,Deer Skin,0,CL
1762,Flaxseed,0,CL
1762,Flour,7994,CL
1762,Furs and skins,0,CL
1762,Ham,3,CL
1762,Ham,10,CL
1762,Hams,0,CL
1762,Hoops,0,CL
1762,Indian corn,1109,CL
1762,Indigo,0,CL
1762,Iron,0,CL
1762,Iron,4060,CL
1762,Loaf sugar,0,CL
1762,Loaf sugar,0,CL
1762,Loaf sugar,0,CL
1762,Molasses,0,CL
1762,Molasses,0,CL
1762,Peas,4,CL
1762,Pine board,15,CL
1762,Pine plank,6,CL
1762,Pitch,5,CL
1762,Plank,35,CL
1762,Pork,5,CL
1762,Pork,1069,CL
1762,Rum,13,CL
1762,Rum,129,CL
1762,Rye,2,CL
1762,Salt,80,CL
1762,Shingles,0,CL
1762,Shingles (cypress),0,CL
1762,Ship bread,7,CL
1762,Ship bread,14,CL
1762,Skins,0,CL
1762,Skins,0,CL
1762,Skins,0,CL
1762,Staves,698,CL
1762,Staves (hhds),13,CL
1762,Staves and heading,1434,CL
1762,Sugar,112,CL
1762,Tobacco,11,CL
1762,Tobacco,44334,CL
1762,Turpentine,16,CL
1762,Walnut,1,CL
1762,Walnut boards,4,CL
1762,Walnut plank,1,CL
1762,Walnut plank,0,CL
1762,Walnut planks,5,CL
1762,Wheat,162,CL
1762,Wine,0,CL
1762,Wine,29,CL
1763,Bacon,18,CL
1763,Bar iron,1701,CL
1763,Beans,16,CL
1763,Beef,9,CL
1763,Beeswax,0,CL
1763,Biscuits,0,CL
1763,Bread,12,CL
1763,Bread,3604,CL
1763,Bread,47,CL
1763,Bread,19,CL
1763,Corn,2950,CL
1763,Fine bread,31,CL
1763,Flaxseed,0,CL
1763,Flour,11308,CL
1763,Furs and skins,0,CL
1763,Fyall wine,82,CL
1763,Fyall wine,62,CL
1763,Ham,8,CL
1763,Ham,0,CL
1763,Handspikes,0,CL
1763,Heading,14,CL
1763,Heading (hhds),18,CL
1763,Hoops,0,CL
1763,Iron,1082,CL
1763,Mahogany planks,0,CL
1763,Molasses,12,CL
1763,Negroes,0,CL
1763,Oak plank,0,CL
1763,Oak timber,0,CL
1763,Oats,14,CL
1763,Peas,1,CL
1763,Peas,9,CL
1763,Pig iron,1804,CL
1763,Pine board,6,CL
1763,Pine plank,90,CL
1763,Planks,3,CL
1763,Poles (hoop),0,CL
1763,Poplar timber,0,CL
1763,Pork,164,CL
1763,Rum,73,CL
1763,Rye,1,CL
1763,Salt,13,CL
1763,Scantling,6,CL
1763,Shingles,0,CL
1763,Shingles (cypress),0,CL
1763,Ship bread,128,CL
1763,Staves,1375,CL
1763,Staves (barrels),0,CL
1763,Staves (hhds),613,CL
1763,Staves (pipes),22,CL
1763,Staves and heading,645,CL
1763,Sugar,83,CL
1763,Sugar,3,CL
1763,Sugar,406,CL
1763,Tar,4,CL
1763,Tobacco,43247,CL
1763,Turpentine,18,CL
1763,Walnut plank,5,CL
1763,Walnut planks,6,CL
1763,Walnut timber,1,CL
1763,Wheat,5,CL
1763,Wheat,578,CL
1764,Bar iron,3,CL
1764,Beans,4,CL
1764,Beeswax,0,CL
1764,Biscuits,42,CL
1764,Bread,89,CL
1764,Bread,100,CL
1764,Bread,4319,CL
1764,Brown sugar,8,CL
1764,Cedar,1,CL
1764,Cedar,1,CL
1764,Corn,6995,CL
1764,Flaxseed,0,CL
1764,Flour,8974,CL
1764,French Guineas,14,CL
1764,French Pistoles,5,CL
1764,Guineas,175,CL
1764,Half Johannes,18,CL
1764,Handspikes,0,CL
1764,Hoops,0,CL
1764,Hoops,0,CL
1764,Indian corn,24,CL
1764,Iron,2410,CL
1764,Iron,2,CL
1764,Iron,0,CL
1764,Lumber,5,CL
1764,Madeira,2,CL
1764,Mahogany planks,1,CL
1764,Mahogany posts,0,CL
1764,Molasses,19,CL
1764,Muscovado sugar,13,CL
1764,Oak,0,CL
1764,Oak plank,16,CL
1764,Peas,3,CL
1764,Pine plank,13,CL
1764,Plank,58,CL
1764,Poplar plank,5,CL
1764,Pork,187,CL
1764,Rice,0,CL
1764,Rum,59,CL
1764,Rum,99,CL
1764,Salt,0,CL
1764,Shingles,0,CL
1764,Skins,0,CL
1764,Skins,0,CL
1764,Spanish Dollars,1610,CL
1764,Spanish Pistoles,46,CL
1764,Staves and heading,1841,CL
1764,Sugar,498,CL
1764,Sugar,8,CL
1764,Tar,9,CL
1764,Tobacco,33725,CL
1764,Walnut,0,CL
1764,Walnut logs,1,CL
1764,Walnut logs,0,CL
1764,Walnut plank,0,CL
1764,Walnut plank,15,CL
1764,Wheat,5853,CL
1765,Bacon,3,CL
1765,Bar iron,0,CL
1765,Beans,32,CL
1765,Beef,7,CL
1765,Beeswax,0,CL
1765,Bread,217,CL
1765,Bread,5227,CL
1765,Calf skins,0,CL
1765,Corn,5255,CL
1765,Flaxseed,0,CL
1765,Flaxseed,0,CL
1765,Flour,13382,CL
1765,Handspikes,0,CL
1765,Hemp,0,CL
1765,Hoops,0,CL
1765,Iron,2948,CL
1765,Logwood,0,CL
1765,Madeira,0,CL
1765,Madeira,14,CL
1765,Muscovado sugar,645,CL
1765,Negroes,69,CL
1765,Oats,89,CL
1765,Peas,13,CL
1765,Pine planks,1,CL
1765,Plank,98,CL
1765,Planks,3,CL
1765,Pork,321,CL
1765,Portugal wines,0,CL
1765,Rum,33,CL
1765,Rum,28,CL
1765,Shingles,0,CL
1765,Spanish wine,0,CL
1765,Staves and heading,1711,CL
1765,Tar,36,CL
1765,Tobacco,40549,CL
1765,Walnut logs,0,CL
1765,Walnut plank,5,CL
1765,Walnut planks,1,CL
1765,Wheat,10299,CL
1766,Beans,54,CL
1766,Beef,41,CL
