year,WI,NA,GB,IRE,NEU,SEU,AFR,UNK,TOTAL,region,Total,Page,INDEX
1725,0.0,346.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,POCOEN,,,
1726,0.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,POCOEN,,,
1727,0.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,484.0,POCOEN,,,
1728,0.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,POCOEN,,,
1729,0.0,815.0,0.0,0.0,0.0,0.0,0.0,0.0,815.0,POCOEN,,,
1730,123.0,981.0,0.0,0.0,0.0,0.0,0.0,0.0,1104.0,POCOEN,,,
1731,295.0,511.0,0.0,0.0,0.0,0.0,0.0,55.0,861.0,POCOEN,,,
1732,96.0,1366.0,0.0,0.0,0.0,0.0,0.0,0.0,1462.0,POCOEN,,,
1733,461.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,1044.0,POCOEN,,,
1734,19.0,460.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,POCOEN,,,
1735,25.0,494.0,0.0,0.0,0.0,0.0,0.0,0.0,518.0,POCOEN,,,
1736,30.0,528.0,0.0,0.0,0.0,0.0,0.0,0.0,558.0,POCOEN,,,
1737,36.0,561.0,0.0,0.0,0.0,0.0,0.0,0.0,597.0,POCOEN,,,
1738,42.0,595.0,0.0,0.0,0.0,0.0,0.0,0.0,637.0,POCOEN,,,
1739,47.0,629.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,POCOEN,,,
1740,53.0,663.0,0.0,0.0,0.0,0.0,0.0,0.0,716.0,POCOEN,,,
1741,59.0,696.0,0.0,0.0,0.0,0.0,0.0,0.0,755.0,POCOEN,,,
1742,64.0,730.0,0.0,0.0,0.0,0.0,0.0,0.0,794.0,POCOEN,,,
1743,70.0,764.0,0.0,0.0,0.0,0.0,0.0,0.0,834.0,POCOEN,,,
1744,76.0,798.0,0.0,0.0,0.0,0.0,0.0,0.0,873.0,POCOEN,,,
1745,81.0,831.0,0.0,0.0,0.0,0.0,0.0,0.0,913.0,POCOEN,,,
1746,87.0,865.0,0.0,0.0,0.0,0.0,0.0,0.0,952.0,POCOEN,,,
1747,81.0,998.0,0.0,0.0,0.0,0.0,0.0,0.0,1078.0,POCOEN,,,
1748,74.0,1130.0,0.0,0.0,0.0,0.0,0.0,0.0,1205.0,POCOEN,,,
1749,68.0,1263.0,0.0,0.0,0.0,0.0,0.0,0.0,1331.0,POCOEN,,,
1750,379.0,1385.0,0.0,0.0,0.0,0.0,0.0,0.0,1764.0,POCOEN,,,
1751,690.0,1506.0,0.0,0.0,0.0,0.0,0.0,0.0,2196.0,POCOEN,,,
1752,1001.0,1628.0,0.0,0.0,0.0,0.0,0.0,0.0,2629.0,POCOEN,,,
1753,840.0,1386.0,0.0,0.0,0.0,0.0,0.0,0.0,2226.0,POCOEN,,,
1754,679.0,1143.0,0.0,0.0,0.0,0.0,0.0,0.0,1822.0,POCOEN,,,
1755,518.0,901.0,0.0,0.0,0.0,0.0,0.0,0.0,1419.0,POCOEN,,,
1756,357.0,658.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.0,POCOEN,,,
1757,196.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,612.0,POCOEN,,,
1758,343.0,844.0,0.0,0.0,0.0,0.0,0.0,0.0,1187.0,POCOEN,,,
1759,490.0,1271.0,0.0,0.0,0.0,0.0,0.0,0.0,1761.0,POCOEN,,,
1760,174.0,990.0,0.0,0.0,0.0,0.0,0.0,0.0,1164.0,POCOEN,,,
1761,60.0,2256.0,0.0,0.0,0.0,1046.0,0.0,0.0,3362.0,POCOEN,,,
1762,0.0,7498.0,0.0,0.0,0.0,0.0,0.0,0.0,7498.0,POCOEN,,,
1763,354.0,4586.0,0.0,0.0,0.0,0.0,0.0,0.0,4940.0,POCOEN,,,
1764,708.0,1673.0,0.0,0.0,0.0,0.0,0.0,0.0,2381.0,POCOEN,,,
1765,2166.0,3703.0,0.0,0.0,0.0,0.0,0.0,0.0,5869.0,POCOEN,,,
1766,3513.0,1489.0,0.0,0.0,0.0,0.0,0.0,0.0,5002.0,POCOEN,,,
1767,2793.0,1570.0,0.0,0.0,0.0,0.0,0.0,0.0,4363.0,POCOEN,,,
1768,2072.0,1651.0,0.0,0.0,0.0,258.0,0.0,0.0,3981.0,POCOEN,,,
1769,4027.0,4238.0,0.0,0.0,0.0,283.0,0.0,0.0,8548.0,POCOEN,,,
1770,3268.0,3397.0,0.0,0.0,0.0,0.0,0.0,0.0,6664.0,POCOEN,,,
1771,2508.0,2555.0,0.0,0.0,0.0,53.0,0.0,0.0,5116.0,POCOEN,,,
1725,6504.0,1428.0,0.0,800.0,0.0,2236.0,11654.0,0.0,22622.0,PATUEN,,,
1726,3915.0,1025.0,148.0,0.0,0.0,363.0,29596.0,469.0,35516.0,PATUEN,,,
1727,3872.0,1011.0,307.0,0.0,0.0,466.0,0.0,0.0,5656.0,PATUEN,,,
1728,3830.0,997.0,466.0,0.0,0.0,568.0,0.0,0.0,5861.0,PATUEN,,,
1729,3787.0,983.0,626.0,0.0,0.0,671.0,0.0,0.0,6066.0,PATUEN,,,
1730,3744.0,969.0,785.0,0.0,0.0,774.0,5301.0,0.0,11572.0,PATUEN,,,
1731,3782.0,860.0,0.0,0.0,0.0,884.0,0.0,0.0,5526.0,PATUEN,,,
1732,3821.0,751.0,0.0,0.0,0.0,994.0,19217.0,0.0,24783.0,PATUEN,,,
1733,5695.0,834.0,0.0,0.0,0.0,833.0,10446.0,0.0,17809.0,PATUEN,,,
1734,4048.0,1323.0,0.0,0.0,0.0,1573.0,0.0,0.0,6944.0,PATUEN,,,
1735,2400.0,1812.0,0.0,0.0,0.0,2314.0,15348.0,0.0,21874.0,PATUEN,,,
1736,1617.0,390.0,0.0,0.0,0.0,1542.0,25678.0,0.0,29228.0,PATUEN,,,
1737,2182.0,141.0,571.0,0.0,0.0,1553.0,17967.0,0.0,22414.0,PATUEN,,,
1738,1439.0,351.0,0.0,0.0,0.0,1686.0,11466.0,0.0,14942.0,PATUEN,,,
