year,Bar iron,Beans,Beef,Beeswax,Biscuits,Boards,Bread,Bread and flour,Cheese,Chocolate,Coffee,Corn,Cotton,Cotton wool,Deer Skin,Deer Skins,Deer skins (raw),Flaxseed,Flour,Furs,Ginger,Handspikes,Heading,Heading and staves,Hemp,Hoops,Hoops and scantling,Indigo,Iron,Loaf sugar,Lumber,Molasses,Negroes,Oats,Peas,Peas/beans,Pig iron,Pimento,Pitch,Pitch and turpentine,Plank,Planks,Pork,Potatoes,Rice,Rum,Rye,Salt,Shingles,Skins,Spirits,Spirits turpentine,Staves,Staves (barrels),Staves (hhds),Staves (pipes),Staves and heading,Staves and shingles,Sugar,Tar,Tar and turpentine,Tea,Tobacco,Turpentine,Walnut logs,Wheat,Wine,Wrought iron
1725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2172.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,217.0,0.0,0.0,0.0,950.0,0.0,1.0,0.0,1207.3333333333333,0.0,0.0,51.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1480.0,0.0,0.0,3577.8,0.0,0.0,664.0,17.0,0.0
1726,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4254.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,205.0,0.0,0.0,0.0,398.0,0.0,0.0,0.0,1451.5,0.0,0.0,28.333333333333332,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.5,3340.0,0.0,0.0,20905.0,0.0,0.0,1649.0,9.0,0.0
1727,0.0,0.0,21.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4156.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,438.0,0.0,0.0,0.0,208.0,0.0,0.0,0.0,2911.5,0.0,0.0,0.0,0.0,28.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1480.0,0.0,0.0,19440.0,10.0,0.0,603.0,18.0,0.0
1730,0.0,6.0,89.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,0.0,0.0,0.0,322.0,0.0,0.0,0.0,2666.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2205.0,0.0,0.0,19284.0,3.0,0.0,2407.0,180.0,0.0
1731,0.0,9.0,597.0,0.0,0.0,0.0,69.33333333333333,0.0,0.0,0.0,0.0,3677.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,203.0,0.0,6.0,0.0,2400.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,2932.0,0.0,0.0,8860.0,38.0,0.0,1206.0,67.0,0.0
1733,0.0,93.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,9.0,286.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,2630.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3402.0,0.0,0.0,5943.0,0.0,0.0,1013.0,0.0,0.0
1734,0.0,42.0,774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5336.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,6.0,49.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,4661.0,0.0,0.0,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,20.0,3068.0,0.0,0.0,6553.0,226.0,0.0,1326.0,115.0,0.0
1736,0.0,0.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,0.0,3.0,52.0,0.0,0.0,0.0,45.0,0.0,3.0,0.0,5850.0,0.0,0.0,21.0,0.0,57.0,0.0,0.0,0.0,0.0,563.0,3.0,0.0,0.0,0.0,0.0,0.0,1156.0,0.0,0.0,2528.0,225.0,0.0,1809.0,66.0,0.0
1737,0.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3383.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,0.0,8.0,207.0,0.0,0.0,0.0,35.0,0.0,2.0,1.0,3234.0,0.0,0.0,76.33333333333333,2.0,89.0,0.0,0.0,0.0,0.0,332.0,0.0,0.0,0.0,0.0,0.0,7.0,1595.0,0.0,0.0,1431.5,138.0,0.0,1051.0,49.0,0.0
1738,0.0,12.0,952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,479.0,0.0,0.0,0.0,215.0,0.0,105.0,0.0,3181.5,0.0,0.0,60.5,0.0,12.5,0.0,0.0,0.0,0.0,1134.0,0.0,0.0,0.0,0.0,0.0,8.5,2784.0,0.0,0.0,2228.5,123.0,0.0,1040.5,874.5,0.0
