year,Bar iron,Beef,Beeswax,Bread,Cash,Cheese,Chocolate,Coffee,Convicts,Corn,Cotton,Cotton wool,Deer Skin,Dollars,Flour,Ginger,Gold (bar),Gold (dust),Indigo,Iron,Linen,Loaf sugar,Molasses,Negroes,Peas,Pig iron,Pimento,Pitch,Plank,Planks,Pork,Refined sugar,Rice,Rum,Salt,Servants,Ship bread,Silver,Spirits,Staves,Sugar,Tar,Tea,Tobacco,Turpentine,Virginia currency,White sugar,Wine
1725,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.66666666666666,16265.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1377.0,254.0,1000.0,0.0,0.0,0.0,0.0,665.3333333333334,25.0,0.0,0.0,0.0,0.0,0.0,3917.0
1726,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,38702.0,0.0,0.0,0.0,146.0,0.0,0.0,76.0,0.0,0.0,718.0,573.0,0.0,0.0,0.0,0.0,0.0,407.0,110.0,0.0,0.0,85.0,0.0,0.0,539.0
1730,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.5,6999.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,741.25,470.0,0.0,0.0,0.0,0.0,0.0,338.25,1.0,0.0,0.0,197.0,0.0,0.0,1449.0
1732,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.0,25084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,702.5,499.0,0.0,0.0,0.0,0.0,0.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,529.6666666666666
1733,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.5,16502.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,891.0,370.0,0.0,0.0,0.0,0.0,2.0,249.0,7.0,0.0,0.0,0.0,0.0,0.0,471.6666666666667
1735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,19185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,908.4,691.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,656.0
1736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.666666666666664,32173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.25,321.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,642.6666666666666
1737,0.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,22459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739.0,122.0,0.0,0.0,0.0,0.0,0.0,471.0,0.0,0.0,0.0,0.0,0.0,0.0,791.0
1738,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.5,14439.0,1.0,0.0,0.0,0.0,0.0,0.0,241.0,0.0,0.0,353.3333333333333,325.0,0.0,0.0,0.0,0.0,0.0,209.5,0.0,0.0,0.0,0.0,0.0,0.0,619.0
1739,0.0,2.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1364.0,0.0,0.0,0.0,337.5,15425.0,1.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,556.5,474.0,0.0,0.0,0.0,0.0,0.0,1030.0,37.0,0.0,0.0,0.0,0.0,0.0,1128.6666666666667
