Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Montserrat,WI,,Bermuda,Boston,New London,New York,North Carolina,Rhode Island,South Carolina,NA,,London,Bideford,Bristol,Falmouth,Liverpool,Southampton,Leith,GB,,TOTAL,
,,1757,,,,Sterling,,,,,Quantity,Value,,,,,,,,Quantity,Value,,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claret,tierces,39.46,,,166.07,0,,,,,0,0,,,,36,,,,36,0,,,,,,,,0,0,36,0
Coffee,casks,,,,166.07,0,,,,,0,0,,,,7,,,,7,0,,,,,,,,0,0,7,0
Convicts,,12.03636364,,1,100,12.03636364,,,,,0,0,,,,,,,,0,0,46,5,139,84,,,,274,3298,274,3298
Cotton,pounds,1.52,,0.05,166.07,0.045763835,400,,,,400,18,,,,,20,,,20,1,,,,,,,,0,0,420,19
Indigo,pounds,10.58,,0.05,166.07,0.318540375,,,,,0,0,,,,,103,,,103,33,,,,,,,,0,0,103,33
Indigo,kegs,10.58,,,166.07,0,,,,,0,0,,,1,,,,,1,0,,,,,,,,0,0,1,0
Indigo,barrels,10.58,,,166.07,0,,,,,0,0,,,1,,,,,1,0,,,,,,,,0,0,1,0
Loaf sugar,barrels,1.05,,6.25,166.07,3.951646896,,,,,0,0,,6,,,,,,6,24,,,,,,,,0,0,6,24
Loaf sugar,hhds,1.05,,25,166.07,15.80658758,,,,,0,0,,2,,,,,,2,32,,,,,,,,0,0,2,32
Molasses,gallons,2.45,,0.05,166.07,0.073764075,,267,,,267,20,,,,,,,,0,0,,,,,,,,0,0,267,20
Molasses,hhds,2.45,,5.05,166.07,7.450171614,14,,,,14,104,4,19,,,,,,23,171,,,,,,,,0,0,37,275
Molasses,tierces,2.45,,3.05,166.07,4.499608599,,,,,0,0,,2,,,,,,2,9,,,,,,,,0,0,2,9
Molasses,barrels,2.45,,1.45,166.07,2.139158186,,,,,0,0,,2,,,,,,2,4,,,,,,,,0,0,2,4
Muscovado sugar,barrels,47.99,,0.15,166.07,4.334617932,24,,,,24,104,,,,,,,,0,0,,,,,,,,0,0,24,104
Pitch,barrels,15.19,,0.05,166.07,0.457337267,,,,,0,0,,,,,1,,,1,0,,,,,,,,0,0,1,0
Pork,barrels,60.94,,0.05,166.07,1.834768471,,,,,0,0,,,,,47,,,47,86,,,,,,,,0,0,47,86
Rice,barrels,14.84,,,166.07,0,,,,,0,0,,,,,33,,40,73,0,,,,,,,,0,0,73,0
Rum,hhds,3.17,,5.25,166.07,10.02137653,,,55,,55,551,,,,,,,,0,0,,,,,,,,0,0,55,551
Rum,gallons,3.17,,0.05,166.07,0.095441681,1137,6570,15180,5735,28622,2732,1578,840,412,200,,614,400,4044,386,,,,,,,,0,0,32666,3118
Salt,M bushels,2.695,,50,166.07,81.14048293,,,,,0,0,,,,2.25,,,,2.25,183,,,,,,,,0,0,2.25,183
Salt,hhds,2.695,,0.35,166.07,0.567983381,,,,,0,0,,21,,,,,,21,12,,,,,,,,0,0,21,12
Salt,bushels,2.695,,0.05,166.07,0.081140483,2600,800,,,3400,276,800,750,,600,,400,,2550,207,,50,2400,,5880,5400,,13730,1114,19680,1597
Servants,,12.03636364,,1,100,12.03636364,,,,,0,0,,,,,,,,0,0,8,1,14,,5,,33,61,734,61,734
Shingles,,,,,166.07,0,,,,,0,0,,,,,5000,,,5000,0,,,,,,,,0,0,5000,0
Sugar,hhds,47.99,,0.632142857,166.07,18.26731843,2,,,,2,37,,,7,21,,,,28,511,,,,,,,,0,0,30,548
Sugar,tierces,47.99,,0.489285714,166.07,14.13911087,1,,,,1,14,,,,,,,,0,0,,,,,,,,0,0,1,14
Sugar,loaves,1.05,,,166.07,0,,,5,,5,0,,,,,,,,0,0,,,,,,,,0,0,5,0
Sugar,pounds,47.99,,0.000446429,166.07,0.012900649,,6378,20552,2493,29423,380,,,,3360,,,1101,4461,58,,,,,,,,0,0,33884,438
Sugar,barrels,47.99,,0.15,166.07,4.334617932,9,,40,,49,212,,1,,,,,,1,4,,,,,,,,0,0,50,216
Sugar,casks,47.99,,0.15,166.07,4.334617932,,,,,0,0,,,,66,,,,66,286,,,,,,,,0,0,66,286
Tar,barrels,9.85,,0.05,166.07,0.296561691,,,,,0,0,,,,,131,,,131,39,,,,,,,,0,0,131,39
Turpentine,barrels,14.88,,0.05,166.07,0.448003854,,,,,0,0,,,,,145,,,145,65,,,,,,,,0,0,145,65
Wine,gallons,39.46,,0.007936508,166.07,0.188579878,,,,,0,0,,,55,30,,,,85,16,,,,,,,,0,0,85,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,4448,,,,,,,,,2127,,,,,,,,,5146,,11721
