Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Grenadoes,Hispaniola,Jamaica,Montserrat,St. Croix,St. Eustatia,St. Kitts,St. Martins,St. Thomas,St. Vincents,Tortola,WI,,New Providence,Turks Island,Bermuda,Boston,Falmouth,Lewis Town,New York,Newcastle DE,North Carolina,Philadelphia,Piscataqua,Plymouth,Rhode Island,Salem,St. Augustine,NA,,London,Bristol,Liverpool,Newcastle,GB,,Belfast,Cork,Dublin,Galway,Larne,Limerick,Londonderry,Newry,Waterford,IRE,,Isle of May,Madeira,SEU,,TOTAL,
,,1774,,,,Sterling,,,,,,,,,,,,,,Quantity,Value,,,,,,,,,,,,,,,,Quantity,Value,,,,,Quantity,Value,,,,,,,,,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barley,bushels,2.83,,0.05,169.46,0.083500531,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,50,,50,4,,,,,0,0,,,,,,,,,,0,0,,,0,0,50,4
Beef,barrels,54.31,,0.05,169.46,1.602443054,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,45,45,72,,,0,0,45,72
Beeswax,pounds,,,,169.46,0,,,,,,,,,,,,,,0,0,,,,,,,,,50,,,,,,,50,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,50,0
Board,feet,10.96,,0.0005,169.46,0.003233801,,,,,,,,,,,,,,0,0,,,,,,,,,,,6000,,,,,6000,19,,,,,0,0,,,,,,,,,,0,0,,,0,0,6000,19
Boards,,,,,169.46,0,,,,,,,,,,,,,,0,0,,,,3500,,,,,,,,,,,,3500,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,3500,0
Braziletto,tons,,,,169.46,0,,,,10,,,,,,,,,,10,0,6,,,,,,,,,,,,,,,6,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,16,0
Bread,kegs,30.93,,0.044642857,169.46,0.814825665,,,,,,,,,,,,,,0,0,,,,,,,40,,,,,,,,,40,33,,,,,0,0,,,,,,,,,,0,0,,,0,0,40,33
Bread,barrels,30.93,,0.089285714,169.46,1.629651329,,,,,,,,,,,,,,0,0,,,,,,,,,,1,,,,,,1,2,,,,,0,0,,,,,,,,,,0,0,,,0,0,1,2
Brown sugar,hhds,55.56,,0.646875,169.46,21.20876608,,,,,,,,,,,,,,0,0,,,,,,,,,,2,,,,,,2,42,,,,,0,0,,,,,,,,,,0,0,,,0,0,2,42
Brown sugar,barrels,55.56,,0.15,169.46,4.917974743,,,,,,,27,,,,,2,,29,143,,,,,,,,,,49,,,,17,,66,325,,,,,0,0,,,,,,,,,,0,0,,,0,0,95,468
Brown sugar,tierces,55.56,,0.495089286,169.46,16.23224402,,,,,,,31,,,,,2,,33,536,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,33,536
Brown sugar,pounds,55.56,,0.000446429,169.46,0.01463683,10200,,,,,,,14000,,,,,,24200,354,,2800,,,,,,,,,1344,,,,,4144,61,,,,,0,0,,,,,,,,,,0,0,,,0,0,28344,415
Calves skins,,,,,169.46,0,,,,,,,,,,,,,,0,0,,,,200,,,,,,,,,,,,200,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,200,0
Cheese,pounds,,,,169.46,0,,,,,,,,,,,,,,0,0,,,,1400,,,,,,,,,,,,1400,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,1400,0
Cheese,cwt,,,,169.46,0,,,,,,,,,,,,,,0,0,,,,5,,,,,,,,,15,,,20,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,20,0
Chocolate,boxes,,,,169.46,0,,,,,,,,,,,,,,0,0,,,,34,,,,,,,,,,27,,61,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,61,0
Chocolate,pounds,,,,169.46,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,200,400,,,,600,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,600,0
Coffee,cwt,,,,169.46,0,,,,,52,,,,,,,,,52,0,,,,,,,,,,8,,,,,,8,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,60,0
Coffee,pounds,,,,169.46,0,,,,,42,,,,,,,,,42,0,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,42,0
Coffee,quarters,,,,169.46,0,,,,,5,,,,,,,,,5,0,,,,,,,,,,1,,,,,,1,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,6,0
Coffee,barrels,,,,169.46,0,,,,,6,,,,,,,,,6,0,,,,,,,,,,1,,,,,,1,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,7,0
Coffee,casks,,,,169.46,0,,,,,21,,,,,,,,,21,0,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,21,0
Convicts,,16.02909091,,1,100,16.02909091,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,0,0,342,136,21,8,507,8127,,,,,,,,,,0,0,,,0,0,507,8127
Cotton,pounds,1.48,,0.05,169.46,0.043668122,,,,,,,,,,,,,,0,0,2000,,,,,,,,,,,,,,,2000,87,,,,,0,0,,,,,,,,,,0,0,,,0,0,2000,87
Cotton,bales,1.48,,,169.46,0,,,,,,,,,,,3,,4,7,0,,,,,,,2,,,,,,,,,2,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,9,0
Cotton,bags,1.48,,6,169.46,5.240174672,,,,,4,,,,,,,,,4,21,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,4,21
Cotton wool,pounds,1.48,,0.05,169.46,0.043668122,,,,,,,,,,,,,,0,0,2200,,,,,,,,,,,,,,,2200,96,,,,,0,0,,,,,,,,,,0,0,,,0,0,2200,96
Hides,,,,,169.46,0,,,,,202,,,,,,,,,202,0,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,202,0
Hides (raw),,,,,169.46,0,,,,250,,,,,,,,,,250,0,226,,,,,,,,,,,,,,,226,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,476,0
Indigo,pounds,,,,169.46,0,,,,,423,,,,,,,,,423,0,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,423,0
Leather,hhds,,,,169.46,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,1,,1,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,1,0
Leather,bundles,,,,169.46,0,,,,,,,,,,,,,,0,0,,,,16,,,,,,,,,,53,,69,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,69,0
Leather,sides,,,,169.46,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,120,,120,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,120,0
Leather (sole),sides,,,,169.46,0,,,,,,,,,,,,,,0,0,,,,8,,,,,,,,,,80,,88,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,88,0
Leather (sole),pounds,,,,169.46,0,,,,,,,,,,,,,,0,0,,,,2000,,,,,,,,,,3000,,5000,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,5000,0
Leather (sole),cwt,,,,169.46,0,,,,,,,,,,,,,,0,0,,,,8,,,,,,,,,,,,8,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,8,0
Linen,boxes,,,,169.46,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,2,,,,,,,2,0,,,0,0,2,0
Linen,yards,,,,169.46,0,,,,,,,,,,,,,,0,0,,2463,,,,,,,,,,,,,,2463,0,,,985,,985,0,,350,23359,,4730,,,,,28439,0,,,0,0,31887,0
Linen,pieces,,,,169.46,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,120,,,,,,,120,0,,,0,0,120,0
Loaf sugar,hhds,1.02,,25,169.46,15.04779889,,,,,,,,,,,,,,0,0,,,,,,,,,,2,,,,,,2,30,,,,,0,0,,,,,,,,,,0,0,,,0,0,2,30
Loaf sugar,pounds,1.02,,0.05,169.46,0.030095598,,,,,,,,,,,,,,0,0,,,,18717,,,,,,,,,,1000,,19717,593,,,,,0,0,,,,,,,,,,0,0,,,0,0,19717,593
Loaf sugar,barrels,1.02,,6.25,169.46,3.761949723,,,,,,,,,,,,,,0,0,,,,,,,,,,1,,,,,,1,4,,,,,0,0,,,,,,,,,,0,0,,,0,0,1,4
Loaf sugar,casks,1.02,,6.25,169.46,3.761949723,,,,,,,,,,,,,,0,0,,,,,,,,,,2,,,,,,2,8,,,,,0,0,,,,,,,,,,0,0,,,0,0,2,8
Mahogany,feet,,,,169.46,0,,,,,,,,,,,,,,0,0,400,,,,,,,,,,,,,,,400,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,400,0
Mahogany boards,feet,,,,169.46,0,,,,,,,,,,,,,,0,0,1100,,,,,,,,,3000,,,,,,4100,0,,,,,0,0,,,,,,,,,,0,0,,,0,0,4100,0
Molasses,hhds,1.79,,5.05,169.46,5.334297179,,,,84,,,,,,,,,,84,448,,,,,,,1,,,6,,,,,,7,37,,,,,0,0,,,,,,,,,,0,0,,,0,0,91,485
