Good,Unit,Price,Price,Conv,Exch,Antigua,Barbadoes,Jamaica,St. Christophers,WI,,Bermuda,Boston,Canso,New Hampshire,New York,North Carolina,Philadelphia,Piscataqua,NA,,London,Liverpool,Whitehaven,Glasgow,Montross,GB,,Lisbon,Madeira,SEU,,TOTAL,
,,1740,,,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,,,,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,35.63,,0.05,166.45,6,226,,6,238,255,1,,,,,,,,1,1,,,,,,0,0,,,0,0,239,256
Beeswax,pounds,,,,166.45,,,,,0,0,,,,,,,293,,293,0,,,,,,0,0,2406,7000,9406,0,9699,0
Beeswax,casks,,,,166.45,,,,,0,0,,,,,10,,,,10,0,,,,,,0,0,,,0,0,10,0
Bread,pounds,13.56,,0.000446429,166.45,,,,,0,0,,,,,,,,,0,0,,,,,,0,0,7500,,7500,27,7500,27
Chocolate,boxes,,,,166.45,,,,,0,0,,,,,2,,,,2,0,,,,,,0,0,,,0,0,2,0
Corn,bushels,1.5,,0.05,166.45,4770,7849,1320,5500,19439,876,23814,6146,,2450,,,,520,32930,1484,,,,,,0,0,,350,350,16,52719,2376
Deer Skins,,,,,166.45,,,,,0,0,,,,,,,21,,21,0,,,,,,0,0,,,0,0,21,0
Flour,barrels,8.72,,0.089285714,166.45,,,,,0,0,,,,,,,,,0,0,,,,,,0,0,100,,100,47,100,47
Heading,,3.34,,0.001,166.45,5382,129800,,4860,140042,281,,,,,,,,,0,0,,,,,,0,0,,,0,0,140042,281
Hoops,,,,,166.45,1000,600,200,,1800,0,,,,,,,,,0,0,,,,,,0,0,,,0,0,1800,0
Molasses,hhds,1.65,,5,166.45,,,,,0,0,,,,,,,12,,12,59,,,,,,0,0,,,0,0,12,59
Negroes,,26.64,,1,100,,,,,0,0,,,,,,5,,,5,133,,,,,,0,0,,,0,0,5,133
Oats,bushels,1.5,,0.05,166.45,,,,350,350,16,,,,,,,,,0,0,,,,,,0,0,,,0,0,350,16
Peas,bushels,1.5,,0.05,166.45,60,76,150,,286,13,450,6,,50,,,,,506,23,,,,,,0,0,,,0,0,792,36
Pitch,barrels,14.29,,0.05,166.45,,30,35,10,75,32,,237,50,,82,,,,369,158,,,,100,100,200,86,,,0,0,644,276
Plank,feet,4.008,,0.0005,166.45,,,,,0,0,,300,,,,,,,300,0,,,,,,0,0,,,0,0,300,0
Plank,pieces,4.008,,0.005,166.45,,,,,0,0,27,,,,,,,,27,0,,,,,1,1,0,,,0,0,28,0
Planks,,4.008,,0.005,166.45,,,,,0,0,,,,,,,,,0,0,,,,,116,116,1,,,0,0,116,1
Pork,tierces,46.04,,0.0665,166.45,,,,,0,0,3,,,,,,,,3,6,,,,,,0,0,,,0,0,3,6
Pork,pounds,46.04,,0.00025,166.45,,,,500,500,3,,,,,,,,,0,0,,,,,,0,0,,,0,0,500,3
Pork,casks,46.04,,0.05,166.45,,1,,,1,1,,,,,,,,,0,0,,,,,,0,0,,,0,0,1,1
Pork,hhds,46.04,,0.1,166.45,,,4,,4,11,8,,,,,5,,,13,36,,,,,,0,0,,,0,0,17,47
Pork,barrels,46.04,,0.05,166.45,1222,5328,1680,1458,9688,13398,912,200,,110,310,,,40,1572,2174,,,,,,0,0,276,100,376,520,11636,16092
Rum,gallons,2.53,,0.05,166.45,,,,,0,0,246,,,,,,,,246,19,,,,,,0,0,276,,276,21,522,40
Rum,puncheons,2.53,,5,166.45,,,,,0,0,,,,,,,8,,8,61,,,,,,0,0,,,0,0,8,61
Rum,hhds,2.53,,5,166.45,,,,,0,0,,,,,,2,,,2,15,,,,,,0,0,,,0,0,2,15
Salt,bushels,1.935,,0.05,166.45,,,,,0,0,,,,,,1433,,,1433,83,,,,,,0,0,,,0,0,1433,83
Shingles,,,,,166.45,179000,828350,43000,100800,1151150,0,60000,,,,,,,,60000,0,,,,,,0,0,,6000,6000,0,1217150,0
Skins,casks,,,,166.45,,,,,0,0,,,,,,,,,0,0,15,,,,,15,0,,,0,0,15,0
Staves,,3.34,,0.001,166.45,25331,92300,500,11000,129131,259,2140,4200,,2000,,,,100,8440,17,17000,3300,5000,,3700,29000,58,5100,2000,7100,14,173671,348
Sugar,barrels,37.88,,0.15,166.45,,,,,0,0,3,,,,,,6,,9,31,,,,,,0,0,,,0,0,9,31
Tar,barrels,10.88,,0.05,166.45,,50,100,20,170,56,754,7676,75,,,,361,,8866,2898,,2520,,707,239,3466,1133,,,0,0,12502,4087
Tobacco,hhds,13.92,,0.462,166.45,,,,,0,0,1,,,,,,,,1,4,680,18,188,,112,998,3856,,,0,0,999,3860
Turpentine,barrels,19.41,,0.05,166.45,,,,,0,0,,53,,,,,,,53,31,,,,9,7,16,9,,,0,0,69,40
Walnut logs,tons,,,,166.45,,,,,0,0,,3,,,,,,,3,0,,,,,,0,0,,,0,0,3,0
Wheat,bushels,3.25,,0.05,166.45,,,,,0,0,66,152,,40,,,,,258,25,,,,,,0,0,34714,5650,40364,3941,40622,3966
Wine,pipes,20.17,,1,166.45,,,,,0,0,1,,,,,,,,1,12,,,,,,0,0,,,0,0,1,12
Wine,barrels,20.17,,0.25,166.45,,,,,0,0,,,,,12,,,,12,36,,,,,,0,0,,,0,0,12,36
