Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,North Carolina,NA,,Africa,AFR,,Madeira,SEU,,TOTAL,
,,1725,,,,Sterling,,Quantity,Value,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Molasses,tierces,1.46,,3.2,139.34,3.35294962,,0,0,1,,1,3,,0,0,,0,0,1,3
Molasses,hhds,1.46,,5.05,139.34,5.291373618,6,6,32,1,,1,5,,0,0,,0,0,7,37
Negroes,,23.92,,1,100,23.92,,0,0,,,0,0,172,172,4114,,0,0,172,4114
Rice,cwt,19.98,,0.05,139.34,0.716951342,,0,0,,6,6,4,,0,0,,0,0,6,4
Rum,tierces,2.85,,3,139.34,6.136070044,4,4,25,,,0,0,,0,0,,0,0,4,25
Rum,barrels,2.85,,1.45,139.34,2.965767188,2,2,6,,,0,0,,0,0,,0,0,2,6
Rum,hhds,2.85,,5.25,139.34,10.73812258,17,17,183,,,0,0,,0,0,,0,0,17,183
Salt,bushels,2.67,,0.05,139.34,0.095808813,,0,0,500,,500,48,,0,0,,0,0,500,48
Sugar,barrels,33.44,,0.175,139.34,4.199799053,13,13,55,1,,1,4,,0,0,,0,0,14,59
Turpentine,barrels,29.25,,0.05,139.34,1.049590929,,0,0,,72,72,76,,0,0,,0,0,72,76
Wine,pipes,20.5,,1,139.34,14.71221473,,0,0,,,0,0,,0,0,20,20,294,20,294
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,301,,,,140,,,4114,,,294,,4849
