Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,Bermuda,Boston,Salem,NA,,Gambia,AFR,,TOTAL,
,,1740,,,,Sterling,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Beeswax,pounds,,,,165.45,0,,,0,0,,,,0,0,1800,1800,0,1800,0
Cash,pounds,1,,1,119.17,0.839137367,,,0,0,10,,,10,8,,0,0,10,8
Cheese,pounds,,,,165.45,0,,,0,0,,500,,500,0,,0,0,500,0
Cotton,pockets,1.29,,6,165.45,4.678150499,,,0,0,1,,,1,5,,0,0,1,5
Molasses,hhds,1.65,,5.05,165.45,5.036264733,3,,3,15,3,5,10,18,91,,0,0,21,106
Negroes,,26.64,,1,100,26.64,,,0,0,,,,0,0,139,139,3703,139,3703
Plank,feet,5.344,,0.0005,165.45,0.001614989,,,0,0,,1600,,1600,3,,0,0,1600,3
Rum,gallons,2.53,,0.05,165.45,0.076458144,8324,11660,19984,1528,430,660,1057,2147,164,,0,0,22131,1692
Salt,hhds,1.935,,0.35,165.45,0.409338169,,,0,0,,7,8,15,6,,0,0,15,6
Salt,bushels,1.935,,0.05,165.45,0.058476881,,,0,0,700,,16,716,42,,0,0,716,42
Servants,,9.687272727,,1,100,9.687272727,,,0,0,,,,0,0,,0,0,0,0
Sugar,barrels,37.88,,0.15,165.45,3.434270172,,,0,0,,4,,4,14,,0,0,4,14
Sugar,hhds,37.88,,0.596428571,165.45,13.65531235,,,0,0,,,1,1,14,,0,0,1,14
Sugar,pounds,37.88,,0.000446429,165.45,0.010221042,2600,11233,13833,141,3000,,500,3500,36,,0,0,17333,177
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,1684,,,,,383,,,3703,,5770
