Good,Unit,Price,Price,Conv,Exch,Price,Antigua,WI,,North Carolina,Salem,NA,,Africa,AFR,,TOTAL,
,,1738,,,,Sterling,,Quantity,Value,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,160.42,0,,0,0,,100,100,0,,0,0,100,0
Deer Skin,,,,,160.42,0,,0,0,2,,2,0,,0,0,2,0
Molasses,hhds,1.6,,5.05,160.42,5.036778457,6,6,30,,,0,0,,0,0,6,30
Negroes,,26.64,,1,100,26.64,,0,0,,,0,0,70,70,1865,70,1865
Pitch,barrels,11.33,,0.05,160.42,0.353135519,,0,0,39,,39,14,,0,0,39,14
Rum,tierces,2.29,,3,160.42,4.282508415,8,8,34,,,0,0,,0,0,8,34
Rum,hhds,2.29,,5.25,160.42,7.494389727,12,12,90,,2,2,15,,0,0,14,105
Salt,hhds,1.77,,0.05,160.42,0.055167685,9,9,0,,20,20,1,,0,0,29,1
Tar,barrels,8.63,,0.05,160.42,0.268981424,,0,0,1,,1,0,,0,0,1,0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,154,,,,30,,,1865,,2049
