Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,Boston,New England,NA,,London,Bristol,Lancaster,GB,,Madeira,SEU,,TOTAL,
,,1736,,,,Sterling,,Quantity,Value,,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,1.89,,0.05,167,0.056586826,,0,0,,,22,22,1,,,,0,0,,0,0,22,1
Bread,pounds,12.77,,0.000446429,167,0.003413708,1000,1000,3,,,,0,0,,,,0,0,,0,0,1000,3
Corn,bushels,1.89,,0.05,167,0.056586826,4748.5,4748.5,269,7020,1000,3171,11191,633,,,,0,0,1943,1943,110,17882.5,1012
Deer Skins,hhds,,,,167,0,,0,0,,,,0,0,1,,,1,0,,0,0,1,0
Deer Skins,,,,,167,0,,0,0,,,,0,0,132,44,,176,0,,0,0,176,0
Heading,,2.33,,0.001,167,0.00139521,,0,0,,,,0,0,1,,15,16,0,,0,0,16,0
Heading,C,2.33,,0.1,167,0.139520958,19,19,3,,,,0,0,,,,0,0,,0,0,19,3
Iron,tons,,,,167,0,,0,0,,,,0,0,215,197,,412,0,,0,0,412,0
Iron,pigs,,,,167,0,,0,0,,,,0,0,,509,,509,0,,0,0,509,0
Peas,bushels,1.89,,0.05,167,0.056586826,,0,0,60,,66,126,7,,,,0,0,571.5,571.5,32,697.5,39
Plank,M feet,3.728,,0.5,167,1.116167665,2,2,2,,,,0,0,,2,,2,2,,0,0,4,4
Plank,C feet,3.728,,0.05,167,0.111616766,,0,0,,,,0,0,14,,,14,2,,0,0,14,2
Plank,feet,3.728,,0.0005,167,0.001116168,,0,0,,,226,226,0,12508,500,68,13076,15,,0,0,13302,15
Pork,barrels,41.72,,0.05,167,1.249101796,125,125,156,,,8,8,10,,,,0,0,45,45,56,178,222
Rum,gallons,2.24,,0.05,167,0.067065868,,0,0,,70,30,100,7,248.5,100,,348.5,23,,0,0,448.5,30
Shingles,M,,,,167,0,48.5,48.5,0,,,,0,0,,,,0,0,,0,0,48.5,0
Staves,M,2.33,,1,167,1.395209581,7,7,10,,,,0,0,,,,0,0,,0,0,7,10
Staves,,2.33,,0.001,167,0.00139521,,0,0,,,,0,0,154099,78800,2500,235399,328,,0,0,235399,328
Staves (pipes),,4.73,,0.001,167,0.002832335,,0,0,,,,0,0,,,,0,0,1760,1760,5,1760,5
Tar,barrels,8.98,,0.05,167,0.268862275,30,30,8,,,,0,0,,500,,500,134,,0,0,530,142
Tobacco,hhds,15.08,,0.428,167,3.864814371,,0,0,,,,0,0,5993,2384,37,8414,32519,,0,0,8414,32519
Walnut logs,,,,,167,0,,0,0,,,,0,0,,,3,3,0,,0,0,3,0
Wax,kegs,,,,167,0,,0,0,,,,0,0,,,,0,0,3,3,0,3,0
Wheat,bushels,3.24,,0.05,167,0.097005988,,0,0,,,28.5,28.5,3,,,,0,0,,0,0,28.5,3
Wine,pipes,21.58,,1,167,12.92215569,,0,0,,,,0,0,2,,,2,26,,0,0,2,26
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,451,,,,,661,,,,,33049,,,203,,34364
