Good,Unit,Price,Price,Conv,Exch,Price,Bermuda,Boston,Nantucket,Newcastle DE,New Jersey,New London,New York,Perth Amboy,Philadelphia,Piscataway,Rhode Island,Salem,Salem DE,NA,,TOTAl,
,,1762,,,,Sterling,,,,,,,,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,cwt,34.38,,0.05,176.26,0.975263815,,,,,,,,,5,,,,,5,5,5,5
Bar iron,pounds,34.28,,0.000446429,176.26,0.008682385,,,,1025,,,,,,,,,,1025,9,1025,9
Cash,pence,1,,0.004166667,152.4,0.002734033,,,,,,,,,,3,,,,3,0,3,0
Cash,pounds,1,,1,152.4,0.656167979,,318,,130,,27,687,,30,113,,,56,1361,893,1361,893
Cash,shillings,1,,0.05,152.4,0.032808399,,8,,,,6,,,,11,,,,25,1,25,1
Cheese,casks,,,,176.26,0,,,,,,,,,1,,,,,1,0,1,0
Cheese,cwt,,,,176.26,0,,,,,,13,,,,,5,,,18,0,18,0
Cheese,pounds,,,,176.26,0,,,,,,,,,,,,,1600,1600,0,1600,0
Chocolate,pounds,,,,176.26,0,,35,,,,,,,,,,,,35,0,35,0
Chocolate,boxes,,,,176.26,0,,1,,1,,,,,,1,,,2,5,0,5,0
Coffee,pounds,,,,176.26,0,,,,,,,,,50,,,,,50,0,50,0
Coffee,cwt,,,,176.26,0,,1,,,,,,,,,,,,1,0,1,0
Coffee,barrels,,,,176.26,0,,,,1,,,,,,,,,1,2,0,2,0
Dollars,,0.23,,1,100,0.23,1600,3025,690,1125,,,1915,130,690,4681,460,,1230,15546,3576,15546,3576
Ginger,bags,,,,176.26,0,,,,,,,,,,,1,,,1,0,1,0
Iron,pounds,11.46,,0.000446429,176.26,0.002902571,,,,,,,300,,,,,,,300,1,300,1
Loaf sugar,barrels,1.07,,6.25,176.26,3.794110972,,9,,,,,,,,1,2,,,12,46,12,46
Loaf sugar,pounds,1.07,,0.05,176.26,0.030352888,,,,,,,,,566,,,,50,616,19,616,19
Loaf sugar,tierces,1.07,,17,176.26,10.31998185,,,,,,,,,1,,,,,1,10,1,10
Loaf sugar,cwt,1.07,,5.6,176.26,3.399523431,,,,,,,,,1,7,4,,,12,41,12,41
Molasses,hhds,2.29,,5.05,176.26,6.561046182,,7,2,6,,1,9,,7,18,22,6,10,88,577,88,577
Molasses,tierces,2.29,,3.05,176.26,3.96261205,,2,,,,,,,,1,,,,3,12,3,12
Molasses,casks,2.29,,3.05,176.26,3.96261205,,,,,,,,,,,,,1,1,4,1,4
Molasses,barrels,2.29,,1.45,176.26,1.883864745,,4,,,,,,,,,5,,6,15,28,15,28
Negroes,,35.61,,1,100,35.61,5,,10,,,,,,,,,,,15,534,15,534
Pepper,pounds,,,,176.26,0,,,,,,,,,,,,,30,30,0,30,0
Plank,feet,14.224,,0.0005,176.26,0.004034948,,5000,,2769,,,,,,2000,,,,9769,39,9769,39
Potatoes,bushels,,,,176.26,0,,,,,,20,,,,,50,,,70,0,70,0
Refined sugar,tierces,1.07,,17,176.26,10.31998185,,,,,,1,,,,,,,,1,10,1,10
Refined sugar,cwt,1.07,,5.6,176.26,3.399523431,,,,,,3,,,,,,,,3,10,3,10
Rice,tierces,13.9,,,176.26,0,,,,,,,,,,,,1,1,2,0,2,0
Rice,barrels,13.9,,,176.26,0,,,,1,,,,,,,,,,1,0,1,0
Rum,barrels,3.94,,1.45,176.26,3.24123454,,19,8,,,,,,3,11,13,,3,57,185,57,185
Rum,tierces,3.94,,3,176.26,6.706002496,,1,,,,,2,,,,,,,3,20,3,20
Rum,hhds,3.94,,5.25,176.26,11.73550437,,5,,3,2,2,4,,6,18,15,5,9,69,810,69,810
Salt,bushels,2.86,,0.05,176.26,0.081130149,,,,307,,,400,,650,,,,310,1667,135,1667,135
Salt,hhds,2.86,,0.35,176.26,0.567911041,,3,,,,,,,,16,10,,,29,16,29,16
Spirits,hhds,3.94,,5.25,176.26,11.73550437,,,,,,,,,,,2,,,2,23,2,23
Spirits,casks,3.94,,3.05,176.26,6.817769205,,,,,,,,,,,1,,,1,7,1,7
Sugar,barrels,52.15,,0.15,176.26,4.438046068,,9,,4,,3,4,,4,11,6,18,1,60,266,60,266
Sugar,cwt,52.15,,0.05,176.26,1.479348689,23,,,5,,,,,,,,,,28,41,28,41
Sugar,pounds,52.15,,0.000446429,176.26,0.01320847,1000,,,,,,,,,,,,,1000,13,1000,13
Sugar,hhds,52.15,,0.632142857,176.26,18.70319415,,,,,,,1,,1,2,,1,,5,94,5,94
Tar,barrels,10.04,,0.05,176.26,0.284806536,,,,1,,,,,3,,,,,4,1,4,1
Wine,quarter casks,50.79,,0.25,176.26,7.20384659,,,,,,,,,4,,2,,2,8,58,8,58
Wine,hhds,50.79,,0.5,176.26,14.40769318,,,,,,,,,1,,,,,1,14,1,14
,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,,,,,,7498,,7498
