Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,St. Cruz,St. Christophers,WI,,Boston,Georgia,New England,New York,Newfoundland,North Carolina,Philadelphia,Rhode Island,Salem,South Carolina,NA,,London,Bristol,Liverpool,Whitehaven,GB,,Cork,Sligo,IRE,,Barcelona,Cadiz,Madeira,Oporto,Valencia,SEU,,TOTAL,
,,1765,,,,Sterling,,,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,,,,Quantity,Value,,,Quantity,Value,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacon,pounds,74.36,,0.00025,169.9,0.01094173,,,,,,0,0,243,,,,,,,,,,243,3,,,,,0,0,,,0,0,,,,,,0,0,243,3
Bar iron,tons,26.35,,1,169.9,15.50912301,,,,,,0,0,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,,,,0,0,0,0
Beans,bushels,3.01,,0.05,169.9,0.088581519,,6,,,,6,1,20.5,,25,,,,,,,,45.5,4,,,,,0,0,,,0,0,,300,,,,300,27,351.5,32
Beef,barrels,58.75,,0.05,169.9,1.728958211,,,,,,0,0,,,,,,4,,,,,4,7,,,,,0,0,,,0,0,,,,,,0,0,4,7
Beeswax,casks,,,,169.9,0,,,,,,0,0,,,,,,,,,,,0,0,1,,,,1,0,,,0,0,,,,,,0,0,1,0
Bread,kegs,24.92,,0.044642857,169.9,0.654796939,32,,,,,32,21,,,,,,,,,,300,300,196,,,,,0,0,,,0,0,,,,,,0,0,332,217
Bread,barrels,24.92,,0.089285714,169.9,1.309593879,298,1905,602,,264,3069,4019,74,,,,303,39,,183,,83,682,893,,,105,,105,138,75,,75,98,60,,,,,60,79,3991,5227
Calf skins,,,,,169.9,0,,,,,,0,0,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,,,,0,0,0,0
Corn,bushels,3.01,,0.05,169.9,0.088581519,2278,9010,1811,500,750,14349,1271,3343,,7250,,5734,,7528,1050,20,,24925,2208,,,450,,450,40,,,0,0,,7445,4668,7485,,19598,1736,59322,5255
Flaxseed,tierces,8.79,,,169.9,0,,,,,,0,0,,,,,,,,,,,0,0,,,267,,267,0,,,0,0,,,,,,0,0,267,0
Flaxseed,hhds,8.79,,,169.9,0,,,,,,0,0,,,,,,,161,,,,161,0,,,,,0,0,814,551,1365,0,,,,,,0,0,1526,0
Flour,barrels,13.5,,0.089285714,169.9,0.709450938,1875,5108,2887,,1640,11510,8166,490,,37,364,,12,,559,,74,1536,1090,,,2043,,2043,1449,2185,100,2285,1621,321,453,457,,258,1489,1056,18863,13382
Handspikes,,,,,169.9,0,,,,,,0,0,,,,,,,,,,,0,0,232,,,,232,0,,,0,0,,,,,,0,0,232,0
Hemp,tons,6.38,,9.333333333,169.9,35.04806749,,,,,,0,0,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,,,,0,0,0,0
Hoops,,,,,169.9,0,3000,,,2000,1500,6500,0,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,,,,0,0,6500,0
Iron,tons,8.79,,1,169.9,5.173631548,2.5,12.25,2,,8.5,25.25,131,15,3,1,,,,,8,,3,30,155,450.5,64,,,514.5,2662,,,0,0,,,,,,0,0,569.75,2948
Logwood,tons,,,,169.9,0,,,,,,0,0,,,,,,,,,,,0,0,2,,,,2,0,,,0,0,,,,,,0,0,2,0
Madeira,gallons,47.29,,,169.9,0,,,,,,0,0,,,,,,,,,,,0,0,110,,,,110,0,,,0,0,,,,,,0,0,110,0
Madeira,hhds,47.29,,0.5,169.9,13.91701001,,,,,,0,0,,,,,,,,,,,0,0,1,,,,1,14,,,0,0,,,,,,0,0,1,14
Muscovado sugar,hhds,52.94,,0.646875,169.9,20.15630518,,,,,,0,0,,,,,,,,,,,0,0,32,,,,32,645,,,0,0,,,,,,0,0,32,645
Negroes,,34.74,,1,100,34.74,,,,,,0,0,,,,,,,,2,,,2,69,,,,,0,0,,,0,0,,,,,,0,0,2,69
Oats,bushels,3.01,,0.05,169.9,0.088581519,,,500,,,500,44,110,,,,,400,,,,,510,45,,,,,0,0,,,0,0,,,,,,0,0,1010,89
Peas,bushels,3.01,,0.05,169.9,0.088581519,,14,68,,,82,7,57,,,,,,,10,,,67,6,,,,,0,0,,,0,0,,,,,,0,0,149,13
Pine planks,,10.944,,0.005,169.9,0.032207181,,,,,,0,0,,,,,,,,,,,0,0,,24,,,24,1,,,0,0,,,,,,0,0,24,1
Plank,feet,10.944,,0.0005,169.9,0.003220718,,,,7000,,7000,23,,,546,,,,,,,,546,2,18550,,,,18550,60,,,0,0,,,4000,,,4000,13,30096,98
Planks,,10.944,,0.005,169.9,0.032207181,,,,,,0,0,,,,,,,,,,,0,0,87,,,,87,3,,,0,0,,,,,,0,0,87,3
Pork,barrels,74.36,,0.05,169.9,2.188346086,24,34,7,,,65,142,75,,,,,,,7,,,82,179,,,,,0,0,,,0,0,,,,,,0,0,147,321
Portugal wines,quarter casks,47.29,,0.25,169.9,6.958505003,,,,,,0,0,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,,,,0,0,0,0
Rum,gallons,3.02,,0.05,169.9,0.088875809,,,,,,0,0,,,,,,300,,75,,,375,33,,,,,0,0,,,0,0,,,,,,0,0,375,33
Rum,hhds,3.02,,5.25,169.9,9.331959976,,,,,,0,0,,,,,,,,3,,,3,28,,,,,0,0,,,0,0,,,,,,0,0,3,28
Shingles,,,,,169.9,0,12000,135240,41382,14000,30000,232622,0,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,,,,0,0,232622,0
Spanish wine,gallons,47.29,,,169.9,0,,,,,,0,0,,,,,,,,,,,0,0,132,,,,132,0,,,0,0,,,,,,0,0,132,0
Staves and heading,,6.84,,0.001,169.9,0.004025898,41020,43290,25850,5000,30700,145860,587,3650,,2000,,2846,,16000,1250,,,25746,104,182359,13884,24000,,220243,887,16900,,16900,68,,14400,1740,,,16140,65,424889,1711
Tar,barrels,12.4,,0.05,169.9,0.364920541,,,,,,0,0,100,,,,,,,,,,100,36,,,,,0,0,,,0,0,,,,,,0,0,100,36
Tobacco,hhds,18.11,,0.561,169.9,5.97981754,,,,,,0,0,,,,,,,,,,,0,0,4993,641,,343,5977,35741,804,,804,4808,,,,,,0,0,6781,40549
Walnut logs,,,,,169.9,0,,,,,,0,0,3,,,,,,,,,,3,0,68,24,,,92,0,,,0,0,,,,,,0,0,95,0
Walnut plank,feet,10.944,,0.0005,169.9,0.003220718,,,,,,0,0,660,,,,,,,,,,660,2,1000,,,,1000,3,,,0,0,,,,,,0,0,1660,5
Walnut planks,,10.944,,0.005,169.9,0.032207181,,,,,,0,0,,,,,,,,,,,0,0,,21,,,21,1,,,0,0,,,,,,0,0,21,1
Wheat,bushels,4.7,,0.05,169.9,0.138316657,,310,,,,310,43,4478,,,200,,,2296,1846,3600,,12420,1718,,,,,0,0,,,0,0,12309,36824,7896,,4700,61729,8538,74459,10299
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,14455,,,,,,,,,,,,6778,,,,,,41644,,,,6595,,,,,,,11514,,80986
