Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,New Providence,Bermuda,Boston,Casco Bay,Halifax,New York,Philadelphia,Plymouth NE,Rhode Island,Salem NE,NA,,Gibraltar,SEU,,TOTAL,
,,1768,,,,Sterling,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.57,,0.05,166.62,0.077121594,,,0,0,,,10,,,,,25,20,,55,4,,0,0,55,4
Corn,bushels,2.57,,0.05,166.62,0.077121594,1950,13590,15540,1198,314.5,1000,8500,1500,3000,5240,18250,1700,4050,1987,45541.5,3512,8897,8897,686,69978.5,5396
Flaxseed,hhds,5.39,,,166.62,0,,,0,0,,,,,,6,,,,,6,0,,0,0,6,0
Flaxseed,bushels,5.39,,0.05,166.62,0.161745289,,,0,0,,,,,,5,150,,,,155,25,,0,0,155,25
Flaxseed,casks,5.39,,,166.62,0,,,0,0,,,,,,18,33,,,,51,0,,0,0,51,0
Flour,barrels,16.89,,0.089285714,166.62,0.90507485,44,,44,40,,,,,,,,,,,0,0,,0,0,44,40
Oats,bushels,2.57,,0.05,166.62,0.077121594,231.5,366,597.5,46,,,900,,,4602,6617,,20,,12139,936,,0,0,12736.5,982
Peas,casks,2.57,,0.175,166.62,0.269925579,,,0,0,6,,,,,,,,,,6,2,,0,0,6,2
Peas,bushels,2.57,,0.05,166.62,0.077121594,210,220,430,33,,103,,,,90,320,,10,,523,40,,0,0,953,73
Plank,pieces,8.624,,0.005,166.62,0.025879246,,,0,0,,,,,,,400,,,,400,10,,0,0,400,10
Pork,casks,73.43,,0.05,166.62,2.203516985,,1,1,2,,,,,,,,,2,,2,4,,0,0,3,6
Pork,pounds,73.43,,0.00025,166.62,0.011017585,,,0,0,,,200,,,,,,,,200,2,,0,0,200,2
Pork,barrels,73.43,,0.05,166.62,2.203516985,,4,4,9,,,,,,,5,,6,,11,24,,0,0,15,33
Potatoes,bushels,,,,166.62,0,,,0,0,,,,,,40,30,,,,70,0,,0,0,70,0
Rum,hhds,3.34,,5.25,166.62,10.52394671,,,0,0,,,1,,,,,,,,1,11,,0,0,1,11
Rum,barrels,3.34,,1.45,166.62,2.906613852,,,0,0,,,4,,,,,,,,4,12,,0,0,4,12
Rye,bushels,2.57,,0.05,166.62,0.077121594,,,0,0,,,300,,,,,,10,,310,24,,0,0,310,24
Shingles,,,,,166.62,0,,8500,8500,0,,,,,,,,,,,0,0,,0,0,8500,0
Shingles,M,,,,166.62,0,3,30,33,0,,,,,,,,,,,0,0,,0,0,33,0
Staves (barrel),M,65.47,,0.05,166.62,1.964650102,,,0,0,,,3,,,,8,,,,11,22,,0,0,11,22
Staves (barrels),,65.47,,0.00005,166.62,0.00196465,,,0,0,,,,,,2430,,,,,2430,5,,0,0,2430,5
Staves (hhd),M,5.39,,1,166.62,3.234905774,,5,5,16,,,,,,,,,,,0,0,10,10,32,15,48
Staves (hhds),,5.39,,0.001,166.62,0.003234906,400,2400,2800,9,,,,,,,,,,,0,0,9360,9360,30,12160,39
Staves (pipes),,10.01,,0.001,166.62,0.006007682,,,0,0,,,,,,,,,,,0,0,700,700,4,700,4
Staves and heading,M,5.39,,1,166.62,3.234905774,,1,1,3,,,,,,,,,,,0,0,,0,0,1,3
Tobacco,pounds,21.83,,0.0005,166.62,0.006550834,2155,,2155,14,,,,,,4053,,,,,4053,27,,0,0,6208,41
Wheat,bushels,6.31,,0.05,166.62,0.189353019,,,0,0,,,850,,,,4460,20,1772,,7102,1345,,0,0,7102,1345
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,1370,,,,,,,,,,,,6005,,,752,,8127
