Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Barbadoes,WI,,Bermuda,Boston,Lewes DE,Nantucket,New York,Perth Amboy,Philadelphia,Rhode Island,Salem,NA,,TOTAL,
,,1752,,,,Sterling,,,Quantity,Value,,,,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,pounds,25.25,,0.000446429,166.85,0.006755961,,,0,0,,,,,,,500,,,500,3,500,3
Cash,pounds,1,,1,129.92,0.769704433,,,0,0,190,,,,,,,,50,240,185,240,185
Cast iron,tons,8.42,,1,166.85,5.046448906,,,0,0,,,,,0.5,,,,,0.5,3,0.5,3
Cheese,pounds,,,,166.85,0,,,0,0,,,,,,,,1500,400,1900,0,1900,0
Dollars,,0.23,,1,100,0.23,,,0,0,,,,300,,,,,,300,69,300,69
Flour,tons,13.13,,1,166.85,7.869343722,,,0,0,,,,,1,,,,,1,8,1,8
Flour,barrels,13.13,,0.089285714,166.85,0.702619975,,,0,0,,,,,,,1,,,1,1,1,1
Loaf sugar,barrels,3.22,,6.25,166.85,12.06173209,,,0,0,,1,,,,,,,,1,12,1,12
Molasses,gallons,1.94,,0.05,166.85,0.05813605,1000,,1000,58,,2000,,,3960,200,,3900,1100,11160,649,12160,707
Molasses,tierces,1.94,,3.05,166.85,3.546299071,,,0,0,,,,,,,,1,,1,4,1,4
Rum,gallons,3.22,,0.05,166.85,0.096493857,2120,5570,7690,742,200,1000,100,,1766,100,,1700,1090,5956,575,13646,1317
Salt,bushels,1.395,,0.05,166.85,0.041804016,1700,,1700,71,,,,,,,400,,,400,17,2100,88
Salt,hhds,1.395,,0.35,166.85,0.292628109,,,0,0,,,,,,,,,10,10,3,10,3
Sugar,loaves,1,,,166.85,0,,,0,0,,,,,,,,30,,30,0,30,0
Sugar,cwt,48,,0.05,166.85,1.43841774,,88,88,127,,,,,43,,,13,3,59,85,147,212
Sugar,pounds,48,,0.000446429,166.85,0.012843016,,49,49,1,,,,,800,,,,,800,10,849,11
Sugar,quarters,48,,0.0125,166.85,0.359604435,,6,6,2,,,,,6,,,5,,11,4,17,6
,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,1001,,,,,,,,,,,1628,,2629
