Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Jamaica,WI,,Bath NC,Boston,New York,Philadelphia,Piscataway,Rhode Island,Salem NE,NA,,TOTAL,
,,1764,,,,Sterling,,,Quantity,Value,,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Cash,pounds,1,,1,160.73,0.622161389,,,0,0,,15,,110,,,,125,78,125,78
Cheese,cwt,,,,172.86,0,,,0,0,,2,,9,,,,11,0,11,0
Cheese,hhds,,,,172.86,0,,,0,0,,,,,,,1,1,0,1,0
Cheese,pounds,,,,172.86,0,,,0,0,,,,,,,200,200,0,200,0
Chocolate,boxes,,,,172.86,0,,,0,0,,,,1,,,2,3,0,3,0
Chocolate,pounds,,,,172.86,0,,,0,0,,60,,50,,,50,160,0,160,0
Coffee,pounds,,,,172.86,0,,,0,0,,,56,,,,,56,0,56,0
Dollars,,0.23,,1,100,0.23,,,0,0,,,1400,,130,,,1530,352,1530,352
Flaxseed,hhds,8.47,,0.35,172.86,1.714971653,,,0,0,,,,25,,,,25,43,25,43
Flaxseed,barrels,8.47,,0.175,172.86,0.857485827,,,0,0,,,,34,,,,34,29,34,29
Ginger,pounds,,,,172.86,0,,,0,0,,,28,,,,,28,0,28,0
Loaf sugar,hhds,1,,25,172.86,14.46257087,,,0,0,,,,9,,,,9,130,9,130
Loaf sugar,tierces,1,,17,172.86,9.834548189,,,0,0,,,,2,,,,2,20,2,20
Loaf sugar,casks,1,,6.25,172.86,3.615642717,,,0,0,,,,1,,,,1,4,1,4
Loaf sugar,cwt,1,,5.6,172.86,3.239615874,,,0,0,,,,1,,,,1,3,1,3
Molasses,barrels,1.63,,1.45,172.86,1.36729145,,,0,0,,,,1,,,,1,1,1,1
Molasses,hhds,1.63,,5.05,172.86,4.761946084,,18,18,86,,4,4,6,6,4,5,29,138,47,224
Molasses,tierces,1.63,,3.05,172.86,2.876026843,,,0,0,,,,,,,5,5,14,5,14
Peas,bushels,2.74,,0.05,172.86,0.079254888,,,0,0,20,,,,,,,20,2,20,2
Pepper,casks,,,,172.86,0,,,0,0,,,,,1,,,1,0,1,0
Pepper,pounds,,,,172.86,0,,,0,0,,14,28,,,,,42,0,42,0
Pimento,pounds,,,,172.86,0,,,0,0,,,28,,,,,28,0,28,0
Pork,barrels,98.26,,0.05,172.86,2.842184427,,,0,0,20,,,,,,,20,57,20,57
Potatoes,barrels,,,,172.86,0,,,0,0,,,,,,,2,2,0,2,0
Potatoes,bushels,,,,172.86,0,,,0,0,,,,,,40,40,80,0,80,0
Rum,hhds,3.26,,5.25,172.86,9.901076015,36,,36,356,,,1,36,8,3,3,51,505,87,861
Rum,puncheons,3.26,,5.25,172.86,9.901076015,,2,2,20,,,,,,,,0,0,2,20
Rum,barrels,3.26,,1.45,172.86,2.734582899,,,0,0,,5,,,2,1,15,23,63,23,63
Salt,bushels,1.92,,0.05,172.86,0.055536272,,,0,0,,,,1260,87,20,,1367,76,1367,76
Salt,hhds,1.92,,0.35,172.86,0.388753905,,,0,0,,,,,,6,8,14,5,14,5
Spirits,kegs,3.26,,0.725,172.86,1.36729145,,,0,0,,,,2,,,,2,3,2,3
Spirits,barrels,3.26,,1.45,172.86,2.734582899,,,0,0,,,,1,,,,1,3,1,3
Sugar,cwt,48.73,,0.05,172.86,1.409522157,,,0,0,,,2,,,,,2,3,2,3
Sugar,barrels,48.73,,0.15,172.86,4.22856647,21,,21,89,,4,,,2,1,5,12,51,33,140
Sugar,hhds,48.73,,0.632142857,172.86,17.82038727,2,2,4,71,,,,2,,,,2,36,6,107
Sugar,loaves,1,,,172.86,0,,,0,0,,,,29,,,,29,0,29,0
Sugar,tierces,48.73,,0.489285714,172.86,13.7931811,4,,4,55,,,,,,,,0,0,4,55
Tar,barrels,12.36,,0.05,172.86,0.357514752,,,0,0,96,,2,,,,,98,35,98,35
Virginia currency,pounds,1,,1,160.73,0.622161389,,50,50,31,,,,,,,,0,0,50,31
Wine,quarter casks,50.56,,0.25,172.86,7.31227583,,,0,0,,,,3,,,,3,22,3,22
,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,708,,,,,,,,,1673,,2381
