Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,St. Christophers,Surinam,WI,,Bermuda,Boston,New England,North Carolina,Philadelphia,Providence,Rhode Island,Salem,NA,,Bideford,Bristol,Cowes,Falmouth,Liverpool,London,GB,,Cork,Newry,IRE,,Lisbon,Madeira,SEU,,Bordeaux,NEU,,TOTAL,
,,1751,,,,Sterling,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,,,,,,Quantity,Value,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacon,barrels,72.35,,0.05,166.85,2.168115073,,1,,,,1,2,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,0,0,,0,0,1,2
Bar iron,tons,25.25,,1,166.85,15.13335331,,1,,,,1,15,,,,1,,,,,1,15,,,,,,,0,0,,,0,0,,,0,0,,0,0,2,30
Beans,bushels,2.56,,0.05,166.85,0.076715613,,7,,,,7,1,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,100,100,8,,0,0,107,9
Beans,hhds,2.56,,0.35,166.85,0.53700929,,1,,,,1,1,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,0,0,,0,0,1,1
Beans,kegs,2.56,,0.025,166.85,0.038357806,,28,,,,28,1,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,0,0,,0,0,28,1
Beef,barrels,51.01,,0.05,166.85,1.52861852,,3,,,,3,5,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,0,0,,0,0,3,5
Bread,barrels,21.94,,0.089285714,166.85,1.174065671,281,544,,125,19,969,1138,,,,,,,,,0,0,15,,,,,,15,18,,,0,0,10,,10,12,,0,0,994,1168
Bread,casks,21.94,,0.089285714,166.85,1.174065671,,10,,,,10,12,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,0,0,,0,0,10,12
Bread,kegs,21.94,,0.044642857,166.85,0.587032835,,27,,,,27,16,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,0,0,,0,0,27,16
Bread,pounds,21.94,,4.46429E-05,166.85,0.000587033,,,,,,0,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,0,0,,0,0,0,0
Cheese,pounds,,,,166.85,0,,,,,,0,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,0,0,,0,0,0,0
Chocolate,boxes,,,,166.85,0,,,,,,0,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,0,0,,0,0,0,0
Coffee,barrels,,,,166.85,0,,,,,,0,0,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,0,0,,0,0,0,0
Corn,bushels,2.56,,0.05,166.85,0.076715613,7889.5,15478.5,2300,500,,26168,2007,,3200,,,,2290,4589,2006,12085,927,,,,,,,0,0,,,0,0,,1488,1488,114,,0,0,39741,3048
Corn,M bushels,2.56,,50,166.85,76.71561283,,2,,,,2,153,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,0,0,,0,0,2,153
Flaxseed,hhds,5.34,,,166.85,0,,,,,,0,0,,,,,,,,,0,0,,,,,,,0,0,,428,428,0,,,0,0,,0,0,428,0
Flour,barrels,13.13,,0.089285714,166.85,0.702619975,770,1137,7,590,237,2741,1926,243,16,,,,27,,,286,201,,,,,,,0,0,29,,29,20,,60,60,42,40,40,28,3156,2217
Flour,tons,13.13,,1,166.85,7.869343722,,,,,,0,0,,,5.825,,,,,,5.825,46,,,,,,,0,0,,,0,0,,,0,0,,0,0,5.825,46
Four inch walnut plank,feet,6.816,,0.0005,166.85,0.002042553,,,,,,0,0,,,,,,,,,0,0,,,,100,,,100,0,,,0,0,,,0,0,,0,0,100,0
