Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,St. Christophers,WI,,Bermuda,Boston,North Carolina,Philadelphia,Piscataqua,Rhode Island,Salem,NA,,Aberdeen,Bristol,Cowes,London,GB,,Isle of May,Madeira,SEU,,TOTAL,
,,1749,,,,Sterling,,,,Quantity,Value,,,,,,,,Quantity,Value,,,,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axes,dozen,,,,171.39,0,,,,0,0,,8,,,,,,8,0,,,,,0,0,,,0,0,8,0
Blankets,bales,,,,171.39,0,,,,0,0,,1,,,,,,1,0,,,,,0,0,,,0,0,1,0
Bread,barrels,19.67,,0.089285714,171.39,1.024709726,,,,0,0,,,,16,,,,16,16,,,,,0,0,,,0,0,16,16
Bricks,M,,,,171.39,0,,,,0,0,,8,,,,,,8,0,,,,,0,0,,,0,0,8,0
Brims,,,,,171.39,0,,,,0,0,,28,,,,,,28,0,,,,,0,0,,,0,0,28,0
Brown Sugar,barrels,46.83,,0.15,171.39,4.098547173,,26,,26,107,,19,,,,,,19,78,,,,,0,0,,,0,0,45,185
Brown Sugar,hhds,46.83,,0.609375,171.39,16.65034789,,,,0,0,,1,,,,,,1,17,,,,,0,0,,,0,0,1,17
Brown Sugar,pounds,46.83,,0.000446429,171.39,0.012198057,,,2600,2600,32,,,,,,200,,200,2,,,,,0,0,,,0,0,2800,34
Brown Sugar,tierces,46.83,,0.466964286,171.39,12.75916769,,,,0,0,,1,,,,,,1,13,,,,,0,0,,,0,0,1,13
Butter,barrels,,,,171.39,0,,,,0,0,,,,4,,,,4,0,,,,,0,0,,,0,0,4,0
Chairs,,,,,171.39,0,,,,0,0,,78,,,,,,78,0,,,,,0,0,,,0,0,78,0
Chaises,,,,,171.39,0,,,,0,0,,3,,,,,,3,0,,,,,0,0,,,0,0,3,0
Cheese,pounds,,,,171.39,0,,,,0,0,,900,,,,,,900,0,,,,,0,0,,,0,0,900,0
Cheese,weight,,,,171.39,0,,,,0,0,,,,,,1600,,1600,0,,,,,0,0,,,0,0,1600,0
Chocolate,boxes,,,,171.39,0,,,,0,0,,,,,,,,0,0,,,,,0,0,,,0,0,0,0
Chocolate,cases,,,,171.39,0,,,,0,0,,,,2,,,,2,0,,,,,0,0,,,0,0,2,0
Chocolate,pounds,,,,171.39,0,,,,0,0,,40,,,,100,,140,0,,,,,0,0,,,0,0,140,0
Coffee,boxes,,,,171.39,0,,,,0,0,,,,2,,,,2,0,,,,,0,0,,,0,0,2,0
Coffee,casks,,,,171.39,0,,,,0,0,,,,,,,,0,0,,,,,0,0,,,0,0,0,0
Convicts,,9.861818182,,1,100,9.861818182,,,,0,0,,,,,,,,0,0,,35,,176,211,2081,,,0,0,211,2081
Cranberries,barrels,,,,171.39,0,,,,0,0,,4,,,,,,4,0,,,,,0,0,,,0,0,4,0
Cranberries,bushels,,,,171.39,0,,,,0,0,,20,,,,,,20,0,,,,,0,0,,,0,0,20,0
Cyder,barrels,,,,171.39,0,,,,0,0,,6,,1,,,,7,0,,,,,0,0,,,0,0,7,0
Deer Skins,,,,,171.39,0,,,,0,0,,,272,,,,,272,0,,,,,0,0,,,0,0,272,0
Deer Skins raw,,,,,171.39,0,,,,0,0,,,500,,,,,500,0,,,,,0,0,,,0,0,500,0
Deer Skins dressed,pounds,,,,171.39,0,,,,0,0,,,234,,,,,234,0,,,,,0,0,,,0,0,234,0
Desks,,,,,171.39,0,,,,0,0,,5,,1,,1,,7,0,,,,,0,0,,,0,0,7,0
Fish,barrels,,,,171.39,0,,,,0,0,,97,,,,,3,100,0,,,,,0,0,,,0,0,100,0
Fish,hhds,,,,171.39,0,,,,0,0,,7,,,,2,,9,0,,,,,0,0,,,0,0,9,0
Fish,quintals,,,,171.39,0,,,,0,0,,16,,,,,,16,0,,,,,0,0,,,0,0,16,0
Flo Oil,dozen,,,,171.39,0,,,,0,0,,,,,,,,0,0,,,,,0,0,,,0,0,0,0
Fyall wine,pipes,28.77,,1,171.39,16.78627691,,,,0,0,,11,,,,,,11,185,,,,,0,0,,,0,0,11,185
Glass,boxes,,,,171.39,0,,,,0,0,,,,5,,,,5,0,,,,,0,0,,,0,0,5,0
Gunpowder,barrels,,,,171.39,0,,,4,4,0,2,1,,,,,,3,0,,,,,0,0,,,0,0,7,0
Half Bushels,dozen,,,,171.39,0,,,,0,0,,2,,,,,,2,0,,,,,0,0,,,0,0,2,0
Hops,bags,,,,171.39,0,,,,0,0,,1,,,,,,1,0,,,,,0,0,,,0,0,1,0
Indigo,pounds,5.9,,0.05,171.39,0.172122061,,,,0,0,25,,,,,,,25,4,,,,,0,0,,,0,0,25,4
Iron/kettleware,pounds,,,,171.39,0,,,,0,0,,1000,,,,1500,,2500,0,,,,,0,0,,,0,0,2500,0
Limes,barrels,,,,171.39,0,,,,0,0,,,,,,,,0,0,,,,,0,0,,,0,0,0,0
Loaf Sugar,barrels,1.49,,6.25,171.39,5.433514207,,,,0,0,,9,,1,,,,10,54,,,,,0,0,,,0,0,10,54
Loaf Sugar,hhds,1.49,,25,171.39,21.73405683,,,,0,0,,2,,,,,,2,43,,,,,0,0,,,0,0,2,43
Loaf Sugar,pounds,1.49,,0.05,171.39,0.043468114,,,,0,0,,200,,,,,,200,9,,,,,0,0,,,0,0,200,9
Madeira,quarter casks,28.77,,0.25,171.39,4.196569228,,,,0,0,,10,,,,,,10,42,,,,,0,0,,,0,0,10,42
Madeira,barrels,28.77,,0.25,171.39,4.196569228,,,,0,0,,6,,,,,,6,25,,,,,0,0,,,0,0,6,25
Madeira,hhds,28.77,,0.5,171.39,8.393138456,,,,0,0,,,,,,,,0,0,,,,,0,0,,,0,0,0,0
Madeira,pipes,28.77,,1,171.39,16.78627691,,,,0,0,,12,,1,,,1,14,235,,,,,0,0,,38,38,638,52,873
Medicines,boxes,,,,171.39,0,,,,0,0,,,,1,,,,1,0,,,,,0,0,,,0,0,1,0
Molasses,barrels,2.08,,1.45,171.39,1.759729272,,,,0,0,,1,,,,12,1,14,25,,,,,0,0,,,0,0,14,25
Molasses,gallons,2.08,,0.05,171.39,0.06068032,,42,5800,5842,354,,2280,,,,3040,,5320,323,,,,,0,0,,,0,0,11162,677
Molasses,hhds,2.08,,5.05,171.39,6.128712294,,,,0,0,,25,,6,,10,3,44,270,,,,,0,0,,,0,0,44,270
Molasses,tierces,2.08,,3.05,171.39,3.701499504,,1,,1,4,1,,,,,,1,2,7,,,,,0,0,,,0,0,3,11
Muscovado Sugar,barrels,46.83,,0.15,171.39,4.098547173,,5,,5,20,,,,,,1,,1,4,,,,,0,0,,,0,0,6,24
Muscovado Sugar,hhds,46.83,,0.609375,171.39,16.65034789,,,,0,0,,,,,,1,,1,17,,,,,0,0,,,0,0,1,17
Muscovado Sugar,pounds,46.83,,0.000446429,171.39,0.012198057,,8100,,8100,99,,600,,,,,,600,7,,,,,0,0,,,0,0,8700,106
Negroes,,27.12,,1,100,27.12,,,,0,0,,,,,,,,0,0,,,249,,249,6753,,,0,0,249,6753
Osnabrig,pieces,,,,171.39,0,,,,0,0,,2,,,,,,2,0,,,,,0,0,,,0,0,2,0
Pails,dozen,,,,171.39,0,,,,0,0,,2,,,,,,2,0,,,,,0,0,,,0,0,2,0
Palatines,,,,,171.39,0,,,,0,0,,,,,,,,0,0,,,,,0,0,,,0,0,0,0
Pickled Fish,barrels,,,,171.39,0,,,,0,0,,,,,,,2,2,0,,,,,0,0,,,0,0,2,0
Pipes,barrels,,,,171.39,0,,,,0,0,,,,,,,,0,0,,,,,0,0,,,0,0,0,0
Pitch,barrels,15.41,,0.05,171.39,0.449559484,,,,0,0,,,100,,,,,100,45,,,,,0,0,,,0,0,100,45
Raisins,casks,,,,171.39,0,,,,0,0,,5,,,,,2,7,0,,,,,0,0,,,0,0,7,0
Riding Chairs,,,,,171.39,0,,,,0,0,,7,,,,,,7,0,,,,,0,0,,,0,0,7,0
Rum,barrels,3.77,,1.45,171.39,3.189509306,,,,0,0,,6,,8,,,12,26,83,,,,,0,0,,,0,0,26,83
Rum,gallons,3.77,,0.05,171.39,0.10998308,800,9270,3700,13770,1514,3640,7520,,400,,6600,,18160,1997,,,,,0,0,,,0,0,31930,3511
Rum,hhds,3.77,,5.25,171.39,11.54822335,,30,,30,346,,37,,26,,5,4,72,831,,,,,0,0,,,0,0,102,1177
Rum,tierces,3.77,,3,171.39,6.598984772,,4,,4,26,,5,,1,,,,6,40,,,,,0,0,,,0,0,10,66
Saddles and Bridles,,,,,171.39,0,,,,0,0,,25,,,,,,25,0,,,,,0,0,,,0,0,25,0
Sails,parcels,,,,171.39,0,,,,0,0,,,,1,,,,1,0,,,,,0,0,,,0,0,1,0
Salt,bushels,2.345,,0.05,171.39,0.068411226,,,,0,0,804,158,40,,,,,1002,69,1490,,,,1490,102,300,,300,21,2792,192
Salt,hhds,2.345,,0.35,171.39,0.478878581,,,,0,0,,122,,,,,8,130,62,,,,,0,0,,,0,0,130,62
Servants,,9.861818182,,1,100,9.861818182,,,,0,0,,,,,,,,0,0,,43,,,43,424,,,0,0,43,424
Shoes,barrels,,,,171.39,0,,,,0,0,,,,1,,,,1,0,,,,,0,0,,,0,0,1,0
Shot,weight,,,,171.39,0,,,,0,0,,200,,,,,,200,0,,,,,0,0,,,0,0,200,0
Sieves,,,,,171.39,0,,,,0,0,,42,,,,,,42,0,,,,,0,0,,,0,0,42,0
Sitting Chairs,dozen,,,,171.39,0,,,,0,0,,6,,,,,,6,0,,,,,0,0,,,0,0,6,0
Still,,,,,171.39,0,,,,0,0,,1,,,,,,1,0,,,,,0,0,,,0,0,1,0
Sugar,barrels,46.83,,0.15,171.39,4.098547173,,,,0,0,,,,,,,4,4,16,,,,,0,0,,,0,0,4,16
Sugar,hhds,46.83,,1.055803571,171.39,28.84840495,,,,0,0,,1,,,1,,,2,58,,,,,0,0,,,0,0,2,58
Sugar,loaves,1.49,,,171.39,0,,,,0,0,,,,49,,,,49,0,,,,,0,0,,,0,0,49,0
Sugar,pounds,46.83,,0.000446429,171.39,0.012198057,,8904,,8904,109,2000,,,,,,,2000,24,,,,,0,0,,,0,0,10904,133
Tar,barrels,10.49,,0.05,171.39,0.306027189,,,,0,0,,,679,,,,,679,208,,,,,0,0,,,0,0,679,208
Tea,pounds,,,,171.39,0,,,,0,0,,20,,,,,,20,0,,,,,0,0,,,0,0,20,0
Tea,boxes,,,,171.39,0,,,,0,0,,,,1,,,,1,0,,,,,0,0,,,0,0,1,0
Tea,chests,,,,171.39,0,,,,0,0,,,,,,,,0,0,,,,,0,0,,,0,0,0,0
Tobacco,hhds,18,,0.5245,171.39,5.50848941,,,,0,0,,,,,,,,0,0,,,,,0,0,,,0,0,0,0
Turpentine,barrels,17.12,,0.05,171.39,0.499445709,,,,0,0,,,50,,,,,50,25,,,,,0,0,,,0,0,50,25
Vedonia wine,quarter casks,28.77,,0.25,171.39,4.196569228,,,,0,0,,2,,,,,,2,8,,,,,0,0,,,0,0,2,8
Vinegar,barrels,,,,171.39,0,,,,0,0,,,,1,,,,1,0,,,,,0,0,,,0,0,1,0
Wine,quarter casks,28.77,,0.25,171.39,4.196569228,,,,0,0,,,,1,,,,1,4,,,,,0,0,,,0,0,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,2611,,,,,,,,,4846,,,,,,9360,,,,659,,17476
