Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,Nevis,St. Christopher,WI,,Turks Island,Bermuda,Boston,New Hampshire,Philadelphia,Rhode Island,NA,,Liverpool,GB,,Madeira,SEU,,TOTAL,
,,1731,,,,Sterling,,,,,,Quantity,Value,,,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,153.28,0,,,,,,0,0,,,,,,3000,3000,0,,0,0,,0,0,3000,0
Cotton,bags,1.13,,6,153.28,4.423277662,,,9,3,15,27,119,,,,,,,0,0,,0,0,,0,0,27,119
Ginger,bags,,,,153.28,0,,,43,,,43,0,,,2,,,,2,0,,0,0,,0,0,45,0
Indigo,barrels,5.14,,,153.28,0,,,2,,,2,0,,,,,,,0,0,,0,0,,0,0,2,0
Molasses,hhds,1.36,,5.05,153.28,4.480688935,26,,,,,26,116,,,25,4,,4,33,148,,0,0,,0,0,59,264
Molasses,tierces,1.36,,3.05,153.28,2.706158664,,,,,,0,0,,,9,,,,9,24,,0,0,,0,0,9,24
Molasses,barrels,1.36,,1.45,153.28,1.286534447,,,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,0
Molasses,gallons,1.36,,0.05,153.28,0.044363257,3300,5750,15860,2110,9820,36840,1634,,200,2800,95,,1700,4795,213,,0,0,,0,0,41635,1847
Negroes,,24.91,,1,100,24.91,,,10,,,10,249,,,,,,,0,0,,0,0,,0,0,10,249
Pimento,barrels,,,,153.28,0,,,6,,,6,0,,,,,,,0,0,,0,0,,0,0,6,0
Pimento,bags,,,,153.28,0,,,7,,,7,0,,,,,,,0,0,,0,0,,0,0,7,0
Rum,gallons,2.64,,0.05,153.28,0.08611691,3894,86102,4920,1300,1600,97816,8424,394,1544,9302,726,1300,996,14262,1228,,0,0,,0,0,112078,9652
Salt,bushels,2.51,,0.05,153.28,0.081876305,,6050,,,900,6950,569,3226,4623,280,1300,,80,9509,779,2500,2500,205,,0,0,18959,1553
Spirits,barrels,2.64,,1.5,153.28,2.583507307,,,,,,0,0,,,2,,,,2,5,,0,0,,0,0,2,5
Sugar,tierces,33.21,,0.480803571,153.28,10.4172016,2,1,,,1,4,42,,1,,,,,1,10,,0,0,,0,0,5,52
Sugar,hhds,33.21,,0.583035714,153.28,12.63218689,,,25,,,25,316,1,,2,,,,3,38,,0,0,,0,0,28,354
Sugar,barrels,33.21,,0.175,153.28,3.791590553,134,217,59,,60,470,1782,5,7,34,2,,5,53,201,,0,0,,0,0,523,1983
Sugar,pounds,33.21,,0.000446429,153.28,0.009672425,,,,4479,,4479,43,,,,,,,0,0,,0,0,,0,0,4479,43
Wine,pipes,20.5,,1,153.28,13.37421712,,,,,9,9,120,,,13,,,1,14,187,,0,0,74,74,990,97,1297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,13414,,,,,,,,2833,,,205,,,990,,17442
