Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,Montserrat,Spanish Town,St. Christophers,WI,,New Providence,Turks Island,Bermuda,Boston,New York,North Carolina,Philadelphia,Piscataway,Rhode Island,Salem,Falmouth,NA,,Isle of May,Madeira,SEU,,TOTAL,
,,1744,,,,Sterling,,,,,,,Quantity,Value,,,,,,,,,,,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,41.94,,0.05,166.67,1.258174837,,,,,,,0,0,,,,,,30,,,,,,30,38,,,0,0,30,38
Bread,barrels,13.32,,,166.67,0,,,,,,,0,0,,,,,,,154,,,,,154,0,,,0,0,154,0
Cheese,tierces,,,,166.67,0,,,,,,,0,0,,,,,,,2,,,,,2,0,,,0,0,2,0
Cheese,,,,,166.67,0,,,,,,,0,0,,,,,,,120,,,,,120,0,,,0,0,120,0
Chocolate,casks,,,,166.67,0,,,,,,,0,0,,,,1,,,,,,,,1,0,,,0,0,1,0
Chocolate,boxes,,,,166.67,0,,,,,,,0,0,,,,,1,,16,,,,,17,0,,,0,0,17,0
Coffee,barrels,,,,166.67,0,,,2,,,,2,0,,,,,,,1,,,,,1,0,,,0,0,3,0
Coffee,tierces,,,,166.67,0,,,4,,,,4,0,,,,,,,,,,,,0,0,,,0,0,4,0
Coffee,pounds,,,,166.67,0,,,,,,,0,0,,,120,,,,,,,,,120,0,,,0,0,120,0
Coffee,bags,,,,166.67,0,,,4,,,,4,0,,,,,,,,,,,,0,0,,,0,0,4,0
Coffee,kegs,,,,166.67,0,,,,,,,0,0,,,,,,,4,,,,,4,0,,,0,0,4,0
Cotton,bags,1.19,,6,166.67,4.283914322,,,,4,,,4,17,,,,,,,,,,,,0,0,,,0,0,4,17
Cotton,casks,1.19,,,166.67,0,,,2,,,,2,0,,,,,,,,,,,,0,0,,,0,0,2,0
Cotton,pounds,1.19,,0.05,166.67,0.035699286,,162,205,,,,367,13,,,651,,,,,,,,,651,23,,,0,0,1018,36
Deer Skin,bundles,,,,166.67,0,,,,,,,0,0,,,,,,1,,,,,,1,0,,,0,0,1,0
Flour,barrels,7.68,,0.089285714,166.67,0.411420343,,,,,,,0,0,,,,,,,117,,,,,117,48,,,0,0,117,48
Ginger,pounds,,,,166.67,0,,252,,,,,252,0,,,,,,,,,,,,0,0,,,0,0,252,0
Indigo,boxes,6.67,,,166.67,0,,,,1,,,1,0,,,,,,,,,,,,0,0,,,0,0,1,0
Indigo,pounds,6.67,,0.05,166.67,0.200095998,,,,,,,0,0,,,50,,,,,,,,,50,10,,,0,0,50,10
Loaf sugar,barrels,1.31,,6.25,166.67,4.912401752,,,,,,,0,0,,,,1,,,,,,,,1,5,,,0,0,1,5
Loaf sugar,hhds,1.31,,25,166.67,19.64960701,,,,,,,0,0,,,,1,,,,,,,,1,20,,,0,0,1,20
Molasses,gallons,1.8,,0.05,166.67,0.05399892,978,1655,16778,,,13000,32411,1750,,,608,200,,,7250,400,,400,,8858,478,,,0,0,41269,2228
Negroes,,31.04,,1,100,31.04,14,65,2,1,14,78,174,5401,,,1,,,,3,,3,,,7,217,,,0,0,181,5618
Pimento,pounds,,,,166.67,0,,,1435,,,,1435,0,,,,,,,,,,,,0,0,,,0,0,1435,0
Pimento,bags,,,,166.67,0,,,1,,,,1,0,,,,,,,,,,,,0,0,,,0,0,1,0
Pimento,tierces,,,,166.67,0,,,7,,,,7,0,,,,,,,,,,,,0,0,,,0,0,7,0
Pitch,barrels,13.9,,0.05,166.67,0.41699166,,,,,,,0,0,,,,,,40,,,,,,40,17,,,0,0,40,17
Pork,barrels,60.49,,0.05,166.67,1.814663707,,,,,,,0,0,,,,,,121,,,,,,121,220,,,0,0,121,220
Rum,gallons,3.2,,0.05,166.67,0.09599808,30387,88136,4775,12150,80,46766,182294,17500,,,2734,14860,,,6823,912,1200,599,,27128,2604,,,0,0,209422,20104
Salt,bushels,2.14,,0.05,166.67,0.064198716,1000,,,,,,1000,64,580,5200,4510,,200,,,200,240,64,,10994,706,19000,,19000,1220,30994,1990
Sugar,pounds,49.97,,0.000446429,166.67,0.013384554,20397,134942,48229,21200,9000,32100,265868,3559,,,4177,,19720,,4700,200,,600,,29397,393,,,0,0,295265,3952
Wine,pipes,27.85,,1,166.67,16.70966581,,19,,,,,19,317,,,,,,,6,,,,,6,100,,140,140,2339,165,2756
Wine,quarter casks,27.85,,0.25,166.67,4.177416452,,,,,,,0,0,,,,,,,1,,,,,1,4,,,0,0,1,4
Wine,gallons,27.85,,0.007936508,166.67,0.132616395,,,,,,,0,0,,,,,,,54,,,,,54,7,,,0,0,54,7
Wine,hhds,27.85,,0.5,166.67,8.354832903,,,,,,,0,0,,,,,,,,,,,26,26,217,,7,7,58,33,275
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,28621,,,,,,,,,,,,,5107,,,,3617,,37345
