Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,Jamaica,St. Christophers,WI,,Bermuda,Boston,Rhode Island,NA,,London,Plymouth,Whitehaven,Glasgow,GB,,Madeira,SEU,,TOTAL,
,,1730,,,,Sterling,,,,Quantity,Value,,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,30,,0.05,152.03,0.986647372,4,,,4,4,,,,0,0,,,,,0,0,,0,0,4,4
Corn,bushels,1.93,,0.05,152.03,0.063474314,3503.5,1300,1200,6003.5,381,11620,2818,,14438,916,,,,,0,0,,0,0,20441.5,1297
Heading,pieces,2.25,,0.001,152.03,0.001479971,,,,0,0,,,,0,0,2000,,,,2000,3,,0,0,2000,3
Peas,bushels,1.93,,0.05,152.03,0.063474314,75,250,450,775,49,490,466,,956,61,,,,,0,0,240,240,15,1971,125
Plank,feet,3.6,,0.0005,152.03,0.001183977,,,,0,0,,,,0,0,477,,,2000,2477,3,,0,0,2477,3
Pork,hhds,59.24,,0.1,152.03,3.896599355,,,,0,0,8,,,8,31,,,,,0,0,,0,0,8,31
Pork,barrels,59.24,,0.05,152.03,1.948299678,57,32,,89,173,94,,,94,183,,,,,0,0,,0,0,183,356
Skins,bundles,,,,152.03,0,,,,0,0,,,,0,0,3,,,,3,0,,0,0,3,0
Skins,hhds,,,,152.03,0,,,,0,0,,,,0,0,23,,,,23,0,,0,0,23,0
Skins,barrels,,,,152.03,0,,,,0,0,,,,0,0,7,,,,7,0,,0,0,7,0
Staves (barrels),,22.5,,0.00005,152.03,0.000739986,,,,0,0,,,,0,0,9160,,,15000,24160,18,,0,0,24160,18
Staves (hhds),,2.25,,0.001,152.03,0.001479971,,,,0,0,,,,0,0,8150,6000,,8000,22150,33,1010,1010,1,23160,34
Staves (pipes),,3,,0.001,152.03,0.001973295,,,,0,0,,,,0,0,21000,,5000,,26000,51,,0,0,26000,51
Tobacco,hhds,14.265,,0.3995,152.03,3.748515096,,,,0,0,,,,0,0,3363,214,265,1203,5045,18911,,0,0,5045,18911
Tobacco,barrels,14.265,,0.19975,152.03,1.874257548,,,,0,0,,,,0,0,,,8,35,43,81,,0,0,43,81
Wax,boxes,,,,152.03,0,,,,0,0,,,,0,0,,,,,0,0,1,1,0,1,0
Wheat,bushels,3.68,,0.05,152.03,0.121028744,,,,0,0,,1470,1383,2853,345,,,,,0,0,3641,3641,441,6494,786
Wine,pipes,20.5,,1,152.03,13.48418075,,,,0,0,,1,,1,13,23,,,,23,310,,0,0,24,323
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,607,,,,,1549,,,,,,19410,,,457,,22023
