Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,Jamaica,WI,,Boston,NA,,London,Bristol,Plymouth,Whitehave,Glasgow,Montrose,GB,,TOTAL,
,,1731,,,,Sterling,,,Quantity,Value,,Quantity,Value,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cheese,barrels,,,,153.28,0,,,0,0,3,3,0,,,,,,,0,0,3,0
Corn,bushels,1.65,,0.05,153.28,0.053823069,1400,1307,2707,146,2535,2535,136,,,,,,,0,0,5242,282
Deer Skins,,,,,153.28,0,,,0,0,41,41,0,,,,,,,0,0,41,0
Flour,barrels,8.02,,0.089285714,153.28,0.467165598,,27,27,13,,0,0,,,,,,,0,0,27,13
Furs,hhds,,,,153.28,0,,,0,0,1,1,0,,,,,,,0,0,1,0
Hemp,hhds,,,,153.28,0,,,0,0,,0,0,8,,,,,,8,0,8,0
Hoops,,,,,153.28,0,,,0,0,,0,0,,,,576,,,576,0,576,0
Iron,tons,,,,153.28,0,,,0,0,,0,0,,365,,,,,365,0,365,0
Logs (walnut),,,,,153.28,0,,,0,0,,0,0,,,,4,,,4,0,4,0
Peas,bushels,1.65,,0.05,153.28,0.053823069,,10,10,1,80,80,4,,,,,,,0,0,90,5
Plank,feet,3.6,,0.0005,153.28,0.001174322,,,0,0,1330,1330,2,2912,,,200,4869,,7981,9,9311,11
Planks,,3.6,,0.005,153.28,0.011743215,,,0,0,40,40,0,20,40,,12,,,72,1,112,1
Pork,hhds,55.97,,0.1,153.28,3.651487474,,,0,0,2,2,7,,,,,,,0,0,2,7
Pork,barrels,55.97,,0.05,153.28,1.825743737,,,0,0,21,21,38,,,,,,,0,0,21,38
Pork,casks,55.97,,0.05,153.28,1.825743737,,169,169,309,150,150,274,,,,,,,0,0,319,583
Shingles,,,,,153.28,0,,7322,7322,0,,0,0,,,,,,,0,0,7322,0
Shingles,M,,,,153.28,0,,7,7,0,,0,0,,,,,,,0,0,7,0
Skins,bundles,,,,153.28,0,,,0,0,4,4,0,1,,,,,,1,0,5,0
Skins,casks,,,,153.28,0,,,0,0,,0,0,53,,,,4,,57,0,57,0
Staves,,2.25,,0.001,153.28,0.001467902,,,0,0,,0,0,86528,5100,10600,10000,39000,5000,156228,229,156228,229
Tobacco,barrels,13.45,,0.20075,153.28,1.76153934,,,0,0,,0,0,3,,,9,15,3,30,53,30,53
Tobacco,hhds,13.45,,0.4015,153.28,3.52307868,,,0,0,1,1,4,5573,283,293,466,2118,192,8925,31443,8926,31447
Wheat,bushels,2.47,,0.05,153.28,0.080571503,,,0,0,6549,6549,528,,,,,,,0,0,6549,528
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,469,,,993,,,,,,,,31735,,33197
