Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,WI,,Bermuda,Boston,Georgia,NA,,London,Bristol,Falmouth,Whitehaven,Glasgow,GB,,Lisbon,Madeira,Teneriff,SEU,,TOTAL,
,,1739,,,,Sterling,,,,Quantity,Value,,,,Quantity,Value,,,,,,Quantity,Value,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,1.41,,0.05,169.69,0.041546349,,,,0,0,,48,,48,2,,,,,,0,0,,,,0,0,48,2
Beef,barrels,35.75,,0.05,169.69,1.053391479,5,,37,42,44,13,,8,21,22,,,,,,0,0,,,,0,0,63,66
Corn,bushels,1.41,,0.05,169.69,0.041546349,1300,800,70,2170,90,5400,884,1951,8235,342,,,,,,0,0,,,,0,0,10405,432
Deer Skins,cases,,,,169.69,0,,,,0,0,,,,0,0,,1,,,,1,0,,,,0,0,1,0
Deer Skins,,,,,169.69,0,,,,0,0,,39,,39,0,,,,,,0,0,,,,0,0,39,0
Flour,barrels,8.03,,0.089285714,169.69,0.422514164,,,58,58,25,,,41,41,17,,,,,,0,0,16,,,16,7,115,49
Heading (hhd),,3.22,,0.001,169.69,0.001897578,,2980,,2980,6,,,,0,0,,,,,,0,0,,,,0,0,2980,6
Hemp,pounds,,,,169.69,0,,,,0,0,,,,0,0,,,,700,,700,0,,,,0,0,700,0
Negroes,,26.64,,1,100,26.64,,,,0,0,,,2,2,53,,,,,,0,0,,,,0,0,2,53
Peas,bushels,1.41,,0.05,169.69,0.041546349,114,,250,364,15,72,80,434,586,24,,,,,,0,0,,,,0,0,950,39
Plank,feet,5.152,,0.0005,169.69,0.001518062,,,,0,0,,,,0,0,1500,,435,1400,400,3735,6,,,,0,0,3735,6
Plank,pieces,5.152,,0.005,169.69,0.015180623,,,,0,0,54,,,54,1,,,,,,0,0,,,,0,0,54,1
Planks,,5.152,,0.005,169.69,0.015180623,,,,0,0,,,,0,0,36,,,,,36,1,,,,0,0,36,1
Pork,hhds,54.88,,0.1,169.69,3.23413283,,,,0,0,1,,33,34,110,,,,,,0,0,,,,0,0,34,110
Pork,tierces,54.88,,,169.69,0,,,,0,0,1,,,1,0,,,,,,0,0,,,,0,0,1,0
Pork,barrels,54.88,,0.05,169.69,1.617066415,24,167,487,678,1096,61,340,3,404,653,,,,,,0,0,,,,0,0,1082,1749
Rum,gallons,2.33,,0.05,169.69,0.068654605,,,,0,0,,,231,231,16,,,,,,0,0,,,,0,0,231,16
Salt,bushels,1.7,,0.05,169.69,0.050091343,,,,0,0,,,40,40,2,,,,,,0,0,,,,0,0,40,2
Shingles,,,,,169.69,0,,,,0,0,24000,,8317,32317,0,,,,,,0,0,,,,0,0,32317,0
Skins,hhds,,,,169.69,0,,,,0,0,,,,0,0,38,5,,,,43,0,,,,0,0,43,0
Skins,casks,,,,169.69,0,,,,0,0,,,,0,0,,2,,,,2,0,,,,0,0,2,0
Skins,,,,,169.69,0,,,,0,0,,,,0,0,182,,,,,182,0,,,,0,0,182,0
Skins,barrels,,,,169.69,0,,,,0,0,,,,0,0,5,,,,,5,0,,,,0,0,5,0
Staves,,3.22,,0.001,169.69,0.001897578,,3700,,3700,7,,,,0,0,45100,21330,3279,9000,31000,109709,208,,3150,,3150,6,116559,221
Staves and heading,,3.22,,0.001,169.69,0.001897578,,,4000,4000,8,,,,0,0,,,,,,0,0,,,,0,0,4000,8
Tobacco,hhds,15.63,,0.4535,169.69,4.177149508,,,,0,0,,,,0,0,2790,944,285,657,1384,6060,25314,,,,0,0,6060,25314
Tobacco,barrels,15.63,,0.22675,169.69,2.088574754,,,,0,0,,,2,2,4,,,,14,,14,29,,,,0,0,16,33
Walnut,tons,,,,169.69,0,,,,0,0,,12,,12,0,,,,,,0,0,,,,0,0,12,0
Wheat,bushels,2.82,,0.05,169.69,0.083092698,,,,0,0,,9103,,9103,756,,,,,,0,0,1950,9162,2500,13612,1131,22715,1887
Wine,pipes,21.58,,1,169.69,12.71730803,,,,0,0,,,,0,0,25,,,,,25,318,,,,0,0,25,318
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1291,,,,,2002,,,,,,,25876,,,,,1144,,30313
