Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,New York,NA,,London,Bristol,Falmouth,Whitehaven,Dumfries,Glasgow,Greenock,GB,,Madeira,SEU,,TOTAL,
,,1746,,,,Sterling,,Quantity,Value,,,Quantity,Value,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,41.13,,0.05,179.86,1.143389303,26,26,30,,,0,0,,,,,,,,0,0,,0,0,26,30
Corn,bushels,1.82,,0.05,179.86,0.050594907,2747,2747,139,6500,1000,7500,379,,,,,,,,0,0,2754,2754,139,13001,657
Cotton,bags,1.83,,6,179.86,6.104748137,,0,0,,,0,0,,,,,,1,,1,6,,0,0,1,6
Iron,tons,6.5,,1,179.86,3.613921939,,0,0,,,0,0,,27,,,,,,27,98,,0,0,27,98
Peas,bushels,1.82,,0.05,179.86,0.050594907,,0,0,300,,300,15,,,,,,,,0,0,117,117,6,417,21
Pitch,barrels,11.42,,0.05,179.86,0.317469143,,0,0,,,0,0,73,,,,,,,73,23,,0,0,73,23
Plank,feet,6.528,,0.0005,179.86,0.001814745,,0,0,,,0,0,160,,,370,50,600,,1180,2,,0,0,1180,2
Planks,,6.528,,0.005,179.86,0.018147448,,0,0,,,0,0,,71,,,,,,71,1,,0,0,71,1
Pork,barrels,53.79,,0.05,179.86,1.495329701,395,395,591,358,70,428,640,,,,,,,,0,0,,0,0,823,1231
Shingles,M,,,,179.86,0,6,6,0,,,0,0,,,,,,,,0,0,,0,0,6,0
Shingles,,,,,179.86,0,7130,7130,0,,,0,0,,,,,,,,0,0,,0,0,7130,0
Skins,hhds,,,,179.86,0,,0,0,,,0,0,23,10,,,,,,33,0,,0,0,33,0
Skins,casks,,,,179.86,0,,0,0,,,0,0,,6,,,,,,6,0,,0,0,6,0
Staves,,4.08,,0.001,179.86,0.002268431,500,500,1,,,0,0,37500,18217,10000,21300,12000,67600,9700,176317,400,,0,0,176817,401
Tobacco,hhds,13.93,,0.4915,179.86,3.806624597,,0,0,,,0,0,2857,1005,301,1201,636,3342,355,9697,36913,,0,0,9697,36913
Tobacco,barrels,13.93,,0.24575,179.86,1.903312298,1,1,2,,,0,0,,,,,,,,0,0,,0,0,1,2
Wine,pipes,22.9,,1,179.86,12.73212499,,0,0,,,0,0,1,,,,,,,1,13,,0,0,1,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,763,,,,1034,,,,,,,,,37456,,,145,,39398
