Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,St. Christophers,WI,,Bermuda,Boston,Charlestown,Nantucket,New York,North Carolina,Philadelphia,Portsmouth,Rhode Island,Salem,NA,,London,Glasgow,Greenock,GB,,Africa,AFR,,Madeira,SEU,,TOTAL,
,,1764,,,,Sterling,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,tierces,60,,0.0665,172.86,2.30822631,,,,0,0,,,,,,,,,,,0,0,,30,,30,69,,0,0,,0,0,30,69
Bread,kegs,25.18,,0.044642857,172.86,0.650299169,,,,0,0,,,,,9,31,,,,,40,26,,,,0,0,,0,0,,0,0,40,26
Cash,pounds,1,,1,160.73,0.622161389,,,,0,0,125,,,,,,,,,100,225,140,,,,0,0,,0,0,,0,0,225,140
Cheese,pounds,,,,172.86,0,,,,0,0,,800,,,,,,,,1907,2707,0,,,,0,0,,0,0,,0,0,2707,0
Chocolate,pounds,,,,172.86,0,,,,0,0,,30,,,,,,,,100,130,0,,,,0,0,,0,0,,0,0,130,0
Chocolate,boxes,,,,172.86,0,,,,0,0,,1,,,,1,,,,1,3,0,,,,0,0,,0,0,,0,0,3,0
Coffee,pounds,,,,172.86,0,,,,0,0,2000,,,,100,,,,,,2100,0,,,,0,0,,0,0,,0,0,2100,0
Coffee,bags,,,,172.86,0,,,,0,0,,,,,,,,,,1,1,0,,,,0,0,,0,0,,0,0,1,0
Coffee,barrels,,,,172.86,0,,,,0,0,,,,,,,2,,,,2,0,,,,0,0,,0,0,,0,0,2,0
Dollars,,0.23,,1,100,0.23,,,,0,0,,,,,,,,200,200,,400,92,,,,0,0,,0,0,,0,0,400,92
Flour,barrels,12.81,,0.089285714,172.86,0.661662617,,,,0,0,,,,,64,,,,,,64,42,,,,0,0,,0,0,,0,0,64,42
Ginger,bags,,,,172.86,0,,3,,3,0,,,,,,,,,,,0,0,,,,0,0,,0,0,,0,0,3,0
Loaf sugar,boxes,1,,,172.86,0,,,,0,0,,,,,,,1,,,,1,0,,,,0,0,,0,0,,0,0,1,0
Loaf sugar,tierces,1,,12,172.86,6.942034016,,,,0,0,,16,3,,1,1,5,,,,26,180,,,,0,0,,0,0,,0,0,26,180
Loaf sugar,barrels,1,,6.25,172.86,3.615642717,,,,0,0,,70,,,,,1,,,8,79,286,,,,0,0,,0,0,,0,0,79,286
Loaf sugar,hhds,1,,25,172.86,14.46257087,,,,0,0,,1,,,13,8,,,,,22,318,,,,0,0,,0,0,,0,0,22,318
Loaf sugar,pounds,1,,0.05,172.86,0.028925142,,,,0,0,,3000,,,,,,,200,740,3940,114,,,,0,0,,0,0,,0,0,3940,114
Molasses,tierces,1.63,,3.05,172.86,2.876026843,,,,0,0,,2,,,,,,,,,2,6,,,,0,0,,0,0,,0,0,2,6
Molasses,gallons,1.63,,0.05,172.86,0.047147981,,,,0,0,1000,,,,,,,,,,1000,47,,,,0,0,,0,0,,0,0,1000,47
Molasses,barrels,1.63,,1.45,172.86,1.36729145,1,,,1,1,,2,,,,,,,,,2,3,,,,0,0,,0,0,,0,0,3,4
Molasses,hhds,1.63,,5.05,172.86,4.761946084,3,,30,33,157,10,22,,2,,3,,4,23,33,97,462,,,,0,0,,0,0,,0,0,130,619
Negroes,,34.74,,1,100,34.74,,,,0,0,,,,,,,,,,,0,0,,,,0,0,561,561,19489,,0,0,561,19489
Potatoes,hhds,,,,172.86,0,,,,0,0,,10,,,,,,,,,10,0,,,,0,0,,0,0,,0,0,10,0
Potatoes,bushels,,,,172.86,0,,,,0,0,,435,,,,,,,,10,445,0,,,,0,0,,0,0,,0,0,445,0
Potatoes,barrels,,,,172.86,0,,,,0,0,,,,,,,,,3,5,8,0,,,,0,0,,0,0,,0,0,8,0
Rum,puncheons,1,,5.25,172.86,3.037139882,,,,0,0,,,,,,,,,,,0,0,1,,,1,3,,0,0,,0,0,1,3
Rum,hhds,1,,5.25,172.86,3.037139882,38,49,20,107,325,10,65,30,,,,,1,13,43,162,492,,,,0,0,,0,0,,0,0,269,817
Rum,tierces,1,,3,172.86,1.735508504,,,,0,0,,,,,,,,,,2,2,3,,,,0,0,,0,0,,0,0,2,3
Rum,barrels,1,,1.45,172.86,0.83882911,,,,0,0,,100.5,14,5,,,,,,40,159.5,134,,,,0,0,,0,0,,0,0,159.5,134
Rum,gallons,1,,0.05,172.86,0.028925142,,,,0,0,800,,,,,,,,,,800,23,,,,0,0,,0,0,,0,0,800,23
Salt,hhds,1.92,,0.35,172.86,0.388753905,,,,0,0,,44,,15,,,,30,,137,226,88,,,,0,0,,0,0,,0,0,226,88
Salt,bushels,1.92,,0.05,172.86,0.055536272,800,,2000,2800,156,2500,500,,,,,,,,,3000,167,,,8000,8000,444,,0,0,,0,0,13800,767
Sugar,barrels,48.74,,0.15,172.86,4.229434224,,50,53,103,436,,37,,,,,,,10,22,69,292,,,,0,0,,0,0,,0,0,172,728
Sugar,pounds,48.74,,0.000446429,172.86,0.012587602,,,,0,0,10000,,,,,,,,,1852,11852,149,,,,0,0,,0,0,,0,0,11852,149
Sugar,tierces,48.74,,0.489285714,172.86,13.79601164,6,,,6,83,,,,,,,,,,,0,0,,,,0,0,,0,0,,0,0,6,83
Sugar,casks,48.74,,0.15,172.86,4.229434224,,,,0,0,15,,,,,,,,,,15,63,,,,0,0,,0,0,,0,0,15,63
Sugar,hhds,48.74,,0.632142857,172.86,17.82404423,8,,,8,143,,1,,,,,,,6,1,8,143,,,,0,0,,0,0,,0,0,16,286
Wine,quarter casks,50.56,,0.25,172.86,7.31227583,,,,0,0,,17,,,,,,,,7,24,175,4,,,4,29,,0,0,23,23,168,51,372
Wine,pipes,50.56,,1,172.86,29.24910332,,,,0,0,,,,,,,2,,,,2,58,8,41,,49,1433,,0,0,33,33,965,84,2456
Wine,hhds,50.56,,0.5,172.86,14.62455166,,,,0,0,,,,,,,,,,,0,0,3,1,,4,58,,0,0,12,12,175,16,233
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,1301,,,,,,,,,,,,3503,,,,,2036,,,19489,,,1308,,27637
