Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,Jamaica,St. Kitts,WI,,Boston,Nantucket,New York,Rhode Island,Salem,NA,,London,Falmouth,Glasgow,GB,,Dublin,IRE,,Barcelona,Lisbon,Madeira,SEU,,TOTAL,
,,1765,,,,Sterling,,,,Quantity,Value,,,,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,26.35,,1,169.9,15.50912301,,,,0,0,,,,,,0,0,42.5,,2,44.5,690,,0,0,,,,0,0,44.5,690
Beans,bushels,3.01,,0.05,169.9,0.088581519,,,,0,0,58,9.5,,,30,67.5,6,,,,0,0,,0,0,,,,0,0,67.5,6
Bread,barrels,24.92,,0.089285714,169.9,1.309593879,307,,,307,402,130,45,,,,175,229,,,,0,0,,0,0,,,,0,0,482,631
Bread,pounds,24.92,,0.000446429,169.9,0.006547969,,,,0,0,,1500,,,,1500,10,,,,0,0,,0,0,,,,0,0,1500,10
Corn,bushels,3.01,,0.05,169.9,0.088581519,8251.5,1800,1500,11551.5,1023,19935,2590,1767.5,18,11471.5,24310.5,2153,,,,0,0,,0,0,,1895,,1895,168,37757,3344
Flour,barrels,13.5,,0.089285714,169.9,0.709450938,427,,,427,303,233,89,,,3,322,228,,,,0,0,28,28,20,,400,,400,284,1177,835
Heading,,6.84,,0.001,169.9,0.004025898,4500,,,4500,18,300,,,,,300,1,,,,0,0,,0,0,,,,0,0,4800,19
Hoops,,,,,169.9,0,,,1000,1000,0,,,,,,0,0,,,,0,0,,0,0,,,,0,0,1000,0
Logs (walnut),feet,10.944,,0.0005,169.9,0.003220718,,,,0,0,,,,,,0,0,40,,,40,0,,0,0,,,,0,0,40,0
Negroes,,34.74,,1,100,34.74,,,,0,0,2,,,,,2,69,,,,0,0,,0,0,,,,0,0,2,69
Peas,bushels,3.01,,0.05,169.9,0.088581519,20,,,20,2,,31,,,30,31,3,,,,0,0,,0,0,,,,0,0,51,5
Pig iron,tons,8.79,,1,169.9,5.173631548,,,,0,0,,,,,,0,0,149,,16,165,854,,0,0,,,,0,0,165,854
Plank,feet,10.944,,0.0005,169.9,0.003220718,,,,0,0,,,,,180,0,0,5874,,,5874,19,1242,1242,4,,,,0,0,7116,23
Pork,barrels,74.36,,0.05,169.9,2.188346086,24,20,,44,96,,,,,6,0,0,,,,0,0,,0,0,,,,0,0,44,96
Rye,bushels,3.01,,0.05,169.9,0.088581519,,,,0,0,260,15,,,180,275,24,,,,0,0,,0,0,,,,0,0,275,24
Shingles,,,,,169.9,0,8025,,,8025,0,,,,,,0,0,,,,0,0,,0,0,,,,0,0,8025,0
Spirits,gallons,3.02,,0.05,169.9,0.088875809,,,,0,0,40,,,,,40,4,,,,0,0,,0,0,,,,0,0,40,4
Staves,,6.84,,0.001,169.9,0.004025898,27600,,9000,36600,147,40800,2000,800,748,,44348,179,61904,,12000,73904,298,2520,2520,10,11000,1200,6780,18980,76,176352,710
Staves (barrels),,70.63,,0.00005,169.9,0.002078576,,,,0,0,,2500,,,,2500,5,,,,0,0,,0,0,,,,0,0,2500,5
Staves and heading,,6.84,,0.001,169.9,0.004025898,,2600,,2600,10,,,,,,0,0,8800,,,8800,35,,0,0,,,,0,0,11400,45
Tobacco,hhds,18.13,,0.555,169.9,5.922395527,,,,0,0,,,,,,0,0,2377,70,348,2795,16553,,0,0,,,,0,0,2795,16553
Tobacco,pounds,18.13,,0.0005,169.9,0.005335491,2243,,,2243,12,,,,,,0,0,,,,0,0,,0,0,,,,0,0,2243,12
Wheat,bushels,4.7,,0.05,169.9,0.138316657,,,,0,0,866.5,,1000,65,4212.5,1931.5,267,,,,0,0,4700,4700,650,,13380,13762.75,27142.75,3754,33774.25,4671
Wine,casks,47.29,,,169.9,0,,,,0,0,,,,,,0,0,2,,,2,0,,0,0,,,,0,0,2,0
Wine,hhds,47.29,,0.5,169.9,13.91701001,,,,0,0,,,,,,0,0,2,,,2,28,,0,0,,,,0,0,2,28
Wine,pipes,47.29,,1,169.9,27.83402001,,,,0,0,,,,,,0,0,5,,,5,139,,0,0,,,,0,0,5,139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,2013,,,,,,,3178,,,,,18616,,,684,,,,,4282,,28773
