Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Nevis,St. Christophers,St. Eustatia,St. Lucia,St. Martins,Tobago,Tortola,WI,,Boston,Falmouth,Lewes DE,New York,Philadelphia,Piscataqua,Rhode Island,Salem,NA,,Cork,IRE,,Senegal,AFR,,TOTAL,
,,1770,,,,Sterling,,,,,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,tierces,51.39,,0.0665,153.92,2.220267022,,,,,,,,,,0,0,,,,,,,,,0,0,40,40,89,,0,0,40,89
Bread,casks,28.53,,0.089285714,153.92,1.654964546,,,,,,,,,,0,0,,,,,,,,,0,0,4,4,7,,0,0,4,7
Cheese,pounds,,,,153.92,0,,,,,,,,,,0,0,3404,,,,1000,336,1500,650,6890,0,,0,0,,0,0,6890,0
Chocolate,pounds,,,,153.92,0,,,,,,,,,,0,0,700,100,,100,25,,224,262,1411,0,,0,0,,0,0,1411,0
Coffee,pounds,,,,153.92,0,,,,,,,,,,0,0,6,,,,183,,,,189,0,,0,0,,0,0,189,0
Cotton,pounds,1.32,,0.05,153.92,0.042879418,,200,,90,,,,90,,380,16,,,,,,,,,0,0,,0,0,,0,0,380,16
Dollars,,0.23,,1,100,0.23,,,,,,,,,,0,0,70,,,,,,270,,340,78,,0,0,,0,0,340,78
Ginger,pounds,,,,153.92,0,,,,,,,,,,0,0,,,,,25,,,,25,0,,0,0,,0,0,25,0
Linen,pieces,,,,153.92,0,,,,,,,,,,0,0,,,,,,,,,0,0,286,286,0,,0,0,286,0
Loaf sugar,pounds,1,,0.05,153.92,0.032484407,,,,,,,,,,0,0,558,,,,,,,,558,18,,0,0,,0,0,558,18
Molasses,gallons,1.86,,0.05,153.92,0.060420998,,,,400,720,2450,,,,3570,216,2228,,,,,120,1250,2646,6244,377,,0,0,,0,0,9814,593
Molasses,barrels,1.86,,1.45,153.92,1.75220894,,,,,,,,,,0,0,,,,,,,,2,2,4,,0,0,,0,0,2,4
Negroes,,38.39,,1,100,38.39,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,124,124,4760,124,4760
Peas,firkins,,,,153.92,0,,,,,,,,,,0,0,,,,,,,,,0,0,4,4,0,,0,0,4,0
Pieces of eight,,0.23,,1,100,0.23,,,,,,,,,,0,0,250,,,,,,,,250,58,,0,0,,0,0,250,58
Pork,barrels,77.04,,0.05,153.92,2.502598753,,,,,,,,,,0,0,,,,,,,,,0,0,22,22,55,,0,0,22,55
Potatoes,bushels,,,,153.92,0,,,,,,,,,,0,0,,,,,,,40,,40,0,,0,0,,0,0,40,0
Rice,pounds,16.29,,0.000446429,153.92,0.004724741,,,,,,,,,,0,0,,,,,500,,,,500,2,,0,0,,0,0,500,2
Rum,gallons,3.01,,0.05,153.92,0.097778067,1400,982,8030,4000,1500,,,210,2200,18322,1791,3930,180,,520,912,345,1900,1083,8870,867,,0,0,,0,0,27192,2658
Salt,bushels,1.76,,0.05,153.92,0.057172557,,,,,,,250,,,250,14,88,60,7500,600,921,22,250,248,9689,554,,0,0,,0,0,9939,568
Servants,,13.96,,1,100,13.96,,,,,,,,,,0,0,,,,,,,,,0,0,58,58,810,,0,0,58,810
Sterling cash,pounds,1,,1,100,1,,,,,100,,,,,100,100,,,,,,,,,0,0,,0,0,,0,0,100,100
Sugar,pounds,51.8,,0.000446429,153.92,0.015024038,2400,,4350,,,,2688,600,,10038,151,672,,,2016,2273,672,1474,1064,8171,123,,0,0,,0,0,18209,274
Tea,pounds,6.33,,0.05,153.92,0.205626299,,,,,,,,,,0,0,,,,140,,,,,140,29,,0,0,,0,0,140,29
Wine,gallons,49.58,,0.007936508,153.92,0.255647131,,,,,,,,,,0,0,,,,110,,,,,110,28,,0,0,,0,0,110,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,,2288,,,,,,,,,,2138,,,961,,,4760,,10147
