Good,Unit,Price,Price,Conv,Exch,Price,Bermuda,NA,,London,Bristol,Exon,Liverpool,Topsham,Weymouth,Dunbar,Glasgow,GB,,TOTAL,
,,1727,,,,Sterling,,Quantity,Value,,,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Corn,bushels,2.02,,0.05,149.58,0.067522396,3000,3000,203,,,,,,,,,0,0,3000,203
Furs,boxes,,,,149.58,0,,0,0,1,,,,,,,,1,0,1,0
Furs,hhds,,,,149.58,0,,0,0,1,,,,,,,,1,0,1,0
Heading,,2.25,,0.001,149.58,0.001504212,,0,0,,,,2600,,,,,2600,4,2600,4
Iron,tons,,,1,149.58,0,,0,0,,63,,,,,2,,65,0,65,0
Logs (walnut),,,,,149.58,0,,0,0,,,,20,,,,,20,0,20,0
Pig iron,tons,,,1,149.58,0,,0,0,,20,,,,,,,20,0,20,0
Pitch,barrels,18.4,,0.05,149.58,0.615055489,,0,0,,,,36,,,,,36,22,36,22
Plank,feet,3.6,,0.0005,149.58,0.001203369,,0,0,214,947,,400,175,4500,,150,6386,8,6386,8
Planks,,3.6,,0.005,149.58,0.012033694,,0,0,,,,2,,,,,2,0,2,0
Staves (barrels),,22.5,,0.00005,149.58,0.000752106,,0,0,,3500,,1000,,,,6000,10500,8,10500,8
Staves (hhds),,2.25,,0.001,149.58,0.001504212,,0,0,7850,47286,4000,3500,500,4600,6500,45647,119883,180,119883,180
Staves (pipes),,3,,0.001,149.58,0.002005616,,0,0,,,,200,,,,,200,0,200,0
Tobacco,barrels,17.87,,0.197,149.58,2.353516513,,0,0,,5,8,,,,37,60,110,259,110,259
Tobacco,hhds,17.87,,0.394,149.58,4.707033026,,0,0,1311,2219,222,1087,67,296,331,2417,7950,37421,7950,37421
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,203,,,,,,,,,,37902,,38105
