Good,Unit,Price,Price,Conv,Exch,Price,Bermuda,Boston,North Carolina,NA,,London,Bristol,Liverpool,Weymouth,Whitehaven,Dumfries,Dunbar,Glasgow,Greenock,Leith,GB,,TOTAL,
,,1730,,,,Sterling,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,1.93,,0.05,152.03,0.063474314,,12,,12,1,,,,,,,,,,,0,0,12,1
Corn,bushels,1.93,,0.05,152.03,0.063474314,1400,825,,2225,141,,,,,,,,,,,0,0,2225,141
Deer Skins,,,,,152.03,0,,,,0,0,32,90,,,,,,,,,122,0,122,0
Pig iron,tons,,,1,152.03,0,,,,0,0,42,137.5,,,,,65,,,,244.5,0,244.5,0
Plank,feet,3.6,,0.0005,152.03,0.001183977,,,,0,0,1700,150,,500,1000,20,,,,200,3570,4,3570,4
Pork,barrels,59.24,,0.05,152.03,1.948299678,,16,,16,31,,,,,,,,,,,0,0,16,31
Rum,gallons,2.87,,0.05,152.03,0.094389265,,,30,30,3,,,,,,,,,,,0,0,30,3
Staves (barrels),,22.5,,0.00005,152.03,0.000739986,,,,0,0,9060,2650,7700,,21000,1000,6400,15000,6000,,68810,51,68810,51
Staves (hhds),,2.25,,0.001,152.03,0.001479971,,,,0,0,1360,8380,4000,1700,,,7000,,1000,4000,27440,41,27440,41
Staves (pipes),,3,,0.001,152.03,0.001973295,,,,0,0,6800,2067,,,,,,,,,8867,17,8867,17
Sugar,tierces,32.63,,0.480803571,152.03,10.31942415,,,,0,0,,,,,,,14,,,,14,144,14,144
Tobacco,tubs,14,,0.099875,152.03,0.919719792,,,,0,0,,4,,,,,,,,,4,4,4,4
Tobacco,barrels,14,,0.19975,152.03,1.839439584,,,,0,0,,1,,,25,,,15,8,1,50,92,50,92
Tobacco,hhds,14,,0.3995,152.03,3.678879169,,,,0,0,1587,1179,607,151,1057,105,341,664,303,249,6243,22967,6243,22967
Wheat,bushels,3.68,,0.05,152.03,0.121028744,,410,,410,50,,,,,,,,,,,0,0,410,50
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,226,,,,,,,,,,,,23320,,23546
