Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,Boston,Carolina,New England,NA,,London,Bristol,Liverpool,Whitehaven,Dumfries,Glasgow,Irvine,Kirkcudbright,GB,,Madeira,SEU,,TOTAL,
,,1735,,,,Sterling,,Quantity,Value,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,1.58,,0.05,166.11,0.047558847,80,80,4,,94,,,94,4,,,,,,,,,0,0,20,20,1,194,9
Corn,bushels,1.58,,0.05,166.11,0.047558847,7057,7057,336,1800,3993,,957,6750,321,,,,,,,,,0,0,2450,2450,117,16257,774
Deer Skins,,,,,166.11,0,,0,0,,38,,45,83,0,,,,,,,,,0,0,,0,0,83,0
Hoops,,,,,166.11,0,,0,0,,,,,0,0,,,,,,820,,480,1300,0,,0,0,1300,0
Peas,bushels,1.58,,0.05,166.11,0.047558847,66,66,3,50,25,,81,156,7,,,,,,,,,0,0,356,356,17,578,27
Peas,hhds,1.59,,0.35,166.11,0.335018963,,0,0,,,,4,4,1,,,,,,,,,0,0,,0,0,4,1
Pig iron,tons,,,1,166.11,0,,0,0,,,,,0,0,160,112,55,40,,,,,207,0,,0,0,207,0
Plank,feet,4.096,,0.0005,166.11,0.001232918,,0,0,,,,,0,0,,,100,700,,2577,,,3377,4,,0,0,3377,4
Planks,,4.096,,0.005,166.11,0.012329179,,0,0,,,,,0,0,,,63,,40,,,,103,1,,0,0,103,1
Pork,pounds,37.59,,0.00025,166.11,0.005657396,,0,0,,,,4832,4832,27,,,,,,,,,0,0,,0,0,4832,27
Pork,barrels,37.59,,0.05,166.11,1.13147914,19,19,21,,25,,,25,28,,,,,,,,,0,0,,0,0,44,49
Rum,gallons,2.36,,0.05,166.11,0.071037264,,0,0,,115,100,,215,15,,,,,,,,465.5,465.5,33,,0,0,680.5,48
Staves,,2.56,,0.001,166.11,0.001541147,3000,3000,5,,,,,0,0,31500,242540,19500,21900,4000,39000,6500,7000,340440,525,,0,0,343440,530
Sugar,pounds,35.64,,0.000446429,166.11,0.00957842,100,100,1,,,,,0,0,,,,,,,,,0,0,,0,0,100,1
Tobacco,hhds,15.65,,0.4195,166.11,3.952305701,,0,0,,,,,0,0,2026,900,1139,1156,187,1629,245,146,5402,21350,,0,0,5402,21350
Wheat,bushels,3.85,,0.05,166.11,0.115887063,,0,0,,247,5,72,324,38,,,,,,,,,0,0,,0,0,324,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,370,0,370,0,,,441,0,441,0,,,,,,,21913,0,,135,,22859
