Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Barbadoes,WI,,Bermuda,Boston,New England,NA,,Gambia,AFR,,Isle of May,SEU,,TOTAL,
,,1738,,,,Sterling,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,160.42,0,,,0,0,,,200,200,0,,0,0,,0,0,200,0
Molasses,hhds,1.6,,5.05,160.42,5.036778457,3,,3,15,16,5,3,24,121,,0,0,,0,0,27,136
Molasses,casks,1.6,,3.05,160.42,3.042014711,,15,15,46,,,,0,0,,0,0,,0,0,15,46
Negroes,,26.64,,1,100,26.64,,,0,0,,,,0,0,121,121,3223,,0,0,121,3223
Rum,hhds,2.29,,5.25,160.42,7.494389727,,,0,0,,17,,17,127,,0,0,,0,0,17,127
Rum,gallons,2.29,,0.05,160.42,0.07137514,318,6015,6333,452,620,,455,1075,77,,0,0,,0,0,7408,529
Salt,bushels,1.77,,0.05,160.42,0.055167685,,,0,0,1300,,224,1524,84,,0,0,1500,1500,83,3024,167
Sugar,pounds,38.98,,0.000446429,160.42,0.010847641,,2825,2825,31,1800,,,1800,20,,0,0,,0,0,4625,51
Sugar,hhds,38.98,,0.596428571,160.42,14.49244839,,,0,0,,2,,2,29,,0,0,,0,0,2,29
Sugar,barrels,38.98,,0.15,160.42,3.644807381,3,,3,11,4,,2,6,22,,0,0,,0,0,9,33
Wine,pipes,22,,1,160.42,13.71400075,,13,13,178,,,,0,0,,0,0,,0,0,13,178
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,733,,,,,480,,,3223,,,83,,4519
