Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Boston,New York,North Carolina,Rhode Island,Salem,NA,,London,Whitehaven,GB,,Africa,AFR,,TOTAL,
,,1760,,,,Sterling,,Quantity,Value,,,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cash,pounds,1,,1,141.43,0.707063565,,0,0,,,,11,,11,8,,,0,0,,0,0,11,8
Convicts,,12.94909091,,1,100,12.94909091,,0,0,,,,,,0,0,67,55,122,1580,,0,0,122,1580
Loaf sugar,hhds,1.01,,25,158.61,15.9195511,,0,0,2,,,,,2,32,,,0,0,,0,0,2,32
Molasses,hhds,2.7,,5.05,158.61,8.596557594,,0,0,7,,,3,12,22,189,,,0,0,,0,0,22,189
Molasses,casks,2.7,,,158.61,0,,0,0,,,,5,,5,0,,,0,0,,0,0,5,0
Negroes,,35.61,,1,100,35.61,,0,0,,,,,,0,0,,,0,0,200,200,7122,200,7122
Plank,feet,8.56,,0.0005,158.61,0.002698443,,0,0,,,260,,,260,1,,,0,0,,0,0,260,1
Refined sugar,pounds,1.01,,0.05,158.61,0.031839102,,0,0,,,,220,,220,7,,,0,0,,0,0,220,7
Refined sugar,casks,1.01,,6.25,158.61,3.979887775,,0,0,,1,,,,1,4,,,0,0,,0,0,1,4
Rum,hhds,4.73,,5.25,158.61,15.65632684,,0,0,,,,3,,3,47,,,0,0,,0,0,3,47
Rum,gallons,4.73,,0.05,158.61,0.149107875,11780,11780,1756,,,,400,1638,2038,304,,,0,0,,0,0,13818,2060
Rum,barrels,4.73,,1.45,158.61,4.324128365,,0,0,,,,1,8,9,39,,,0,0,,0,0,9,39
Salt,bushels,2.555,,0.05,158.61,0.080543471,,0,0,,,,,2500,2500,201,,,0,0,,0,0,2500,201
Salt,hhds,2.555,,0.35,158.61,0.5638043,,0,0,,,,,16,16,9,,,0,0,,0,0,16,9
Shingles,,,,,158.61,0,,0,0,,,2400,,,2400,0,,,0,0,,0,0,2400,0
Spirits,gallons,4.73,,0.05,158.61,0.149107875,,0,0,432,,,,,432,64,,,0,0,,0,0,432,64
Sugar,pounds,47.85,,0.000446429,158.61,0.013468008,,0,0,,,,,800,800,11,,,0,0,,0,0,800,11
Sugar,hhds,47.85,,0.632142857,158.61,19.07069902,,0,0,2,4,,,,6,114,,,0,0,,0,0,6,114
Sugar,barrels,47.85,,0.15,158.61,4.525250615,20,20,91,,,,1,17,18,81,,,0,0,,0,0,38,172
Tar,barrels,10.82,,0.05,158.61,0.341088204,,0,0,,,300,,,300,102,,,0,0,,0,0,300,102
Turpentine,barrels,14.29,,0.05,158.61,0.45047601,,0,0,,,30,,,30,14,,,0,0,,0,0,30,14
Wine,pipes,50.31,,1,158.61,31.71931152,,0,0,,,3,,,3,95,,,0,0,,0,0,3,95
Wine,quarter casks,50.31,,0.25,158.61,7.92982788,,0,0,,,1,4,,5,40,,,0,0,,0,0,5,40
Wine,hhds,50.31,,0.5,158.61,15.85965576,,0,0,,,1,,,1,16,,,0,0,,0,0,1,16
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,1847,,,,,,,1378,,,,1580,,,7122,,11927
