Good,Unit,Price,Price,Conv,Exch,Price,Bermuda,Boston,NA,,London,Barnstaple,Bideford,Exon,Lyme Regis,Weymouth,Whitehaven,Dumfries,Glasgow,GB,,TOTAL,
,,1726,,,,Sterling,,,Quantity,Value,,,,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.13,,0.05,144.46,0.07372283,,164,164,12,,,,,,,,,,0,0,164,12
Corn,bushels,2.13,,0.05,144.46,0.07372283,3200,3089,6289,464,,,,,,,,,,0,0,6289,464
Deer Skins,,,,,144.46,0,,784,784,0,,,,,,,,,,0,0,784,0
Iron,pounds,,,0.000446429,144.46,0,,627,627,0,,,,,,,,,,0,0,627,0
Peas,bushels,2.13,,0.05,144.46,0.07372283,6,123,129,10,,,,,,,,,,0,0,129,10
Plank,pieces,3.6,,0.005,144.46,0.012460197,6,,6,0,,,,,,,,,,0,0,6,0
Plank,feet,3.6,,0.0005,144.46,0.00124602,,,0,0,,,,,600,300,,300,650,1850,2,1850,2
Pork,pounds,48.58,,0.00025,144.46,0.008407172,,10600,10600,89,,,,,,,,,,0,0,10600,89
Pork,barrels,48.58,,0.05,144.46,1.681434307,,3,3,5,,,,,,,,,,0,0,3,5
Staves,,2.25,,0.001,144.46,0.001557525,,,0,0,4000,7000,10500,4000,2700,5000,15500,5000,44000,97700,152,97700,152
Tar,barrels,14.74,,0.05,144.46,0.510175827,,,0,0,21,,,,,,,,,21,11,21,11
Tobacco,tubs,17.22,,0.098,144.46,1.168184965,,,0,0,,,,,1,,,1,4,6,7,6,7
Tobacco,hhds,17.22,,0.392,144.46,4.672739859,,,0,0,479,153,658,185,190,250,1011,239,1737,4902,22906,4902,22906
Tobacco,barrels,17.22,,0.196,144.46,2.336369929,,,0,0,,,,2,,2,10,8,10,32,75,32,75
Wheat,bushels,3.82,,0.05,144.46,0.132216531,,401,401,53,,,,,,,,,,0,0,401,53
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,633,,,,,,,,,,,23153,,23786
