Good,Unit,Price,Price,Conv,Exch,Price,Antigua,WI,,Boston,New England,NA,,London,Bideford,Liverpool,Plymouth,Weymouth,Whitehaven,Ayr,Dumfries,Glasgow,Greenock,GB,,TOTAL,
,,1741,,,,Sterling,,Quantity,Value,,,Quantity,Value,,,,,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.74,,0.05,146.14,0.093745723,10,10,1,100,,100,9,,,,,,,,,,,0,0,110,10
Corn,bushels,2.74,,0.05,146.14,0.093745723,120,120,11,1000,200,1200,112,,,,,,,,,,,0,0,1320,123
Deer Skins,,,,,146.14,0,,0,0,,478,478,0,1271,,54,,,,,,,,1325,0,1803,0
Deer Skins,boxes,,,,146.14,0,,0,0,,,0,0,4,,,,,,,,,,4,0,4,0
Iron,tons,9.59,,1,146.14,6.56220063,,0,0,,,0,0,58,,,20,,,,,,,78,512,78,512
Logs (walnut),,,,,146.14,0,,0,0,,,0,0,,,,,,,,,6,,6,0,6,0
Plank,feet,7.2,,0.0005,146.14,0.002463391,,0,0,,,0,0,300,,472,,700,840,,700,150,,3162,8,3162,8
Pork,pounds,49.83,,0.00025,146.14,0.00852436,,0,0,,8000,8000,68,,,,,,,,,,,0,0,8000,68
Pork,hhds,49.83,,0.1,146.14,3.409744081,,0,0,1,,1,3,,,,,,,,,,,0,0,1,3
Staves,,4.5,,0.001,146.14,0.003079239,,0,0,,,0,0,13210,,10000,4000,2400,14600,2800,16400,23000,5000,91410,281,91410,281
Tobacco,hhds,14.83,,0.4705,146.14,4.774541536,,0,0,,,0,0,553,242,513,574,190,1004,457,529,815,244,5121,24450,5121,24450
Wheat,bushels,4.47,,0.05,146.14,0.152935541,20,20,3,100,100,200,31,,,,,,,,,,,0,0,220,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,15,,,,223,,,,,,,,,,,,25251,,25489
