Good,Unit,Price,Price,Conv,Exch,Price,Bermuda,Cape Ann,NA,,London,Liverpool,Whitehaven,Ayr,Dumfries,Glasgow,Leith,Penryn,GB,,Unknown,UNK,,TOTAL,
,,1745,,,,Sterling,,,Quantity,Value,,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,1.69,,0.05,174.77,0.048349259,,40,40,2,,,,,,,,,0,0,,0,0,40,2
Corn,bushels,1.69,,0.05,174.77,0.048349259,2000,800,2800,135,,,,,,,,,0,0,,0,0,2800,135
Deer Skins,,,,,174.77,0,,276,276,0,342,,66,,2,,,,410,0,,0,0,686,0
Hoops,,,,,174.77,0,,,0,0,,,540,,,240,,,780,0,,0,0,780,0
Pig iron,tons,8,,1,174.77,4.577444642,,,0,0,60,,20,,,,,,80,366,,0,0,80,366
Plank,feet,4.688,,0.0005,174.77,0.001341191,,,0,0,590,600,1034,500,3200,1300,250,,7474,10,,0,0,7474,10
Pork,barrels,53.02,,0.05,174.77,1.516850718,8,,8,12,,,,,,,,,0,0,,0,0,8,12
Staves,,2.93,,0.001,174.77,0.001676489,,,0,0,11500,8500,26540,15400,34650,38440,5000,,140030,235,,0,0,140030,235
Tar,barrels,10.92,,0.05,174.77,0.312410597,,,0,0,,,,22,24,,,,46,14,,0,0,46,14
Tobacco,hhds,13.05,,0.4875,174.77,3.640141329,,,0,0,427,314,1758,1382,1969,2035,73,81,8039,29263,201,201,732,8240,29995
Wheat,bushels,2.6,,0.05,174.77,0.074383475,,300,300,22,,,,,,,,,0,0,,0,0,300,22
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,171,,,,,,,,,,29888,,,732,,30791
