Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,Bermuda,Boston,Salem,NA,,London,Dumfries,GB,,Dublin,IRE,,Africa,AFR,,TOTAL,
,,1739,,,,Sterling,,,Quantity,Value,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indigo,pounds,7.44,,0.05,169.69,0.21922329,,,0,0,,,4,4,1,,,0,0,,0,0,,0,0,4,1
Linen,yards,,,,169.69,0,,,0,0,,,,0,0,,9250,9250,0,3293,3293,0,,0,0,12543,0
Molasses,hhds,1.59,,5.05,169.69,4.731863987,,,0,0,,8,3,11,52,,,0,0,,0,0,,0,0,11,52
Molasses,barrels,1.59,,1.45,169.69,1.358654016,,,0,0,,1,,1,1,,,0,0,,0,0,,0,0,1,1
Negroes,,26.64,,1,100,26.64,,,0,0,,,,0,0,,,0,0,,0,0,130,130,3463,130,3463
Rum,tierces,2.33,,3,169.69,4.119276327,9,1,10,41,,,,0,0,,,0,0,,0,0,,0,0,10,41
Rum,barrels,2.33,,1.45,169.69,1.990983558,,23,23,46,1,4,,5,10,,,0,0,,0,0,,0,0,28,56
Rum,hhds,2.33,,5.25,169.69,7.208733573,14,64,78,562,2,7,4,13,94,,,0,0,,0,0,,0,0,91,656
Salt,hhds,1.7,,0.35,169.69,0.350639401,,,0,0,,2,10,12,4,,,0,0,,0,0,,0,0,12,4
Salt,bushels,1.7,,0.05,169.69,0.050091343,,,0,0,,,,0,0,2000,,2000,100,,0,0,,0,0,2000,100
Sugar,pounds,38.08,,0.000446429,169.69,0.010018269,,,0,0,,,300,300,3,,,0,0,,0,0,,0,0,300,3
Sugar,barrels,38.08,,0.15,169.69,3.366138252,9,35,44,148,,2,,2,7,,,0,0,,0,0,,0,0,46,155
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,797,,,,,172,,,,100,,,0,,,3463,,4532
