Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,Corotuck,NA,,Ayr,Glasgow,Montrose,GB,,TOTAL,
,,1750,,,,Sterling,,Quantity,Value,,,Quantity,Value,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Convicts,,9.861818182,,1,100,9.861818182,,0,0,,,0,0,6,1,45,52,513,52,513
Molasses,hhds,1.69,,5.05,170.6,5.002637749,4,4,20,,,0,0,,,,0,0,4,20
Negroes,,27.12,,1,100,27.12,50,50,1356,,,0,0,,,,0,0,50,1356
Rum,hhds,3.46,,5.25,170.6,10.64771395,25,25,266,1.5,,1.5,16,,,,0,0,26.5,282
Salt,bushels,1.55,,0.05,170.6,0.045427902,,0,0,1000,,1000,45,,,1824,1824,83,2824,128
Sugar,barrels,51.98,,0.15,170.6,4.570339977,49,49,224,,,0,0,,,,0,0,49,224
Tobacco,hhds,17.1,,0.5005,170.6,5.016735053,39,39,196,,,0,0,,,,0,0,39,196
Turpentine,barrels,19.5,,0.05,170.6,0.571512309,,0,0,,11,11,6,,,,0,0,11,6
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,2062,,,,67,,,,,596,,2725
