Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,St. Christophers,WI,,Turks Island,Philadelphia,Salem,NA,,Liverpool,GB,,Madeira,SEU,,TOTAL,
,,1766,,,,Sterling,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cash,shillings,1,,0.05,128.48,0.038916563,,,0,0,,,17,17,1,,0,0,,0,0,17,1
Cash,pounds,1,,1,128.48,0.778331258,,,0,0,,,12,12,9,,0,0,,0,0,12,9
Cheese,pounds,,,,162.96,0,,,0,0,,,100,100,0,,0,0,,0,0,100,0
Chocolate,boxes,,,,162.96,0,,,0,0,,,2,2,0,,0,0,,0,0,2,0
Cotton,bags,1.87,,6,162.96,6.885125184,2,,2,14,,,,0,0,,0,0,,0,0,2,14
Loaf sugar,tierces,1.22,,17,162.96,12.72704958,,,0,0,,2,,2,25,,0,0,,0,0,2,25
Loaf sugar,hhds,1.22,,25,162.96,18.71624939,,,0,0,,1,,1,19,,0,0,,0,0,1,19
Loaf sugar,barrels,1.22,,6.25,162.96,4.679062347,,,0,0,,6,,6,28,,0,0,,0,0,6,28
Molasses,hhds,1.92,,5.05,162.96,5.949926362,,12,12,71,,1,5,6,36,,0,0,,0,0,18,107
Rum,barrels,3.02,,1.45,162.96,2.687162494,4,,4,11,,,14,14,38,,0,0,,0,0,18,49
Rum,tierces,3.02,,3,162.96,5.559646539,,10,10,56,,,,0,0,,0,0,,0,0,10,56
Rum,hhds,3.02,,5.25,162.96,9.729381443,148,49,197,1917,3,28,,31,302,,0,0,,0,0,228,2219
Salt,bushels,1.7,,0.05,162.96,0.052160039,,,0,0,800,,144,944,49,4809,4809,251,,0,0,5753,300
Sugar,hhds,55.74,,0.646875,162.96,22.1261736,2,6,8,177,1,,,1,22,,0,0,,0,0,9,199
Sugar,barrels,55.74,,0.15,162.96,5.130706922,52,,52,267,2,23,2,27,139,,0,0,,0,0,79,406
Wine,hhds,48.92,,0.5,162.96,15.00981836,,,0,0,,,,0,0,,0,0,8,8,120,8,120
Wine,butts,48.92,,,162.96,0,,,0,0,,,,0,0,,0,0,1,1,0,1,0
Wine,quarter casks,48.92,,0.25,162.96,7.50490918,,,0,0,,1,,1,8,,0,0,6,6,45,7,53
Wine,pipes,48.92,,1,162.96,30.01963672,,,0,0,,,,0,0,,0,0,2,2,60,2,60
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,2513,,,,,676,,,251,,,225,,3665
