Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Boston,New England,New Hampshire,North Carolina,Rhode Island,NA,,TOTAL,
,,1734,,,,Sterling,,Quantity,Value,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Bar iron,tons,,,,170,0,,0,0,0.5,,,,,0.5,0,0.5,0
Bar iron,pounds,,,,170,0,,0,0,1500,1000,,,,2500,0,2500,0
Cheese,pounds,,,,170,0,,0,0,220,,,,,220,0,220,0
Deer Skin,,,,,170,0,,0,0,,,,35,,35,0,35,0
Molasses,barrels,1.5,,1.45,170,1.279411765,,0,0,,1,3,,,4,5,4,5
Molasses,hhds,1.5,,5.05,170,4.455882353,,0,0,6,4,,,2,12,53,12,53
Molasses,tierces,1.5,,3.05,170,2.691176471,,0,0,4,,,,,4,11,4,11
Plank,feet,3.6,,0.0005,170,0.001058824,,0,0,,,5000,,,5000,5,5000,5
Rum,casks,2.63,,3.05,170,4.718529412,,0,0,,,,,2,2,9,2,9
Rum,barrels,2.63,,1.45,170,2.243235294,1,1,2,3,,,,,3,7,4,9
Rum,tierces,2.63,,3,170,4.641176471,1,1,5,,,,,,0,0,1,5
Rum,hhds,2.63,,5.25,170,8.122058824,,0,0,18,3,2,,,23,187,23,187
Salt,hhds,2.04,,0.35,170,0.42,,0,0,106,10,12,,,128,54,128,54
Sugar,casks,29.2,,0.175,170,3.005882353,4,4,12,7,4,2,,1,14,42,18,54
Tar,barrels,10.14,,0.05,170,0.298235294,,0,0,3,,,181,,184,55,184,55
Turpentine,barrels,23.94,,0.05,170,0.704117647,,0,0,,,,45,,45,32,45,32
Wrought iron,pounds,,,,170,0,,0,0,400,,,,,400,0,400,0
,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,19,,,,,,,460,,479
