Good,Unit,Price,Price,Conv,Exch,Price,Antigua,WI,,Boston,New Castle DE,New London,New York,Philadelphia,Piscataway,Rhode Island,NA,,Madeira,SEU,,TOTAL,
,,1761,,,,Sterling,,Quantity,Value,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,pounds,,,,172.71,0,,0,0,,,,,500,,,500,0,,0,0,500,0
Cheese,pounds,,,,172.71,0,,0,0,,,,,,,1400,1400,0,,0,0,1400,0
Dollars,,0.23,,1,100,0.23,,0,0,,,,580,513,1067,,2160,497,,0,0,2160,497
Loaf sugar,casks,1.08,,6.25,172.71,3.908285565,,0,0,1,,,,,,,1,4,,0,0,1,4
Loaf sugar,barrels,1.08,,6.25,172.71,3.908285565,,0,0,,,,,9,,,9,35,,0,0,9,35
Loaf sugar,hhds,1.08,,25,172.71,15.63314226,,0,0,,,,,2,,,2,31,,0,0,2,31
Molasses,tierces,2.42,,3.05,172.71,4.27363789,,0,0,,,,1,,5,,6,26,,0,0,6,26
Molasses,hhds,2.42,,5.05,172.71,7.076023392,,0,0,6,3,,9,,2,2,22,156,,0,0,22,156
Molasses,casks,2.42,,30.5,172.71,42.7363789,,0,0,,1,,,1,,3,5,214,,0,0,5,214
Pig iron,pounds,11.34,,0.000446429,172.71,0.002931214,,0,0,,,,,1000,,,1000,3,,0,0,1000,3
Refined sugar,tierces,1.08,,17,172.71,10.63053674,,0,0,,,,1,,,,1,11,,0,0,1,11
Rice,tierces,16.58,,3.05,172.71,29.27971745,,0,0,,,,1,,,1,2,59,,0,0,2,59
Rum,casks,3.93,,3.05,172.71,6.940246656,,0,0,,,,,1,,2,3,21,,0,0,3,21
Rum,barrels,3.93,,1.45,172.71,3.299461525,,0,0,6,,1,1,,13,3,24,79,,0,0,24,79
Rum,gallons,3.93,,0.05,172.71,0.113774535,,0,0,,,,,,,70,70,8,,0,0,70,8
Rum,tierces,3.93,,3,172.71,6.826472121,,0,0,2,,,,,,,2,14,,0,0,2,14
Rum,hhds,3.93,,5.25,172.71,11.94632621,5,5,60,5,3,3,6,2,12,6,37,442,,0,0,42,502
Salt,hhds,2.42,,0.35,172.71,0.490417463,,0,0,14,,,,,,,14,7,,0,0,14,7
Salt,bushels,2.42,,0.05,172.71,0.070059638,,0,0,,200,,400,,50,,650,46,,0,0,650,46
Spirits,tierces,3.93,,3,172.71,6.826472121,,0,0,,,,1,,,,1,7,,0,0,1,7
Spirits,barrels,3.93,,1.45,172.71,3.299461525,,0,0,,,,,,,1,1,3,,0,0,1,3
Sugar,hhds,49.14,,0.632142857,172.71,17.98593017,,0,0,,,,2,,,,2,36,,0,0,2,36
Sugar,casks,49.14,,0.15,172.71,4.267847837,,0,0,2,1,,,1,,,4,17,,0,0,4,17
Sugar,barrels,49.14,,0.15,172.71,4.267847837,,0,0,4,2,,7,3,2,6,24,102,,0,0,24,102
Sugar,tierces,49.14,,0.489285714,172.71,13.92131318,,0,0,,,,,,1,4,5,70,,0,0,5,70
Tea,pounds,5.47,,0.05,172.71,0.158357941,,0,0,6,,,,,,,6,1,,0,0,6,1
Wine,quarter casks,48.83,,0.25,172.71,7.068206821,,0,0,,,,,2,,,2,14,16,16,113,18,127
Wine,hhds,48.83,,0.5,172.71,14.13641364,,0,0,,,,,,,,0,0,16,16,226,16,226
Wine,pipes,48.83,,1,172.71,28.27282728,,0,0,,,,,,,12.5,12.5,353,25,25,707,37.5,1060
,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,60,,,,,,,,,2256,,,1046,,3362
