Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Jamaica,St. Christophers,WI,,Bermuda,Boston,New London,New York,North Carolina,Rhode Island,Salem,South Carolina,Ferryland Newf,NA,,London,Bideford,Bristol,Liverpool,Southampton,Leith,GB,,Cork,Dublin,Ireland,Newry,IRE,,TOTAL,
,,1757,,,,Sterling,,,,,,Quantity,Value,,,,,,,,,,Quantity,Value,,,,,,,Quantity,Value,,,,,Quantity,Value,Quantiy,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bread,barrels,21.24,,0.089285714,166.07,1.141945307,40,378,40,78,33,569,650,48,35,,6,,57,,245,,391,447,,,62,,,,62,71,,60,62,90,212,242,1234,1410
Deer skins (raw),,,,,166.07,0,,,,,,0,0,,,,,,,,,,0,0,369,,,,,,369,0,,,,,0,0,369,0
Flaxseed,bushels,4.92,,0.05,166.07,0.148130306,,,,,,0,0,,,,,,,,,,0,0,,,,,,2186,2186,324,,,,,0,0,2186,324
Flour,barrels,11.31,,0.089285714,166.07,0.608069747,300,390,848,105,267,1910,1161,137,61,440,40,,,,290,201,1169,711,,,347,216,,,563,342,68,306,395,524,1293,786,4935,3000
Inch plank,feet,6.304,,0.0005,166.07,0.001897995,,,,,,0,0,,,,,,,,,,0,0,,,250,,,,250,0,,,,,0,0,250,0
Indian corn,bushels,1.72,,0.05,166.07,0.051785392,400,1820,3774,190,470,6654,345,1150,427,,800,,2670,200,,305,5552,288,,,7791.5,,,,7791.5,403,1111,,860,,1971,102,21968.5,1138
Iron,tons,7.5,,1,166.07,4.516167881,,2.175,2,,,4.175,19,,,,,6,,,,,6,27,406.5,36,38,15,21.2875,10,526.7875,2379,,6,2,,8,36,544.9625,2461
Oak board,feet,6.304,,0.0005,166.07,0.001897995,,,,,,0,0,,,,,,,,,,0,0,,,,572,,,572,1,,,,,0,0,572,1
Peas,bushels,1.72,,0.05,166.07,0.051785392,,,190,,,190,10,,100,,,,,,,,100,5,,,,,,,0,0,,,,,0,0,290,15
Pine plank,feet,6.304,,0.0005,166.07,0.001897995,,500,,,,500,1,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,500,1
Poles (hoop),,,,,166.07,0,,,,,,0,0,1000,,,,,,,,,1000,0,,,,,,,0,0,,,,,0,0,1000,0
Pork,barrels,60.94,,0.05,166.07,1.834768471,,6,,,,6,11,,,,,,,1,,,1,2,,,,,,,0,0,,,13,,13,24,20,37
Shingles,,,,,166.07,0,,3500,5000,5000,,13500,0,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,13500,0
Shingles (cypress),,,,,166.07,0,,3750,,,,3750,0,5000,,,,,,,,,5000,0,,,,,,,0,0,,,,,0,0,8750,0
Ship bread,bags,14.16,,0.044642857,166.07,0.380648436,,17,,,,17,6,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,17,6
Ship bread,tierces,14.16,,0.11875,166.07,1.012524839,,,,,,0,0,3,,,,,,,,,3,3,,,,,,,0,0,,,,,0,0,3,3
Ship bread,hhds,14.16,,0.178571429,166.07,1.522593743,,,,,,0,0,10,,,,,,,,,10,15,,,,,,,0,0,,,,,0,0,10,15
Ship bread,pounds,14.16,,0.000446429,166.07,0.003806484,,2500,,,,2500,10,,,,,,,,,30436,30436,116,,,5000,,,,5000,19,,,,,0,0,37936,145
Staves,,3.94,,0.001,166.07,0.002372494,,,,,,0,0,,,,,,,,,,0,0,5000,,,,,,5000,12,,,,,0,0,5000,12
Staves and heading,,3.94,,0.001,166.07,0.002372494,400,5100,400,,,5900,14,150,,,,,500,,,250,900,2,108077,7500,14900,7200,3000,4020,144697,343,500,1415,,2000,3915,9,155412,368
Staves and shingles,,3.94,,0.001,166.07,0.002372494,,,,,,0,0,,,,,,,,,,0,0,,,400,,,,400,1,,,,,0,0,400,1
Tobacco,hhds,17.74,,0.5005,166.07,5.346462335,,,,,2,2,11,,,,,,,,,,0,0,4794,371,699,134,209,110,6317,33774,,,,,0,0,6319,33785
Walnut plank,pieces,6.304,,0.005,166.07,0.018979948,,,,,,0,0,,,,,,,,,,0,0,,,83,,,,83,2,,,,,0,0,83,2
Walnut plank,feet,6.304,,0.0005,166.07,0.001897995,,,,,,0,0,,,,,,570,,,,570,1,260,,,282,,,542,1,,,,,0,0,1112,2
Wheat,bushels,3.79,,0.05,166.07,0.114108508,,,,,,0,0,,4486,,10503,,540,700,,,16229,1852,,,,5384.5,,,5384.5,614,,8737,,6000,14737,1682,36350.5,4148
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,2238,,,,,,,,,,,3469,,,,,,,,38286,,,,,,2881,,46874
