Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Guadaloupe,Jamaica,Montserrat,St. Christophers,Ste. Cruz,WI,,New Providence,Bermuda,Boston,Louisbourg,New York,North Carolina,Nova Scotia,Perth Amboy,Philadelphia,Piscataway,Rhode Island,Wilmington,NA,,London,Bristol,Liverpool,GB,,Belfast,Cork,IRE,,Bordeaux,NEU,,Gibraltar,Madeira,Teneriff,SEU,,TOTAL,
,,1763,,,,Sterling,,,,,,,,Quantity,Value,,,,,,,,,,,,,Quantity,Value,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacon,pounds,86.95,,0.00025,173,0.012565029,,,,,,,,0,0,,,,,,,,,,,1400,,1400,18,,,,0,0,,,0,0,,0,0,,,,0,0,1400,18
Bar iron,tons,27,,1,173,15.60693642,,2,,,,1,,3,47,,,3,,,,,,1,1,3,,8,125,98,,,98,1529,,,0,0,,0,0,,,,0,0,109,1701
Beans,bushels,3.75,,0.05,173,0.108381503,,,,,,10,,10,1,,,,90,44.5,,,,,,,,134.5,15,,,,0,0,,,0,0,,0,0,,,,0,0,144.5,16
Beef,barrels,60.29,,0.05,173,1.742485549,,,,,,,,0,0,5,,,,,,,,,,,,5,9,,,,0,0,,,0,0,,0,0,,,,0,0,5,9
Beeswax,barrels,,,,173,0,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,0,0,,,0,0,,0,0,1,,,1,0,1,0
Biscuits,small casks,17.82,,,173,0,,,,,,,,0,0,20,,,,,,,,,,,,20,0,,,,0,0,,,0,0,,0,0,,,,0,0,20,0
Bread,bags,30.18,,0.044642857,173,0.778798514,,,,,,,,0,0,,,,,,,15,,,,,,15,12,,,,0,0,,,0,0,,0,0,,,,0,0,15,12
Bread,barrels,30.18,,0.089285714,173,1.557597027,508,877,150,236,98,80,44,1993,3104,16,155,40,42,,18,30,,,20,,,321,500,,,,0,0,,,0,0,,0,0,,,,0,0,2314,3604
Bread,kegs,30.18,,0.044642857,173,0.778798514,,30,,,,30,,60,47,,,,,,,,,,,,,0,0,,,,0,0,,,0,0,,0,0,,,,0,0,60,47
Bread,casks,30.18,,0.089285714,173,1.557597027,,,,,,,,0,0,,,,,,,,,,,12,,12,19,,,,0,0,,,0,0,,0,0,,,,0,0,12,19
Corn,bushels,3.75,,0.05,173,0.108381503,954,6592,300,690,,260,,8796,953,800,6900,,340,1470,,410,1250,,620,1636,,13426,1455,,,,0,0,,,0,0,,0,0,700,4300,,5000,542,27222,2950
Fine bread,kegs,30.18,,0.044642857,173,0.778798514,,40,,,,,,40,31,,,,,,,,,,,,,0,0,,,,0,0,,,0,0,,0,0,,,,0,0,40,31
Flaxseed,hhds,9.09,,,173,0,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,0,0,500,864,1364,0,,0,0,,,,0,0,1364,0
Flour,barrels,16.94,,0.089285714,173,0.874277457,1574,4772,370,2305,654,832,220,10727,9378,100,187,660,99,19,55,118,,,218,85,,1541,1347,,,,0,0,,,0,0,,0,0,517,150,,667,583,12935,11308
Furs and skins,cases,,,,173,0,,,,,,,,0,0,,,,,,,,,,,,,0,0,1,,,1,0,,,0,0,,0,0,,,,0,0,1,0
Fyall wine,pipes,47.29,,1,173,27.33526012,3,,,,,,,3,82,,,,,,,,,,,,,0,0,,,,0,0,,,0,0,,0,0,,,,0,0,3,82
Fyall wine,quarter casks,47.29,,0.25,173,6.833815029,,9,,,,,,9,62,,,,,,,,,,,,,0,0,,,,0,0,,,0,0,,0,0,,,,0,0,9,62
Ham,casks,86.95,,0.05,173,2.51300578,,,,,,3,,3,8,,,,,,,,,,,,,0,0,,,,0,0,,,0,0,,0,0,,,,0,0,3,8
Ham,boxes,86.95,,,173,0,,1,,,,,,1,0,,,,,,,,,,,,,0,0,,,,0,0,,,0,0,,0,0,,,,0,0,1,0
Handspikes,,,,,173,0,,,,,,,,0,0,,,,,,,,,,,,,0,0,100,,,100,0,,,0,0,,0,0,,,,0,0,100,0
Heading,,6.82,,0.001,173,0.003942197,500,2950,,,,,,3450,14,,,,,,,,,,,,,0,0,,,,0,0,,,0,0,,0,0,,,,0,0,3450,14
Heading (hhds),,6.82,,0.001,173,0.003942197,4570,,,,,,,4570,18,,,,,,,,,,,,,0,0,,,,0,0,,,0,0,,0,0,,,,0,0,4570,18
Hoops,,,,,173,0,,7600,700,1400,,,,9700,0,,,,,,,,,,,,,0,0,,,,0,0,,,0,0,,0,0,,,,0,0,9700,0
Iron,tons,9,,1,173,5.202312139,,,,3,,,,3,16,1,,17,,,3,,,,,,,21,109,134,20,30,184,957,,,0,0,,0,0,,,,0,0,208,1082
Mahogany planks,,10.912,,0.0005,173,0.003153757,,,,,,,,0,0,,,,,,,,,,,,,0,0,,8,,8,0,,,0,0,,0,0,,,,0,0,8,0
Molasses,tierces,1.76,,3.05,173,3.102890173,,,,,,,,0,0,,,,,,4,,,,,,,4,12,,,,0,0,,,0,0,,0,0,,,,0,0,4,12
Negroes,,34.74,,1,100,34.74,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,0,0,,,0,0,,0,0,,,,0,0,0,0
Oak plank,feet,10.912,,,173,0,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,0,0,,1700,1700,0,,0,0,,,,0,0,1700,0
Oak timber,feet,10.912,,,173,0,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,0,0,,486,486,0,,0,0,,,,0,0,486,0
Oats,bushels,3.75,,0.05,173,0.108381503,,80,,,,,,80,9,50,,,,,,,,,,,,50,5,,,,0,0,,,0,0,,0,0,,,,0,0,130,14
Peas,bags,3.75,,0.175,173,0.37933526,,,,,,,,0,0,,,,,,,2,,,,,,2,1,,,,0,0,,,0,0,,0,0,,,,0,0,2,1
Peas,bushels,3.75,,0.05,173,0.108381503,,,,,,,,0,0,,,,,,,84,,,,,,84,9,,,,0,0,,,0,0,,0,0,,,,0,0,84,9
