Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Turks Island,Bermuda,Boston,Rhode Islalnd,Salem,South Carolina,NA,,Whitehaven,GB,,TOTAL,
,,1742,,,,Sterling,,Quantity,Value,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Cash,pounds,1,,1,120,0.833333333,,0,0,,,30,,,,30,25,,0,0,30,25
Cheese,pounds,,,,159.38,0,,0,0,,,500,,,,500,0,,0,0,500,0
Clayed sugar,pots,1.49,,,159.38,0,20,20,0,,,,,,,0,0,,0,0,20,0
Cotton,bags,1.01,,,159.38,0,1,1,0,,,,,,,0,0,,0,0,1,0
Ginger,bags,,,,159.38,0,2,2,0,,,,,,,0,0,,0,0,2,0
Iron,tons,9.17,,1,159.38,5.753544987,,0,0,,,,,,,0,0,2,2,12,2,12
Molasses,tierces,2.28,,3.05,159.38,4.363157234,6,6,26,,,,,,,0,0,,0,0,6,26
Molasses,casks,2.28,,3.05,159.38,4.363157234,,0,0,,,1,,,,1,4,,0,0,1,4
Molasses,hhds,2.28,,5.05,159.38,7.224243945,2,2,14,,,11,,2,,13,94,,0,0,15,108
Negroes,,26.64,,1,100,26.64,4,4,107,,,,,,,0,0,,0,0,4,107
Potatoes,barrels,,,,159.38,0,,0,0,,,1,,,,1,0,,0,0,1,0
Refined sugar,loaves,1.49,,,159.38,0,,0,0,,,10,,,,10,0,,0,0,10,0
Rum,kegs,3.64,,0.725,159.38,1.655791191,1,1,2,,,,,,,0,0,,0,0,1,2
Rum,hhds,3.64,,5.25,159.38,11.99021207,168,168,2014,,,49,4,,34,87,1043,,0,0,255,3057
Rum,tierces,3.64,,3,159.38,6.851549755,60,60,411,,,2,,,,2,14,,0,0,62,425
Rum,barrels,3.64,,1.45,159.38,3.311582382,31,31,103,,,40,,,,40,132,,0,0,71,235
Rum,gallons,3.64,,0.05,159.38,0.114192496,2846,2846,325,45,,3203.25,,671,,3919.25,448,,0,0,6765.25,773
Salt,hhds,2.785,,0.35,159.38,0.611588656,,0,0,,,58,3,6,,67,41,,0,0,67,41
Salt,bushels,2.785,,0.05,159.38,0.087369808,,0,0,1500,1200,,,,,2700,236,,0,0,2700,236
Sugar,barrels,40.94,,0.15,159.38,3.85305559,118,118,455,,,9,,1,19,29,112,,0,0,147,567
Sugar,tierces,40.94,,0.444196429,159.38,11.41009022,1,1,11,,,,,,4,4,,,0,0,5,11
,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,3468,,,,,,,,2149,,,12,,5629
