Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Dominica,WI,,Boston,Nantucket,New York,Philadelphia,Rhode Island,Salem,NA,,London,Liverpool,Glasgow,Penryn,GB,,Cadiz,Lisbon,Madeira,SEU,,TOTAL,
,,1768,,,,Sterling,,,,Quantity,Value,,,,,,,Quantity,Value,,,,,Quantity,Value,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,23.71,,1,166.62,14.2299844,,,,0,0,,,,,,,0,0,50,,,,50,711,,,,0,0,50,711
Beans,bushels,2.57,,0.05,166.62,0.077121594,,,60,60,5,195,204,,,32,43,474,37,,,,,0,0,,,,0,0,534,42
Bread,barrels,26.38,,0.089285714,166.62,1.413610097,,227,10,237,335,49,,,,,,49,69,,,,,0,0,,74,24,98,139,384,543
Corn,bushels,2.57,,0.05,166.62,0.077121594,1801,12663,1200,15664,1208,8450,1960,,,2600,4750,17760,1370,,,,,0,0,7347,6323,5445,19115,1474,52539,4052
Flaxseed,bushels,5.5,,0.05,166.62,0.165046213,,,,0,0,,,,49,,,49,8,,,,,0,0,,,,0,0,49,8
Flour,barrels,16.89,,0.089285714,166.62,0.90507485,,488,20,508,460,532,,,,,,532,481,,,,,0,0,,204,451,655,593,1695,1534
Hoops,,,,,166.62,0,4800,500,1200,6500,0,,,,,,,0,0,,,,,0,0,,,,0,0,6500,0
Logs,feet,8.624,,0.0005,166.62,0.002587925,,,,0,0,,,,,,,0,0,,,,,0,0,,,64,64,0,64,0
Logs (walnut),feet,8.624,,0.0005,166.62,0.002587925,,,,0,0,94,,,,,,94,0,,,,,0,0,,,,0,0,94,0
Negroes,,38.39,,1,100,38.39,,1,,1,38,,,,,,,0,0,,,,,0,0,,,,0,0,1,38
Peas,bushels,2.57,,0.05,166.62,0.077121594,,62,,62,5,4,,,,,,4,0,,,,,0,0,253,,,253,20,319,25
Pig iron,tons,8.2,,1,166.62,4.921377986,,,,0,0,,,,,,,0,0,100,,37,,137,674,,,,0,0,137,674
Plank,feet,8.624,,0.0005,166.62,0.002587925,,,,0,0,,,,,,,0,0,20976,,,90,21066,55,,,240,240,1,21306,56
Pork,pounds,73.43,,0.00025,166.62,0.011017585,,300,,300,3,,,,,,,0,0,,,,,0,0,,,,0,0,300,3
Pork,barrels,73.43,,0.05,166.62,2.203516985,,35,,35,77,20,,,,,,20,44,,,,,0,0,,,,0,0,55,121
Potatoes,barrels,,,,166.62,0,,,,0,0,4,,,,,,4,0,,,,,0,0,,,,0,0,4,0
Rum,gallons,3.34,,0.05,166.62,0.100228064,,,,0,0,63,,,,,,63,6,,,,,0,0,,,,0,0,63,6
Rye,bushels,2.57,,0.05,166.62,0.077121594,,,,0,0,312,25,,,18,,355,27,,,,,0,0,,,,0,0,355,27
Shingles,,,,,166.62,0,,8000,,8000,0,,,,,,,0,0,,,,,0,0,,,,0,0,8000,0
Staves,,5.39,,0.001,166.62,0.003234906,,12246,,12246,40,9350,5000,,,8973,,23323,75,52000,5200,,8000,65200,211,,,16660,16660,54,117429,380
Staves and heading,,5.39,,0.001,166.62,0.003234906,6600,17350,4000,27950,90,,,,8010,,,8010,26,20000,,15600,,35600,115,700,19871,19050,39621,128,111181,359
Tobacco,hhds,21.83,,0.5485,166.62,7.186265154,,,,0,0,,,,,,,0,0,1940,,536,87,2563,18418,,,,0,0,2563,18418
Wheat,bushels,6.31,,0.05,166.62,0.189353019,,,,0,0,1065,12,1900,5220,,80,8277,1567,,6320,,,6320,1197,11054,8212.5,,19266.5,3648,33863.5,6412
Wine,quarter casks,47.73,,0.25,166.62,7.161505221,,,,0,0,,,,,,1,1,7,,,,,0,0,,,,0,0,1,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,2261,,,,,,,,3717,,,,,,21381,,,,,6057,,33416
