Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,Bermuda,Boston,North Carolina,Rhode Island,Salem,NA,,London,GB,,Africa,AFR,,Fyal,SEU,,TOTAL,
,,1762,,,,Sterling,,,Quantity,Value,,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash,pounds,1,,1,152.4,0.656167979,,,0,0,220,,,,,220,144,,0,0,,0,0,,0,0,220,144
Cheese,pounds,,,,176.26,0,,,0,0,,,,900,,900,0,,0,0,,0,0,,0,0,900,0
Chocolate,boxes,,,,176.26,0,,,0,0,,2,,,,2,0,,0,0,,0,0,,0,0,2,0
Dollars,,0.23,,1,100,0.23,,,0,0,,,,1062,200,1262,290,,0,0,,0,0,,0,0,1262,290
Molasses,hhds,2.29,,5.05,176.26,6.561046182,,1,1,7,,6,,16,37,59,387,,0,0,,0,0,,0,0,60,394
Negroes,,35.61,,1,100,35.61,,,0,0,,,,,,0,0,,0,0,607,607,21615,,0,0,607,21615
Pitch,barrels,13.47,,0.05,176.26,0.38210598,,,0,0,,,55,,,55,21,,0,0,,0,0,,0,0,55,21
Refined sugar,pounds,1.07,,0.05,176.26,0.030352888,,,0,0,,,,1050,,1050,32,,0,0,,0,0,,0,0,1050,32
Rum,tierces,3.94,,3,176.26,6.706002496,38,1,39,262,,,,,,0,0,,0,0,,0,0,,0,0,39,262
Rum,barrels,3.94,,1.45,176.26,3.24123454,,1,1,3,,21,,2,20,43,139,,0,0,,0,0,,0,0,44,142
Rum,hhds,3.94,,5.25,176.26,11.73550437,89,366,455,5340,3,1,,13,45.5,62.5,733,,0,0,,0,0,,0,0,517.5,6073
Salt,hhds,2.86,,0.35,176.26,0.567911041,,,0,0,,10,,,81,91,52,,0,0,,0,0,,0,0,91,52
Servants,,12.94909091,,1,100,12.94909091,,,0,0,,,,,,0,0,33,33,427,,0,0,,0,0,33,427
Staves,,8.89,,0.05,176.26,0.252184273,,,0,0,,1400,,,,1400,353,,0,0,,0,0,,0,0,1400,353
Sterling cash,pounds,1,,1,100,1,,,0,0,,,,,30,30,30,,0,0,,0,0,,0,0,30,30
Sugar,loaves,1.07,,,176.26,0,,,0,0,,,,,8,8,0,,0,0,,0,0,,0,0,8,0
Sugar,pounds,52.15,,0.000446429,176.26,0.01320847,,,0,0,1000,,,,2000,3000,40,,0,0,,0,0,,0,0,3000,40
Sugar,hhds,52.15,,0.632142857,176.26,18.70319415,,,0,0,,2,,,1,3,56,,0,0,,0,0,,0,0,3,56
Sugar,barrels,52.15,,0.15,176.26,4.438046068,,223,223,990,,44,,6,18,68,302,,0,0,,0,0,,0,0,291,1292
Tar,barrels,10.04,,0.05,176.26,0.284806536,,,0,0,,,1485,,1,1486,423,,0,0,,0,0,,0,0,1486,423
Turpentine,barrels,13.27,,0.05,176.26,0.376432543,,,0,0,,,20,,,20,8,,0,0,,0,0,,0,0,20,8
Wine,hhds,50.79,,0.5,176.26,14.40769318,10,,10,144,,,,,,0,0,,0,0,,0,0,20,20,288,30,432
Wine,pipes,50.79,,1,176.26,28.81538636,2,,2,58,,,,2,,2,58,,0,0,,0,0,,0,0,4,116
Wine,quarter casks,50.79,,0.25,176.26,7.20384659,,,0,0,,,,2,4,6,43,,0,0,,0,0,27,27,195,33,238
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,6804,,,,,,,3111,,,427,,,21615,,,483,,32440
