Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,St. Christophers,WI,,Bermuda,Boston,Cape Fear,New England,New York,Philadelphia,Salem,NA,,London,Bristol,Liverpool,Glasgow,GB,,Madeira,SEU,,TOTAL,
,,1768,,,,Sterling,,,,Quantity,Value,,,,,,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,23.71,,1,166.62,14.2299844,,,,0,0,,,,,,,,0,0,10,,,,10,142,,0,0,10,142
Beans,bushels,2.57,,0.05,166.62,0.077121594,,,,0,0,,216,,,,,98,314,24,,,,,0,0,,0,0,314,24
Bread,barrels,26.38,,0.089285714,166.62,1.413610097,,30,,30,42,,,,,,,,0,0,,,,,0,0,65,65,92,95,134
Bread,kegs,26.38,,0.044642857,166.62,0.706805048,,,,0,0,,,,,,,,0,0,,,,,0,0,80,80,57,80,57
Corn,bushels,2.57,,0.05,166.62,0.077121594,4484,29042,2159,35685,2752,1210,4037,700,650,200,,3108,9905,764,,6385,,442,6827,527,18383,18383,1418,70800,5461
Cotton,bags,1.71,,6,166.62,6.157724163,,,,0,0,,,,,,,,0,0,9.5,28,,21,58.5,360,,0,0,58.5,360
Deer Skins,hhds,,,,166.62,0,,,,0,0,,,,,,,,0,0,4,,,,4,0,,0,0,4,0
Flour,barrels,16.89,,0.089285714,166.62,0.90507485,,,,0,0,,,,18,,,,18,16,,,,,0,0,8,8,7,26,23
Handspikes,,,,,166.62,0,,,,0,0,,,,,,,,0,0,120,102,,,222,0,,0,0,222,0
Heading,,5.39,,0.001,166.62,0.003234906,2200,,,2200,7,,,,,,,,0,0,,,,,0,0,,0,0,2200,7
Hemp,tons,4.55,,9.333333333,166.62,25.4871364,,,,0,0,,,,,,,,0,0,8,,6,,14,357,,0,0,14,357
Hemp,pounds,4.55,,0.004166667,166.62,0.011378186,,,,0,0,,4280,,,,,,4280,49,,10297,,,10297,117,,0,0,14577,166
Hemp,cwt,4.55,,0.466666667,166.62,1.27435682,,,,0,0,,,,,,,,0,0,,,15,,15,19,,0,0,15,19
Hoops,,,,,166.62,0,,,,0,0,2000,,,,,,,2000,0,,,,,0,0,,0,0,2000,0
Hoops,bundles,,,,166.62,0,,24,,24,0,,,,,,,,0,0,,,,,0,0,,0,0,24,0
Hoops and heading,,5.39,,0.001,166.62,0.003234906,,,,0,0,,,,,,,,0,0,,,,600,600,2,,0,0,600,2
Iron,tons,8.2,,1,166.62,4.921377986,,,,0,0,,,,,,,,0,0,156,125,30,28,339,1668,,0,0,339,1668
Lumber,M pieces,8.624,,5,166.62,25.87924619,,29,,29,750,,,,,,,,0,0,,,,,0,0,,0,0,29,750
Oats,bushels,2.57,,0.05,166.62,0.077121594,,300,195,495,38,,,,,,,,0,0,,,,,0,0,,0,0,495,38
Peas,bushels,2.57,,0.05,166.62,0.077121594,500,3325.5,105,3930.5,303,,150,,130,300,50,20,650,50,,,,,0,0,1498.5,1498.5,116,6079,469
Pig iron,tons,8.2,,1,166.62,4.921377986,,,,0,0,,,,,,,,0,0,30,,,,30,148,,0,0,30,148
Plank,feet,8.624,,0.0005,166.62,0.002587925,1585,17200,,18785,49,1500,,,,,,,1500,4,200,,,1000,1200,3,500,500,1,21985,57
Planks,,8.624,,0.005,166.62,0.025879246,,,,0,0,,,,,,,,0,0,,30,35,,65,2,,0,0,65,2
Pork,barrels,73.43,,0.05,166.62,2.203516985,,21,,21,46,,,,,,50,2,52,115,,,,,0,0,,0,0,73,161
Pork,pounds,73.43,,0.00025,166.62,0.011017585,,,,0,0,,,,,,,532,532,6,,,,,0,0,,0,0,532,6
Rum,gallons,3.34,,0.05,166.62,0.100228064,,,,0,0,,300,,,150,,220,670,67,600,100,100,100,900,90,,0,0,1570,157
Rye,bushels,2.57,,0.05,166.62,0.077121594,,,,0,0,,,,6,,,,6,0,,,,,0,0,,0,0,6,0
Shingles,,,,,166.62,0,,35000,7600,42600,0,,,,,,,,0,0,,,,10000,10000,0,,0,0,52600,0
Shingles,M,,,,166.62,0,45,118,,163,0,,,,,,,,0,0,,,,,0,0,6,6,0,169,0
Ship bread,pounds,15.91,,0.000446429,166.62,0.004262801,,,,0,0,3000,,,,,,,3000,13,,,,,0,0,,0,0,3000,13
Staves,,5.39,,0.001,166.62,0.003234906,2000,23360,,25360,82,500,1900,,,,,,2400,8,103000,52440,6000,34000,195440,632,3100,3100,10,226300,732
Sugar,barrels,46.42,,0.15,166.62,4.178970112,,,,0,0,,,,,,,,0,0,12,,,,12,50,,0,0,12,50
Sugar,tierces,46.42,,0.495089286,166.62,13.79308885,,,,0,0,,,,,,,,0,0,13,,,,13,179,,0,0,13,179
Sugar,hhds,46.42,,0.646875,166.62,18.02180861,,,,0,0,,,,,,,,0,0,10,,,,10,180,,0,0,10,180
Tar,barrels,11.01,,0.05,166.62,0.33039251,,,,0,0,,,,,,4,,4,1,,,,,0,0,,0,0,4,1
Tobacco,hhds,21.83,,0.5485,166.62,7.186265154,,6,,6,43,,,,,,,,0,0,3723,1384,335,1412,6854,49255,,0,0,6860,49298
Turpentine,barrels,15.86,,0.05,166.62,0.475933261,,,,0,0,,,,,,71,,71,34,,,,,0,0,,0,0,71,34
Wax,hhds,,,,166.62,0,,,,0,0,,,,,,,,0,0,2,,,,2,0,,0,0,2,0
Wheat,bushels,6.31,,0.05,166.62,0.189353019,,,,0,0,,77,,320,,914,25,1336,253,228,564,,,792,150,40,40,8,2168,411
Wine,quarter casks,47.73,,0.25,166.62,7.161505221,,,,0,0,,,,,,,,0,0,1,,,,1,7,,0,0,1,7
Wine,hhds,47.73,,0.5,166.62,14.32301044,,,,0,0,,,,,,,,0,0,9,,,,9,129,,0,0,9,129
Wine,pipes,47.73,,1,166.62,28.64602089,,,,0,0,,,,,,,,0,0,12,,,,12,344,,0,0,12,344
