Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,Jamaica,WI,,Turks Island,Bermuda,New England,New Hampshire,North Carolina,NA,,Liverpool,Lymington,Peterhead,GB,,Africa,AFR,,Gibraltar,Isle of May,Madeira,SEU,,TOTAL,
,,1741,,,,Sterling,,,Quantity,Value,,,,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,146.14,0,,,0,0,,,1800,,,1800,0,,,,0,0,,0,0,,,,0,0,1800,0
Coffee,pounds,,,,146.14,0,,530,530,0,,,,,,0,0,,,,0,0,,0,0,,,,0,0,530,0
Cotton wool,pounds,1.16,,0.05,146.14,0.03968797,120,,120,5,,,,,,0,0,,,,0,0,,0,0,,,,0,0,120,5
Indigo,pounds,7.98,,0.05,146.14,0.273025866,,,0,0,,60,,,,60,16,,,,0,0,,0,0,,,,0,0,60,16
Linen,cases,,,,146.14,0,,,0,0,,,,1,,1,0,,,,0,0,,0,0,,,,0,0,1,0
Molasses,tierces,1.82,,3.05,146.14,3.798412481,,,0,0,,,1,,,1,4,,,,0,0,,0,0,,,,0,0,1,4
Molasses,gallons,1.82,,0.05,146.14,0.062269057,320,,320,20,90,,24,,,114,7,,,,0,0,,0,0,,,,0,0,434,27
Molasses,hhds,1.82,,5.05,146.14,6.289174764,,,0,0,,,8,,,8,50,,,,0,0,,0,0,,,,0,0,8,50
Negroes,,26.64,,1,100,26.64,27,,27,719,,1,,,,1,27,,,,0,0,169,169,4502,,,,0,0,197,5248
Rice,barrels,16.58,,,146.14,0,,,0,0,,,,,6,6,0,,,,0,0,,0,0,,,,0,0,6,0
Rum,hhds,2.46,,5.25,146.14,8.837416176,,,0,0,,,17,,,17,150,,,,0,0,,0,0,,,,0,0,17,150
Rum,gallons,2.46,,0.05,146.14,0.084165868,24180,,24180,2035,,215,1169,,,1384,116,,,,0,0,,0,0,,,,0,0,25564,2151
Rum,barrels,2.46,,1.45,146.14,2.440810182,,,0,0,,,1,,,1,2,,,,0,0,,0,0,,,,0,0,1,2
Rum,tierces,2.46,,3,146.14,5.049952101,,,0,0,,,2,,,2,10,,,,0,0,,0,0,,,,0,0,2,10
Salt,bushels,2.33,,0.05,146.14,0.079718079,1600,,1600,128,1400,1400,119,,,2919,233,11926,8000,,19926,1588,,0,0,,2000,,2000,159,26445,2108
Servants,,9.687272727,,1,100,9.687272727,,,0,0,,,,,,0,0,,,14,14,136,,0,0,,,,0,0,14,136
Sugar,cwt,36.4,,0.05,146.14,1.245381141,420,,420,523,,10,,,,10,12,,,,0,0,,0,0,,,,0,0,430,535
Sugar,quarters,36.4,,0.0125,146.14,0.311345285,13,,13,4,,,,,,0,0,,,,0,0,,0,0,,,,0,0,13,4
Sugar,pounds,36.4,,0.000446429,146.14,0.011119474,103,,103,1,,,,,,0,0,,,,0,0,,0,0,,,,0,0,103,1
Sugar,barrels,36.4,,0.15,146.14,3.736143424,,,0,0,,,5.5,,,5.5,21,,,,0,0,,0,0,,,,0,0,5.5,21
Tar,barrels,14.08,,0.05,146.14,0.481729848,,,0,0,,,,,135,135,65,,,,0,0,,0,0,,,,0,0,135,65
Turpentine,barrels,21.3,,0.05,146.14,0.72875325,,,0,0,,,,,40,40,29,,,,0,0,,0,0,,,,0,0,40,29
Wine,quarter casks,21.83,,0.25,146.14,3.734432736,,,0,0,,,,,,0,0,,,,0,0,,0,0,,,22,22,82,22,82
Wine,casks,21.83,,0.25,146.14,3.734432736,,,0,0,,,,,,0,0,,,,0,0,,0,0,2,,,2,7,2,7
Wine,hhds,21.83,,0.5,146.14,7.468865471,,,0,0,,,,,,0,0,,,,0,0,,0,0,,,24,24,179,24,179
Wine,pipes,21.83,,1,146.14,14.93773094,,,0,0,,,,,,0,0,,,,0,0,,0,0,,,372,372,5557,372,5557
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,3435,,,,,,,742,,,,,1724,,,4502,,,,,5984,,16387
