Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,St. Christophers,WI,,Bermuda,New York,NA,,Hull,Liverpool,Portsmouth,GB,,Africa,AFR,,Gibraltar,Isle of May,Madeira,SEU,,TOTAL,
,,1745,,,,Sterling,,,,Quantity,Value,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beeswax,pounds,,,,174.77,0,,,,0,0,,,0,0,,,,0,0,1400,1400,0,,,,0,0,1400,0
Gold (bar),ounces,,,1,174.77,0,,,,0,0,,,0,0,,,,0,0,12,12,0,,,,0,0,12,0
Molasses,hhds,2.34,,5.05,174.77,6.761457916,,5,5,10,68,,,0,0,30,,,30,203,,0,0,,,,0,0,40,271
Negroes,,31.04,,1,100,31.04,,,,0,0,,,0,0,,,,0,0,372,372,11547,,,,0,0,372,11547
Rum,tierces,3.25,,3,174.77,5.578760657,1,59,,60,335,,,0,0,,,,0,0,,0,0,,,,0,0,60,335
Rum,barrels,3.25,,1.45,174.77,2.696400984,,39,,39,105,,,0,0,,,,0,0,,0,0,,,,0,0,39,105
Rum,hhds,3.25,,5.25,174.77,9.76283115,30,153,4,187,1826,,3,3,29,,,,0,0,,0,0,,,,0,0,190,1855
Salt,bushels,2.595,,0.05,174.77,0.07424043,,,250,250,19,1000,,1000,74,,3196,2300,5496,408,,0,0,400,3500,,3900,290,10646,791
Sugar,tierces,43.02,,0.466964286,174.77,11.49442328,,,1,1,11,,,0,0,,,,0,0,,0,0,,,,0,0,1,11
Sugar,barrels,43.02,,0.15,174.77,3.692281284,27,73,,100,369,,,0,0,,,,0,0,,0,0,,,,0,0,100,369
Wine,quarter casks,27.5,,0.25,174.77,3.933741489,,,,0,0,1,,1,4,,,,0,0,,0,0,,,10,10,39,11,43
Wine,hhds,27.5,,0.5,174.77,7.867482978,,,,0,0,,,0,0,,,,0,0,,0,0,,10,6,16,126,16,126
Wine,pipes,27.5,,1,174.77,15.73496596,,,,0,0,58,,58,913,,,,0,0,,0,0,,1,63,64,1007,122,1920
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,2733,,,,1020,,,,,611,,,11547,,,,,1462,,17373
