Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Montserrat,St. Christophers,WI,,Tortuga,Boston,New York,Philadelphia,South Carolina,NA,,London,GB,,Madeira,SEU,,TOTAL,
,,1756,,,,Sterling,,,,,,Quantity,Value,,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee,barrels,,,,172.57,0,,,10,,,10,0,,,,,,0,0,,0,0,,0,0,10,0
Molasses,gallons,2.04,,0.05,172.57,0.05910645,300,,1500,,,1800,106,,800,,,,800,47,,0,0,,0,0,2600,153
Negroes,,33.1,,1,100,33.1,,,1,,,1,33,,,,,,0,0,,0,0,,0,0,1,33
Pig iron,tons,7.58,,1,172.57,4.392420467,,,,,,0,0,,,,45,,45,198,,0,0,,0,0,45,198
Planks,,5.664,,0.005,172.57,0.016410732,,,,,,0,0,,,,,180,180,3,,0,0,,0,0,180,3
Rice,barrels,14.5,,,172.57,0,,,,,,0,0,,,,,32,32,0,,0,0,,0,0,32,0
Rum,gallons,2.73,,0.05,172.57,0.079098337,100,360,36600,1880,220,39160,3097,,,,,,0,0,,0,0,,0,0,39160,3097
Salt,bushels,2.27,,0.05,172.57,0.065770412,,,97,,1650,1747,115,2000,,250,,,2250,148,1650,1650,109,,0,0,5647,372
Sugar,quarters,48.83,,0.0125,172.57,0.35369705,,,21,,,21,7,,,,,,0,0,,0,0,,0,0,21,7
Sugar,pounds,48.83,,0.000446429,172.57,0.012632038,,,205,,,205,3,,,,,,0,0,,0,0,,0,0,205,3
Sugar,cwt,48.83,,0.05,172.57,1.414788202,15,,493,,12,520,736,,,90,,,90,127,,0,0,,0,0,610,863
Sugar,barrels,48.83,,0.15,172.57,4.244364606,,,140,,,140,594,,,,,,0,0,,0,0,,0,0,140,594
White sugar,barrels,1.16,,6.25,172.57,4.201193718,,2,,,,2,8,,,,,,0,0,,0,0,,0,0,2,8
Wine,hhds,32.78,,0.5,172.57,9.497595179,,1,,,,1,9,,,,,,0,0,,0,0,,0,0,1,9
Wine,quarter casks,32.78,,0.25,172.57,4.748797589,,4,,,,4,19,,,,,,0,0,,0,0,,0,0,4,19
Wine,pipes,32.78,,1,172.57,18.99519036,,24,,,,24,456,,,,,,0,0,,0,0,26,26,494,50,950
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,5183,,,,,,,523,,,109,,,494,,6309
