Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Grenadoes,Jamaica,Nevis,St. Christophers,WI,,New England,New York,Philadelphia,Piscataqua,Rhode Island,Salem,NA,,Madeira,SEU,,TOTAL,
,,1765,,,,Sterling,,,,,,,,Quantity,Value,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bread,kegs,24.92,,0.044642857,169.9,0.654796939,,,,,,,,0,0,,40,,,,,40,26,,0,0,40,26
Cash,pounds,1,,1,160.36,0.623596907,,,,,200,,,200,125,,,,,,,0,0,,0,0,200,125
Cheese,pounds,,,,169.9,0,,,,,,,,0,0,,,,500,2500,2700,5700,0,,0,0,5700,0
Chocolate,pounds,,,,169.9,0,,,,,,,,0,0,,,,,,268,268,0,,0,0,268,0
Chocolate,boxes,,,,169.9,0,,,,,,,,0,0,,,,,4,,4,0,,0,0,4,0
Coffee,bags,,,,169.9,0,,5,,,,,,5,0,,2,,,,,2,0,,0,0,7,0
Coffee,barrels,,,,169.9,0,,,,,,,,0,0,,2,,,,,2,0,,0,0,2,0
Coffee,pounds,,,,169.9,0,,,,,,,,0,0,,1005,,,100,100,1205,0,,0,0,1205,0
Loaf sugar,hhds,1.06,,25,169.9,15.59741024,,,,,,,,0,0,,15,,,,,15,234,,0,0,15,234
Loaf sugar,barrels,1.06,,6.25,169.9,3.89935256,,,,,,,,0,0,,3,,,,,3,12,,0,0,3,12
Loaf sugar,tierces,1.06,,17,169.9,10.60623896,,,,,,,,0,0,,34,,,,,34,361,,0,0,34,361
Loaf sugar,pounds,1.06,,0.05,169.9,0.03119482,,,,,,,,0,0,,1000,,,1350,349,2699,84,,0,0,2699,84
Molasses,gallons,1.76,,0.05,169.9,0.051795174,2500,,,,200,,,2700,140,200,1400,,120,757,4057,6534,338,,0,0,9234,478
Pig iron,tons,8.79,,1,169.9,5.173631548,,,,,,,,0,0,,134,95,,,,229,1185,,0,0,229,1185
Rum,gallons,3.02,,0.05,169.9,0.088875809,1500,10900,15900,,200,300,5000,33800,3004,400,1200,,250,2200,5559,9609,854,,0,0,43409,3858
Salt,bushels,1.7,,0.05,169.9,0.050029429,,,,,,,,0,0,,,,,,640,640,32,,0,0,640,32
Spirits,casks,3.02,,0.725,169.9,1.288699235,,,,,,,,0,0,,,,,6,,6,8,,0,0,6,8
Sugar,pounds,52.94,,0.000446429,169.9,0.013910494,,8,58,12,,,14,92,1,,,10,,,37,47,1,,0,0,139,2
Sugar,cwt,52.94,,0.05,169.9,1.55797528,,200,177,36,,,25,438,682,10,,12,,10,68,100,156,,0,0,538,838
Sugar,quarters,52.94,,0.0125,169.9,0.38949382,,3,9,2,,,2,16,6,,,2,,3,9,14,5,,0,0,30,11
Tea,pounds,6.96,,0.05,169.9,0.204826368,,,,,,,,0,0,,,,,,37,37,8,,0,0,37,8
Wine,hhds,47.29,,0.5,169.9,13.91701001,,,,,,,,0,0,,,,,,,0,0,20,20,278,20,278
Wine,pipes,47.29,,1,169.9,27.83402001,,,,,,,4,4,111,,,,,,,0,0,78,78,2171,82,2282
Wine,quarter casks,47.29,,0.25,169.9,6.958505003,,,,,,,4,4,28,,,,,,,0,0,7,7,49,11,77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,4097,,,,,,,,3304,,,2498,,9899
