Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,St. Christophers,WI,,Bermuda,New England,New York,NA,,London,Bristol,Liverpool,GB,,Africa,AFR,,Gibraltar,Madeira,SEU,,TOTAL,
,,1744,,,,Sterling,,,,,Quantity,Value,,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash,pounds,1,,1,121.88,0.82047916,,,,,0,0,346,,,346,284,,,,0,0,,0,0,,,0,0,346,284
Coffee,pounds,,,,166.67,0,,,374,,374,0,,,,0,0,,,,0,0,,0,0,,,0,0,374,0
Ginger,bags,,,,166.67,0,8,,,,8,0,,,,0,0,,,,0,0,,0,0,,,0,0,8,0
Molasses,jars,1.8,,,166.67,0,,,,,0,0,,,,0,0,,,,0,0,,0,0,400,,400,0,400,0
Molasses,hhds,1.8,,5.05,166.67,5.453890922,,,2,14,16,87,,1,19,20,109,,,,0,0,,0,0,,,0,0,36,196
Negroes,,31.04,,1,100,31.04,2,,,,2,62,,,,0,0,,,,0,0,207,207,6425,,,0,0,209,6487
Pimento,bags,,,,166.67,0,,,76,,76,0,,,,0,0,,,,0,0,,0,0,,,0,0,76,0
Rum,tierces,3.2,,3,166.67,5.759884802,10,16,,,26,150,,,,0,0,,,,0,0,,0,0,,,0,0,26,150
Rum,barrels,3.2,,1.45,166.67,2.783944321,,24,6,1,31,86,,,,0,0,,,,0,0,,0,0,,,0,0,31,86
Rum,hhds,3.2,,5.25,166.67,10.0797984,72,126,,115,313,3155,5,13,24,42,423,,,,0,0,,0,0,,,0,0,355,3578
Salt,bushels,2.14,,0.05,166.67,0.064198716,,,,,0,0,,40,,40,3,5440,2464,2011,9915,637,,0,0,800,,800,51,10755,691
Silver,ounces,67.17,,0.004166667,100,0.279875,,,1221,,1221,342,,,,0,0,,,,0,0,,0,0,,,0,0,1221,342
Sugar,hhds,49.97,,0.596428571,166.67,17.88176379,,,5,,5,89,,,,0,0,,,,0,0,,0,0,,,0,0,5,89
Sugar,barrels,49.97,,0.15,166.67,4.497210056,44,90,,20,154,693,,1,33,34,153,,,,0,0,,0,0,,,0,0,188,846
Sugar,casks,49.97,,,166.67,0,,,,,0,0,,,46,46,0,,,,0,0,,0,0,,,0,0,46,0
Wine,casks,27.85,,,166.67,0,,,,,0,0,,,,0,0,,,,0,0,,0,0,46,,46,0,46,0
Wine,bottles,27.85,,,166.67,0,,,,,0,0,,,,0,0,,,,0,0,,0,0,20,,20,0,20,0
Wine,hhds,27.85,,0.5,166.67,8.354832903,20,,,,20,167,,,,0,0,,,,0,0,,0,0,,19,19,159,39,326
Wine,pipes,27.85,,1,166.67,16.70966581,,,,36,36,602,,,,0,0,,,,0,0,,0,0,,236,236,3943,272,4545
Wine,quarter casks,27.85,,0.25,166.67,4.177416452,,,,,0,0,,,,0,0,,,,0,0,,0,0,,8,8,33,8,33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,5433,,,,,972,,,,,637,,,6425,,,,4186,,17653
