Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,St. Christophers,WI,,Turks Island,Bermuda,Philadelphia,Rhode Island,NA,,London,GB,,Africa,AFR,,Isle of May,Madeira,SEU,,TOTAL,
,,1751,,,,Sterling,,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese,hhds,,,,169.86,0,,,,0,0,,,1,,1,0,,0,0,,0,0,,,0,0,1,0
Cheese,barrels,,,,169.86,0,,,,0,0,,,6,,6,0,,0,0,,0,0,,,0,0,6,0
Chocolate,boxes,,,,169.86,0,,,,0,0,,,1,,1,0,,0,0,,0,0,,,0,0,1,0
Flour,barrels,12.34,,0.089285714,169.86,0.648643421,,,,0,0,,,38,,38,25,,0,0,,0,0,,,0,0,38,25
Molasses,hhds,1.86,,5.05,169.86,5.52984811,,380,,380,2101,,,,,0,0,,0,0,,0,0,,,0,0,380,2101
Molasses,gallons,1.86,,0.05,169.86,0.054750971,,450,4870,5320,291,,530,1250,3000,4780,262,,0,0,,0,0,,,0,0,10100,553
Negroes,,27.12,,1,100,27.12,,1,6,7,190,,,,,0,0,,0,0,390,390,10577,,,0,0,397,10767
Rum,gallons,3.49,,0.05,169.86,0.102731661,1800,46275,25540,73615,7563,,440,5560,1030,7030,722,,0,0,,0,0,,,0,0,80645,8285
Salt,bushels,1.23,,0.05,169.86,0.036206288,,900,,900,33,3000,700,,,3700,134,,0,0,,0,0,2000,,2000,72,6600,239
Servants,,9.861818182,,1,100,9.861818182,,,,0,0,,,,,0,0,78,78,769,,0,0,,,0,0,78,769
Ship bread,barrels,14.2,,0.089285714,169.86,0.746413012,,,,0,0,,,60,,60,45,,0,0,,0,0,,,0,0,60,45
Sugar,quarters,47.04,,0.0125,169.86,0.346167432,,18.25,2,20.25,7,,2,2,2,6,2,,0,0,,0,0,,,0,0,26.25,9
Sugar,pounds,47.04,,0.000446429,169.86,0.012363123,21,192,10,223,3,,20,14,,34,0,,0,0,,0,0,,,0,0,257,3
Sugar,cwt,47.04,,0.05,169.86,1.384669728,20,575,33,628,870,,20,13,42,75,104,,0,0,,0,0,,,0,0,703,974
Wine,pipes,30.07,,1,169.86,17.70281408,,20,,20,354,,,3,,3,53,,0,0,,0,0,10,100,110,1947,133,2354
Wine,quarter casks,30.07,,0.25,169.86,4.425703521,,,,0,0,,,,,0,0,,0,0,,0,0,,4,4,18,4,18
Wine,hhds,30.07,,0.5,169.86,8.851407041,,,,0,0,,,,,0,0,,0,0,,0,0,,9,9,80,9,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,11412,,,,,,1347,,,769,,,10577,,,,2117,,26222
