YORK Entries,,,,,,,,,,
SUMMARY,,,,,,,,,,Check
,,,,,,,,,Sum,from
,WI,NA,GB,IRE,NEU,SEU,AFR,UNK,TOTAL,Page
1725,8130,1785,0,1000,0,2795,14567,0,28277,28277
1726,4894,1281,185,0,0,454,36995,586,44395,44395
1727,4841,1264,384,0,0,582,0,0,7070,36913
1728,4787,1246,583,0,0,711,0,0,7327,29430
1729,4734,1229,782,0,0,839,0,0,7583,21948
1730,4680,1211,981,0,0,967,6626,0,14465,14465
1731,4728,1075,0,0,0,1105,0,0,6908,22722
1732,4776,939,0,0,0,1243,24021,0,30979,30979
1733,7119,1043,0,0,0,1041,13058,0,22261,22261
1734,5060,1654,0,0,0,1967,0,0,8680,24802
1735,3000,2265,0,0,0,2892,19185,0,27342,27342
1736,2021,488,0,0,0,1928,32098,0,36535,36535
1737,2728,176,714,0,0,1941,22459,0,28018,28018
1738,1799,439,0,0,0,2107,14332,0,18677,18677
1739,2924,3041,64,0,0,3335,15398,0,24762,24762
1740,14923,746,0,0,0,2164,16250,0,34083,34083
1741,3435,742,1724,0,0,5984,4502,0,16387,16387
1742,3751,1437,268,0,0,2925,29171,0,37552,37552
1743,7764,960,0,0,0,0,34361,0,43085,43085
1744,5433,972,637,0,0,4186,6425,0,17653,17653
1745,2733,1020,611,0,0,1462,11547,0,17373,17373
1746,4859,1182,505,0,0,2551,0,0,9097,21920
1747,6985,1344,399,0,0,3640,0,0,12367,26466
1748,9111,1505,293,0,0,4728,0,0,15638,31013
1749,11237,1667,187,325,0,5817,16326,0,35559,35559
1750,4705,603,0,0,0,3264,0,0,8572,8572
1751,11412,1347,769,0,0,2117,10577,0,26222,26222
1752,10201,645,413,493,0,622,47948,0,60322,60322
1753,8654,1320,447,0,0,1534,0,0,11954,36175
1754,7106,1994,481,0,0,2446,0,0,12027,12027
1755,10483,3154,232,0,0,0,0,0,13869,13869
1756,5183,523,109,0,0,494,0,0,6309,6309
1757,4489,456,118,0,0,1315,0,0,6377,6377
1758,3794,389,126,0,0,2135,0,0,6444,6444
1759,6934,807,0,0,0,1068,0,0,8808,8871
1760,10074,1224,0,0,0,0,0,0,11298,11298
1761,7186,1469,0,0,0,2587,7367,0,18609,18609
1762,2958,2037,0,0,0,1312,2279,0,8586,8586
1763,3701,1841,0,0,0,1666,0,0,7208,8474
1764,4444,1644,253,0,0,2020,0,0,8361,8361
1765,4097,3304,0,0,0,2498,0,0,9899,9899
1766,4383,3130,0,0,0,2336,0,0,9849,10515
1767,4669,2956,0,0,0,2174,0,0,9799,11131
1768,4955,2782,1998,0,0,2012,0,0,11747,11747
1769,3278,2680,33,0,0,3244,0,0,9235,9235
1770,3685,3388,0,0,0,1622,0,0,8695,8759
1771,4091,4096,0,0,0,0,0,96,8283,8283
1772,,,,,,,,,0,
1773,,,,,,,,,0,
1774,,,,,,,,,0,
1775,,,,,,,,,0,
