Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,St. Christophers,WI,,Bermuda,Boston,New Hampshire,Newbury,Philadelphia,Rhode Island,NA,,Bonny,Gambo,AFR,,Isle of May,Madeira,SEU,,TOTAL,
,,1736,,,,Sterling,,,,,Quantity,Value,,,,,,,Quantity,Value,,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beeswax,pounds,,,,167,0,,,,,0,0,,,,,,,0,0,,400,400,0,,,0,0,400,0
Bread,barrels,12.77,,0.089285714,167,0.68274166,,,,,0,0,,,,,87,,87,59,,,0,0,,,0,0,87,59
Cheese,casks,,,,167,0,,,,,0,0,,,,,18,,18,0,,,0,0,,,0,0,18,0
Cotton,bags,1.09,,6,167,3.916167665,,17,4,5,26,102,1,,,,,,1,4,,,0,0,,,0,0,27,106
Flour,barrels,9.61,,0.089285714,167,0.513793841,,,,,0,0,,,,,175,,175,90,,,0,0,,,0,0,175,90
Ginger,bags,,,,167,0,,,32,,32,0,,,,,,,0,0,,,0,0,,,0,0,32,0
Molasses,gallons,1.68,,0.05,167,0.050299401,1350,2650,15830,15285,35115,1766,500,844,313,,200,1900,3757,189,,,0,0,,,0,0,38872,1955
Negroes,,18.5,,1,100,18.5,1,16,9,8,34,629,1,,,,,,1,19,160,185,345,6383,,,0,0,380,7031
Pimento,barrels,,,,167,0,,,3,,3,0,,,,,,,0,0,,,0,0,,,0,0,3,0
Rum,gallons,2.24,,0.05,167,0.067065868,14400,130847,330,22450,168027,11269,4584,2998,,90,600,,8272,555,,,0,0,,,0,0,176299,11824
Salt,bushels,1.64,,0.05,167,0.049101796,,,,1418,1418,70,6200,1052,,150,200,29,7631,375,,,0,0,21000,,21000,1031,30049,1476
Sugar,tierces,32.81,,0.444196429,167,8.726996899,3,,,1,4,35,,,,,,,0,0,,,0,0,,,0,0,4,35
Sugar,hhds,32.81,,0.596428571,167,11.71785714,4,5,31,1,41,480,,1,,,,,1,12,,,0,0,,,0,0,42,492
Sugar,barrels,32.81,,0.15,167,2.947005988,63,665,,98,826,2434,23,2,1,,5,,31,91,,,0,0,,,0,0,857,2525
Wine,quarter casks,21.58,,0.25,167,3.230538922,,,,,0,0,,5,,,,,5,16,,,0,0,,,0,0,5,16
Wine,casks,21.58,,0.25,167,3.230538922,,,,,0,0,,,,,1,,1,3,,,0,0,,,0,0,1,3
Wine,gallons,21.58,,0.007936508,167,0.102556791,,,,,0,0,,,,,1250,,1250,128,,,0,0,,34675,34675,3556,35925,3684
Wine,pipes,21.58,,1,167,12.92215569,,8,,,8,103,,,,,,,0,0,,,0,0,,,0,0,8,103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,16888,,,,,,,,1541,,,,6383,,,,4587,,29399
