Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,Boston,New London,New York,Newbury,Philadelphia,Salem,NA,,London,Bristol,Cowes,Liverpool,Whitehaven,Aberdeen,Glasgow,Leith,GB,,Madeira,SEU,,TOTAL,
,,1760,,,,Sterling,,Quantity,Value,,,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.96,,0.05,158.61,0.093310636,,0,0,,77.5,,,,,48,125.5,12,,,,,,,,,0,0,,0,0,125.5,12
Corn,bushels,2.96,,0.05,158.61,0.093310636,800,800,75,3800,8619.5,60,1000,1829,1500,5409,22217.5,2073,,,,,,,,,0,0,,0,0,23017.5,2148
Cotton,bags,1.32,,,158.61,0,,0,0,,,,,,,,0,0,,2,,,,,16,,18,0,,0,0,18,0
Cotton,pounds,1.32,,0.05,158.61,0.0416115,,0,0,,,,,,,,0,0,,,,,,,300,,300,12,,0,0,300,12
Flour,barrels,14.96,,0.089285714,158.61,0.842137498,232,232,195,,,,,,,7,7,6,,,,,,,,,0,0,,0,0,239,201
Furs,boxes,,,,158.61,0,,0,0,,,,,,,,0,0,1,,,,,,,,1,0,,0,0,1,0
Furs and skins,bundles,,,,158.61,0,,0,0,,,,,,,,0,0,,,,,,,,1,1,0,,0,0,1,0
Heading,pieces,5.35,,0.001,158.61,0.003373053,,0,0,,,,,,,,0,0,,,,,,,,,0,0,1000,1000,3,1000,3
Hoops,,,,,158.61,0,,0,0,,,,,,,,0,0,,,,,,600,3525,,4125,0,,0,0,4125,0
Indigo,pounds,7.97,,0.05,158.61,0.251245193,,0,0,,,,,,,,0,0,,,,,,,100,,100,25,,0,0,100,25
Indigo,kegs,7.97,,,158.61,0,,0,0,,,,,,,,0,0,,1,,,,,,,1,0,,0,0,1,0
Indigo,barrels,7.97,,,158.61,0,,0,0,,,,,,,,0,0,28,5,,,,13,5,,51,0,,0,0,51,0
Indigo,boxes,7.97,,,158.61,0,,0,0,,,,,,,,0,0,24,1,,10,1,,,,36,0,,0,0,36,0
Indigo,casks,7.97,,,158.61,0,,0,0,,,,,,,,0,0,157,27,,60,13,,11,,268,0,,0,0,268,0
Iron,pigs,10.87,,,158.61,0,,0,0,,,,,,,,0,0,,,,,,,850,,850,0,,0,0,850,0
Peas,bushels,2.96,,0.05,158.61,0.093310636,600,600,56,62,358,,288,,2570,32,3310,309,,,,,,,,,0,0,,0,0,3910,365
Pig iron,tons,10.87,,1,158.61,6.853287939,,0,0,,,,,,,,0,0,145,134,25,54,,,207.5,,565.5,3876,,0,0,565.5,3876
Plank,feet,8.56,,0.0005,158.61,0.002698443,,0,0,,,,,,,,0,0,2970,,,1100,2300,,700,,7070,19,,0,0,7070,19
Plank,M feet,8.56,,0.5,158.61,2.698442721,,0,0,,,,,,,,0,0,,,,,4,,,,4,11,,0,0,4,11
Plank,pieces,8.56,,0.005,158.61,0.026984427,,0,0,,,,,,,,0,0,9,,,,,,,,9,0,,0,0,9,0
Planks,,8.56,,0.005,158.61,0.026984427,,0,0,,,,,,,,0,0,,100,,40,,,,,140,4,,0,0,140,4
Pork,boxes,69.3,,,158.61,0,,0,0,,,,1,,,,1,0,,,,,,,,,0,0,,0,0,1,0
Pork,hhds,69.3,,0.1,158.61,4.36920749,5,5,22,,,,,,,,0,0,,,,,,,,,0,0,,0,0,5,22
Pork,barrels,69.3,,0.05,158.61,2.184603745,386,386,843,13,30,,1,,8,,52,114,,,,,,,,,0,0,,0,0,438,957
Rum,hhds,4.73,,5.25,158.61,15.65632684,,0,0,,,,,,,,0,0,1,,,2,,,,,3,47,,0,0,3,47
Shingles,M,,,,158.61,0,,0,0,,,7,,,,,7,0,,,,,,,,,0,0,,0,0,7,0
Skins,hhds,,,,158.61,0,,0,0,,,,,,,,0,0,113.25,10,,28,8,,26,,185.25,0,,0,0,185.25,0
Skins,bundles,,,,158.61,0,,0,0,,,,,,,,0,0,1,,,1,,,,,2,0,,0,0,2,0
Skins,barrels,,,,158.61,0,,0,0,,,,,,,,0,0,1,1,,,,,,,2,0,,0,0,2,0
Staves,,5.35,,0.001,158.61,0.003373053,,0,0,,,,,,,,0,0,76876,70428,5573,17200,22000,5126,302975,2100,502278,1694,3500,3500,12,505778,1706
Staves and heading,,5.35,,0.001,158.61,0.003373053,7000,7000,24,,,,,,,,0,0,,,,,,,,,0,0,,0,0,7000,24
Tobacco,hhds,20.43,,0.5695,158.61,7.335530547,17,17,125,,2,,,,,,2,15,5132,3010,272,1110,1438,242,10300,485,21989,161301,,0,0,22008,161441
Wax,casks,,,,158.61,0,,0,0,,,,,,,,0,0,,,,,,,,1,1,0,,0,0,1,0
Wax,hhds,,,,158.61,0,,0,0,,,,,,,,0,0,2,,,,,,,,2,0,,0,0,2,0
Wax,pounds,,,,158.61,0,,0,0,,,,50,,,,50,0,,,,,,,,,0,0,,0,0,50,0
Wheat,bushels,5.11,,0.05,158.61,0.161086943,,0,0,,9655.5,513,3137,,,4158,17463.5,2813,,,,,,,,,0,0,,0,0,17463.5,2813
Wine,tierces,50.31,,0.3325,158.61,10.54667108,,0,0,,,,,,,,0,0,,,,,,,1,,1,11,,0,0,1,11
Wine,pipes,50.31,,1,158.61,31.71931152,,0,0,,,,7,,,,7,222,1,,,,6,,12,,19,603,,0,0,26,825
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1340,,,,,,,,,5564,,,,,,,,,,167603,,,15,,174522
