Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Montserrat,St. Christophers,WI,,Turks Island,Boston,Halifax,New York,Philadelphia,Piscataqua,Rhode Island,Salem,NA,,Africa,AFR,,TOTAL,
,,1762,,,,Sterling,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash,pounds,1,,1,152.4,0.656167979,,,,,,0,0,,200,300,600,,120,120,298,1638,1075,,0,0,1638,1075
Cheese,pounds,,,,176.26,0,,,,,,0,0,,,,,,,,855,855,0,,0,0,855,0
Chocolate,pounds,,,,176.26,0,,,,,,0,0,,,,,,,,78,78,0,,0,0,78,0
Chocolate,boxes,,,,176.26,0,,,,,,0,0,,,,37,,,,1,38,0,,0,0,38,0
Coffee,barrels,,,,176.26,0,,,,,,0,0,,,,2,,,,,2,0,,0,0,2,0
Coffee,pounds,,,,176.26,0,,,,,,0,0,,100,,,,,,100,200,0,,0,0,200,0
Coffee,bags,,,,176.26,0,,,,,,0,0,,,,60,,,,1,61,0,,0,0,61,0
Dollars,,0.23,,1,100,0.23,,,,,,0,0,,601,,,,,180,,781,180,,0,0,781,180
Ginger,bags,,,,176.26,0,,,,,,0,0,,,,,,,,2,2,0,,0,0,2,0
Ginger,barrels,,,,176.26,0,,,,,,0,0,,,,,,,,3,3,0,,0,0,3,0
Loaf sugar,pounds,1.07,,0.05,176.26,0.030352888,,,,,,0,0,,,,,,,,100,100,3,,0,0,100,3
Loaf sugar,barrels,1.07,,6.25,176.26,3.794110972,,,,,,0,0,,56,,,,,,,56,212,,0,0,56,212
Molasses,tierces,2.29,,3.05,176.26,3.96261205,,,,,,0,0,,,,,,1,,1,2,8,,0,0,2,8
Molasses,hhds,2.29,,5.05,176.26,6.561046182,,,,,,0,0,,,,16,5,5,1,34,61,400,,0,0,61,400
Molasses,barrels,2.29,,1.45,176.26,1.883864745,,,,,,0,0,,30,,,,,,3,33,62,,0,0,33,62
Negroes,,35.61,,1,100,35.61,,,,,,0,0,,5,,,,3,,,8,285,1015,1015,36144,1023,36429
Pimento,barrels,,,,176.26,0,,,,,,0,0,,,,4,,,,,4,0,,0,0,4,0
Pimento,bags,,,,176.26,0,,,,,,0,0,,,,,,,,2,2,0,,0,0,2,0
Plank,M feet,14.224,,0.0005,176.26,0.004034948,,,,,,0,0,,6,,,,,,,6,0,,0,0,6,0
Refined sugar,tierces,1.07,,17,176.26,10.31998185,,,,,,0,0,,2,,23,5,,,1,31,320,,0,0,31,320
Refined sugar,barrels,1.07,,6.25,176.26,3.794110972,,,,,,0,0,,64,,,2,,,,66,250,,0,0,66,250
Refined sugar,pounds,1.07,,0.05,176.26,0.030352888,,,,,,0,0,,400,,,,,,300,700,21,,0,0,700,21
Refined sugar,hhds,1.07,,25,176.26,15.17644389,,,,,,0,0,,,,52,2,,,1,55,835,,0,0,55,835
Rum,hhds,3.94,,5.25,176.26,11.73550437,,253,,6,18,277,3251,2,6,,10,4,15,6,52,95,1115,,0,0,372,4366
Rum,tierces,3.94,,3,176.26,6.706002496,,,,,,0,0,,,,3,,,,1,4,27,,0,0,4,27
Rum,barrels,3.94,,1.45,176.26,3.24123454,,,,,,0,0,,67,,,,,6,3,76,246,,0,0,76,246
Salt,bushels,2.86,,0.05,176.26,0.081130149,1300,,,1900,,3200,260,1500,,,,,,,,1500,122,,0,0,4700,382
Salt,hhds,2.86,,0.35,176.26,0.567911041,,,,,,0,0,,17,,,,20,,108,145,82,,0,0,145,82
Strained sugar,barrels,1.07,,6.25,176.26,3.794110972,,,,,,0,0,,,,23,,,,,23,87,,0,0,23,87
Sugar,barrels,52.15,,0.15,176.26,4.438046068,,118,100,,,218,967,,,,2,,2,,32,36,160,,0,0,254,1127
Sugar,hhds,52.15,,0.632142857,176.26,18.70319415,,4,8,,,12,224,,,,,,,,4,4,75,,0,0,16,299
Sugar,tierces,52.15,,0.489285714,176.26,14.4764836,,,,,,0,0,,,,,,2,,,2,29,,0,0,2,29
Tobacco,hhds,21.42,,0.5635,176.26,6.847934869,,,105,,,105,719,,,,14,,,,,14,96,,0,0,119,815
Virginia currency,pounds,1,,1,152.4,0.656167979,,,23,15,,38,25,,,,,,,,80,80,52,,0,0,118,77
Wine,tierces,50.79,,,176.26,0,,,,,,0,0,,,,1,,,,,1,0,,0,0,1,0
Wine,quarter casks,50.79,,0.25,176.26,7.20384659,,,,,,0,0,,,,,4,,,,4,29,,0,0,4,29
Wine,hhds,50.79,,0.5,176.26,14.40769318,,,,,,0,0,,,,3,,,,,3,43,,0,0,3,43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PRE REGION,,,,,,,,,,,,,5446,,,,,,,,,,5814,,,36144,,47404
