Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Guadeloupe,Jamaica,St. Kitts,WI,,Boston,Burlington NJ,Charlestown,Falmouth,Nantucket,New York,Newbury,Piscataway,Quebec,Rhode Island,Salem,St. Johns Newf,NA,,London,Whitehaven,Glasgow,GB,,TOTAL,
,,1761,,,,Sterling,,,,,,Quantity,Value,,,,,,,,,,,,,Quantity,Value,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,34,,1,172.71,19.68617914,,,,,,0,0,,,,,,,,,,3,,,3,59,,,,0,0,3,59
Beans,bushels,2.42,,0.05,172.71,0.070059638,,,,,,0,0,235,,,20,,30,,,,160,140,,585,41,,,,0,0,585,41
Bread,barrels,25.18,,0.089285714,172.71,1.301727917,,37,50,40,,127,165,150,,,,,,,,,50,,224,424,552,,,,0,0,551,717
Corn,bushels,2.42,,0.05,172.71,0.070059638,800,5141,1200,500,2600,10241,717,21096,2900,1700,4848,1700,10764.5,1485,4500,1500,9060,13100,1335,73988.5,5184,,,,0,0,84229.5,5901
Flaxseed,bushels,4.9,,0.05,172.71,0.141856291,,,,,,0,0,100,,,,,136.5,,,,,,,236.5,34,,,,0,0,236.5,34
Flour,barrels,14.82,,0.089285714,172.71,0.766148043,,336,50,45,10,441,338,811,,,,5,49,,10,,165,,473,1513,1159,,,,0,0,1954,1497
Heading,,8.53, ,0.001,172.71,0.004938915,,,,,,0,0,220,,,,,,,,,,,,220,1,,,,0,0,220,1
Hemp,tons,4.81,,9.333333333,172.71,25.99347654,,,,,,0,0,,,,,,,,,,1.5,,,1.5,39,,,,0,0,1.5,39
Hoops,,,,,172.71,0,1000,,,,,1000,0,,,,,,,,,,,,,0,0,,,,0,0,1000,0
Iron,tons,11.34,,1,172.71,6.56591975,,,,,,0,0,11,,,,,,,,,,,,11,72,263,,28,291,1911,302,1983
Logs (walnut),feet,13.648,,0.0005,172.71,0.003951132,,,,,,0,0,,,,,,,,,,,,,0,0,80,,,80,0,80,0
Molasses,hhds,2.42,,5.05,172.71,7.076023392,,,,,,0,0,,,,,,,,,2,,2,,4,28,,,,0,0,4,28
Peas,bushels,2.42,,0.05,172.71,0.070059638,,,,,,0,0,,,,,,60,,,,,8,,68,5,,,,0,0,68,5
Peas,barrels,2.42,,0.175,172.71,0.245208731,,4,,,,4,1,,,,,,,,,,,,,0,0,,,,0,0,4,1
Plank,pieces,13.648,,0.005,172.71,0.03951132,,157,,,,157,6,,,,,,,,,,,,,0,0,,,,0,0,157,6
Plank,feet,13.648,,0.0005,172.71,0.003951132,,20370,,6000,,26370,104,360,,,,,,,,,,,,360,1,,,,0,0,26730,105
Planks,,13.648,,0.005,172.71,0.03951132,,27,,,,27,1,,,,,,,,,,,,,0,0,,,,0,0,27,1
Planks,M,13.648,,0.5,172.71,3.951131955,,,,,,0,0,,,,,,,,,,,,,0,0,,,,0,0,0,0
Pork,pounds,73.92,,0.00025,172.71,0.010700017,,,,,,0,0,,,,,,287,,,,,,,287,3,,,,0,0,287,3
Pork,barrels,73.92,,0.05,172.71,2.140003474,,171,8,35,,214,458,58,,,1,,,,10,100,17,3,,189,404,,,,0,0,403,862
Pork,hhds,73.92,,0.1,172.71,4.280006948,,,,,,0,0,,,,,,,,,,,3,,3,13,,,,0,0,3,13
Rum,hhds,3.93,,5.25,172.71,11.94632621,,,,,,0,0,,,,,,,,,5,,,,5,60,,,,0,0,5,60
Rum,barrels,3.93,,1.45,172.71,3.299461525,,,,,,0,0,,,,,,,,,,,,,0,0,,,3,3,10,3,10
Rye,bushels,2.42,,0.05,172.71,0.070059638,,,,,,0,0,,,,,,,,,,35,25,,60,4,,,,0,0,60,4
Salt,bushels,2.42,,0.05,172.71,0.070059638,,,,,,0,0,,,,,,,200,,225,,,,425,30,,,,0,0,425,30
Shingles,,,,,172.71,0,,83000,,,,83000,0,,,,,,,,,,,,,0,0,,,,0,0,83000,0
Staves,,8.53,,0.001,172.71,0.004938915,17000,9950,,,,26950,133,8550,7000,,,,6642,,,,,,,22192,110,93772,3000,16600,113372,560,162514,803
Sugar,hhds,49.14,,0.632142857,172.71,17.98593017,,,,,,0,0,,,,,,,,,1,,,,1,18,,,,0,0,1,18
Tobacco,hhds,21.52,,0.5665,172.71,7.058699554,,3,1,,,4,28,1,,,,,,,,1,,,,2,14,3738,268,399,4405,31094,4411,31136
Tobacco,casks,21.52,,,172.71,0,,,,,,0,0,,,,,,,,,,1,,,1,0,,,,0,0,1,0
Wheat,bushels,5.03,,0.05,172.71,0.145619825,,,,,,0,0,17408,,,,40,7713,6,100,,270,1872,,27409,3991,,,,0,0,27409,3991
Wine,pipes,48.83,,1,172.71,28.27282728,,,,,,0,0,,,,,,,,,,5,,,5,141,,,,0,0,5,141
Wine,hhds,48.83,,0.5,172.71,14.13641364,,,,,,0,0,,,,,,,,,,,,,0,0,,,4,4,57,4,57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,1951,,,,,,,,,,,,,,11963,,,,,33632,,47546
