Good,Unit,Price,Price,Conv,Exch,Price,Antigua,WI,,Boston,Rhode Island,Salem,NA,,London,Liverpool,Whitehaven,Glasgow,GB,,TOTAL,
,,1763,,,,Sterling,,Quantity,Value,,,,Quantity,Value,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Bread,barrels,30.18,,0.089285714,173,1.557597027,32,32,50,,,,0,0,,,,,0,0,32,50
Corn,bushels,3.75,,0.05,173,0.108381503,5698,5698,618,2200,7208,11893,21301,2309,,,,,0,0,26999,2927
Flour,barrels,16.94,,0.089285714,173,0.874277457,,0,0,,,2,2,2,,1,,,1,1,3,3
Flour,pounds,16.94,,0.000446429,173,0.004371387,,0,0,,1600,,1600,7,,,,,0,0,1600,7
Flour,casks,16.94,,,173,0,,0,0,,,,0,0,,1,,,1,0,1,0
Handspikes,,,,,173,0,54,54,0,,,,0,0,,84,,,84,0,138,0
Hoops,,,,,173,0,,0,0,,,,0,0,,,,600,600,0,600,0
Peas/beans,bushels,3.75,,0.05,173,0.108381503,,0,0,,,164,164,18,,,,,0,0,164,18
Pig iron,tons,9,,1,173,5.202312139,,0,0,,1,,1,5,219,137,54,120,530,2757,531,2762
Plank,pieces,10.912,,0.005,173,0.031537572,,0,0,,,,0,0,89,,,,89,3,89,3
Plank,feet,10.912,,0.0005,173,0.003153757,,0,0,,,,0,0,,,200,780,980,3,980,3
Planks,,10.912,,0.005,173,0.031537572,,0,0,,,,0,0,,159,,,159,5,159,5
Pork,pounds,86.95,,0.00025,173,0.012565029,,0,0,,,660,660,8,,,,,0,0,660,8
Pork,barrels,86.95,,0.05,173,2.51300578,4,4,10,,7,,7,18,,,,,0,0,11,28
Rum,hhds,3.72,,5.25,173,11.28901734,,0,0,,,1,1,11,3,3,,3,9,102,10,113
Shingles,,,,,173,0,29000,29000,0,,,,0,0,,,,,0,0,29000,0
Staves,,66.04,,0.001,173,0.03817341,500,500,19,,1000,,1000,38,101570,59480,10000,163250,334300,12761,335800,12818
Tobacco,hhds,19.48,,0.561,173,6.316924855,9,9,57,,,,0,0,4160,2313,1038,5125,12636,79821,12645,79878
Wheat,bushels,6.06,,0.05,173,0.175144509,,0,0,,,64,64,11,,,,,0,0,64,11
Wine,pipes,49.34,,1,173,28.52023121,,0,0,,,,0,0,,,,2,2,57,2,57
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,754,,,,,2427,,,,,,95510,,98691
