Good,Unit,Price,Price,Conv,Exch,Price,Basseterre,WI,,Boston,New  York,Rhode Island,Salem,NA,,TOTAL,
,,1762,,,,Sterling,,Quantity,Value,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Chocolate,boxes,,,,176.26,0,,0,0,,2,,,2,0,2,0
Coffee,tierces,,,,176.26,0,,0,0,,1,,,1,0,1,0
Ginger,bags,,,,176.26,0,,0,0,,2,,,2,0,2,0
Loaf sugar,pounds,1.07,,0.05,176.26,0.030352888,,0,0,500,,,,500,15,500,15
Loaf sugar,hhds,1.07,,25,176.26,15.17644389,,0,0,,5,,,5,76,5,76
Molasses,barrels,2.29,,0.05,176.26,0.064960853,,0,0,,6,20,,26,2,26,2
Molasses,hhds,2.29,,5.05,176.26,6.561046182,3,3,20,6,,2,4,12,79,15,99
Rum,hhds,2.79,,5.25,176.26,8.310166799,33,33,274,7,15,2,4,28,233,61,507
Rum,barrels,2.79,,1.45,176.26,2.295188925,,0,0,9,63,6,,78,179,78,179
Salt,hhds,2.86,,0.35,176.26,0.567911041,,0,0,14,,,6,20,11,20,11
Sugar,loaves,1.07,,,176.26,0,,0,0,15,,,,15,0,15,0
Sugar,barrels,52.15,,0.15,176.26,4.438046068,,0,0,2,,,4,6,27,6,27
Sugar,hhds,52.15,,0.632142857,176.26,18.70319415,,0,0,,4,,,4,75,4,75
Wine,quarter casks,50.79,,0.25,176.26,7.20384659,,0,0,,17,,,17,122,17,122
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,294,,,,,,819,,1113
