Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,WI,,Turks Island,Bermuda,Boston,Carolina,North Carolina,Philadelphia,NA,,London,Glasgow,GB,,Africa,Calabar,Sierra Leone,AFR,,Madeira,SEU,,Unknown,UNK,,TOTAL,
,,1726,,,,Sterling,,,,Quantity,Value,,,,,,,Quantity,Value,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,30,,0.05,144.46,1.038349716,,,,0,0,,,,,5,,5,5,,,0,0,,,,0,0,,0,0,,0,0,5,5
Cotton,cwt,,,,144.46,0,,1,,1,0,,,,,,,0,0,,,0,0,,,,0,0,,0,0,,0,0,1,0
Molasses,tierces,1.45,,3.05,144.46,3.06140108,,7,,7,21,,,,,,,0,0,,,0,0,,,,0,0,,0,0,,0,0,7,21
Molasses,casks,1.45,,,144.46,0,,14,50,64,0,,,,,,,0,0,,,0,0,,,,0,0,,0,0,5,5,0,69,0
Molasses,hhds,1.45,,5.05,144.46,5.068877198,,6,,6,30,,1,2,,,,3,15,,,0,0,,,,0,0,,0,0,,0,0,9,45
Negroes,,23.92,,1,100,23.92,,69,,69,1650,,,,,,,0,0,,,0,0,1178,205,163,1546,36980,,0,0,3,3,72,1618,38702
Pitch,barrels,19.19,,0.05,144.46,0.664197702,,,,0,0,,,,,220,,220,146,,,0,0,,,,0,0,,0,0,,0,0,220,146
Pork,barrels,48.58,,0.05,144.46,1.681434307,,,,0,0,,,,20,25,,45,76,,,0,0,,,,0,0,,0,0,,0,0,45,76
Rum,tierces,3.19,,3,144.46,6.624671189,2,62,,64,424,,2,,,,2,4,26,,,0,0,,,,0,0,,0,0,,0,0,68,450
Rum,barrels,3.19,,1.45,144.46,3.201924408,1,101,,102,327,,1,,,,,1,3,,,0,0,1,,,1,3,,0,0,,0,0,104,333
Rum,gallons,3.19,,0.05,144.46,0.110411186,347,3400,,3747,414,,1,105,,,,106,12,,,0,0,,,,0,0,,0,0,3200,3200,353,7053,779
Rum,hhds,3.19,,5.25,144.46,11.59317458,1,102,,103,1194,,1,8,,,,9,104,,,0,0,1,,,1,12,,0,0,,0,0,113,1310
Salt,bushels,1.85,,0.05,144.46,0.064031566,,,,0,0,2250,3900,,,,,6150,394,2000,,2000,128,,,,0,0,,0,0,800,800,51,8950,573
Sugar,casks,36.35,,0.175,144.46,4.403468088,3,3,20,26,114,,,,,,60,60,264,,,0,0,,,,0,0,,0,0,25,25,110,111,488
Sugar,barrels,36.35,,0.175,144.46,4.403468088,,158,,158,696,,3,,,,,3,13,,,0,0,,,,0,0,,0,0,,0,0,161,709
Sugar,tierces,36.35,,0.480803571,144.46,12.09830391,,2,,2,24,,,,,,,0,0,,,0,0,,,,0,0,,0,0,,0,0,2,24
Tar,barrels,14.74,,0.05,144.46,0.510175827,,,,0,0,,,,,216,,216,110,,,0,0,,,,0,0,,0,0,,0,0,216,110
Turpentine,barrels,30.47,,0.05,144.46,1.054617195,,,,0,0,,,,,81,,81,85,,,0,0,,,,0,0,,0,0,,0,0,81,85
Wine,pipes,20.5,,1,144.46,14.19077945,,,,0,0,,,2,,,,2,28,,4,4,57,,,,0,0,32,32,454,,0,0,38,539
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,4894,,,,,,,,1281,,,,185,,,,,36995,,,454,,,586,,44395
