Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,New Providence,Boston,New England,New York,NA,,TOTAL,
,,1760,,,,Sterling,,Quantity,Value,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Chocolate,boxes,,,,158.61,0,,0,0,,,,3,3,0,3,0
Dollars,,0.23,,1,100,0.23,,0,0,,,200,,200,46,200,46
Molasses,gallons,2.7,,0.05,158.61,0.085114432,180,180,15,,,500,700,1200,102,1380,117
Refined sugar,casks,1.01,,,158.61,0,,0,0,,,,9,9,0,9,0
Rum,gallons,4.73,,0.05,158.61,0.149107875,62470,62470,9315,,4112,946,110,5168,771,67638,10086
Salt,hhds,2.555,,0.35,158.61,0.5638043,,0,0,,,45,,45,25,45,25
Sugar,pounds,47.85,,0.000446429,158.61,0.013468008,104,104,1,10,,94,,104,1,208,2
Sugar,cwt,47.85,,0.05,158.61,1.508416872,489,489,738,32,20,25,,77,116,566,854
Sugar,quarters,47.85,,0.0125,158.61,0.377104218,12,12,5,1,,10,,11,4,23,9
Wine,quarter casks,50.31,,0.25,158.61,7.92982788,,0,0,,7,2,11,20,159,20,159
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,10074,,,,,,1224,,11298
