year,good,value,movement_type
sv,Corn,810,CL
sv,Peas,97,CL
sv,Pork,613,CL
sv,Pork,30,CL
sv,Shingles,0,CL
sv,Skins,0,CL
sv,Skins,0,CL
sv,Staves,2,CL
sv,Staves (barrels),34,CL
sv,Staves (hhds),10,CL
sv,Staves (pipes),55,CL
sv,Tobacco,38256,CL
sv,Tobacco,56,CL
sv,Wheat,274,CL
sv,Wine,15,CL
sv,Corn,829,CL
sv,Deer Skins,0,CL
sv,Deer skins (raw),0,CL
sv,Flour,5,CL
sv,Heading,0,CL
sv,Peas,174,CL
sv,Plank,1,CL
sv,Pork,6,CL
sv,Pork,2,CL
sv,Pork,1115,CL
sv,Pork,319,CL
sv,Rum,6,CL
sv,Skins,0,CL
sv,Skins,0,CL
sv,Skins,0,CL
sv,Staves,37,CL
sv,Staves (barrels),19,CL
sv,Staves (hhds),19,CL
sv,Staves (pipes),39,CL
sv,Tobacco,78,CL
sv,Tobacco,28021,CL
sv,Wheat,714,CL
sv,Beef,4,CL
sv,Corn,1297,CL
sv,Heading,3,CL
sv,Peas,125,CL
sv,Plank,3,CL
sv,Pork,31,CL
sv,Pork,356,CL
sv,Skins,0,CL
sv,Skins,0,CL
sv,Skins,0,CL
sv,Staves (barrels),18,CL
sv,Staves (hhds),34,CL
sv,Staves (pipes),51,CL
sv,Tobacco,18911,CL
sv,Tobacco,81,CL
sv,Wax,0,CL
sv,Wheat,786,CL
sv,Wine,323,CL
sv,Cheese,0,CL
sv,Corn,282,CL
sv,Deer Skins,0,CL
sv,Flour,13,CL
sv,Furs,0,CL
sv,Hemp,0,CL
sv,Hoops,0,CL
sv,Iron,0,CL
sv,Logs (walnut),0,CL
sv,Peas,5,CL
sv,Plank,11,CL
sv,Planks,1,CL
sv,Pork,7,CL
sv,Pork,38,CL
sv,Pork,583,CL
sv,Shingles,0,CL
sv,Shingles,0,CL
sv,Skins,0,CL
sv,Skins,0,CL
sv,Staves,229,CL
sv,Tobacco,53,CL
sv,Tobacco,31447,CL
sv,Wheat,528,CL
sv,Beef,0,CL
sv,Corn,728,CL
sv,Deer Skins,0,CL
sv,Deer Skins,0,CL
sv,Flour,1,CL
sv,Logs (walnut),0,CL
sv,Peas,0,CL
sv,Pig iron,0,CL
sv,Pitch,20,CL
sv,Plank,14,CL
sv,Plank,0,CL
sv,Planks,8,CL
sv,Pork,0,CL
sv,Pork,61,CL
sv,Pork,0,CL
sv,Pork,749,CL
sv,Potatoes,0,CL
sv,Rum,51,CL
sv,Shingles,0,CL
sv,Skins,0,CL
sv,Skins,0,CL
sv,Skins,0,CL
sv,Skins,0,CL
sv,Skins,0,CL
sv,Skins,0,CL
sv,Staves,256,CL
sv,Staves (pipes),4,CL
sv,Tar,161,CL
sv,Tobacco,6,CL
sv,Tobacco,13222,CL
sv,Wax,0,CL
sv,Wheat,428,CL
sv,Beans,110,CL
sv,Corn,1471,CL
sv,Deer Skins,0,CL
sv,Deer Skins,0,CL
sv,Flour,8,CL
sv,Furs,0,CL
sv,Logs (walnut),0,CL
sv,Peas,193,CL
sv,Pig iron,0,CL
sv,Pitch,53,CL
sv,Plank,9,CL
sv,Plank,0,CL
sv,Planks,1,CL
sv,Poles (hoop),0,CL
sv,Pork,541,CL
sv,Pork,0,CL
sv,Pork,13284,CL
sv,Pork,0,CL
sv,Rice,0,CL
sv,Shingles,0,CL
sv,Skins,0,CL
sv,Skins,0,CL
sv,Skins,0,CL
sv,Staves,224,CL
sv,Tar,823,CL
sv,Tobacco,20367,CL
sv,Wax,0,CL
sv,Wheat,588,CL
1737,Beans,30,CL
1737,Beef,42,CL
1737,Corn,2383,CL
1737,Deer Skins,0,CL
1737,Deer skins (raw),0,CL
1737,Heading,4,CL
1737,Heading (hhd),4,CL
1737,Peas,147,CL
1737,Plank,26,CL
1737,Plank,0,CL
1737,Planks,1,CL
1737,Pork,3,CL
1737,Pork,12,CL
1737,Pork,1708,CL
1737,Rum,37,CL
1737,Rum,41,CL
1737,Rum,5,CL
1737,Salt,102,CL
1737,Shingles,0,CL
1737,Skins,0,CL
1737,Skins,0,CL
1737,Skins,0,CL
1737,Skins,0,CL
1737,Skins,0,CL
1737,Skins,0,CL
1737,Staves,458,CL
1737,Tobacco,38852,CL
1737,Wax,0,CL
1737,Wheat,1313,CL
1737,Wine,6,CL
1737,Wine,503,CL
1738,Beans,18,CL
1738,Beef,33,CL
1738,Corn,422,CL
1738,Deer Skins,0,CL
1738,Peas,276,CL
1738,Plank,7,CL
1738,Pork,37,CL
1738,Pork,9,CL
1738,Pork,1493,CL
1738,Rum,2,CL
1738,Rum,360,CL
1738,Salt,363,CL
1738,Salt,3,CL
1738,Shingles,0,CL
1738,Skins,0,CL
1738,Skins,0,CL
1738,Skins,0,CL
1738,Skins,0,CL
1738,Skins,0,CL
1738,Skins,0,CL
1738,Staves,244,CL
1738,Sugar,18,CL
1738,Tobacco,50,CL
1738,Tobacco,27069,CL
1738,Wax,0,CL
1738,Wheat,2076,CL
1738,Wine,2,CL
1739,Beans,2,CL
1739,Beef,66,CL
1739,Corn,432,CL
1739,Deer Skins,0,CL
1739,Deer Skins,0,CL
1739,Flour,49,CL
1739,Heading (hhd),6,CL
1739,Hemp,0,CL
1739,Negroes,53,CL
1739,Peas,39,CL
1739,Plank,6,CL
1739,Plank,1,CL
1739,Planks,1,CL
1739,Pork,110,CL
1739,Pork,0,CL
1739,Pork,1749,CL
1739,Rum,16,CL
1739,Salt,2,CL
1739,Shingles,0,CL
1739,Skins,0,CL
1739,Skins,0,CL
1739,Skins,0,CL
1739,Skins,0,CL
1739,Staves,221,CL
1739,Staves and heading,8,CL
1739,Tobacco,25314,CL
1739,Tobacco,33,CL
1739,Walnut,0,CL
1739,Wheat,1887,CL
1739,Wine,318,CL
1740,Beans,30,CL
1740,Beef,67,CL
1740,Biscuits,3,CL
1740,Corn,1657,CL
1740,Deer Skins,0,CL
1740,Deer Skins,0,CL
1740,Flour,3,CL
1740,Heading,4,CL
1740,Iron,520,CL
1740,Logs (walnut),0,CL
1740,Peas,74,CL
1740,Peas/beans,0,CL
1740,Plank,10,CL
1740,Plank,0,CL
1740,Planks,0,CL
1740,Pork,9,CL
1740,Pork,1,CL
1740,Pork,146,CL
1740,Pork,2518,CL
1740,Pork,39,CL
1740,Rum,4,CL
1740,Shingles,0,CL
1740,Skins,0,CL
1740,Skins,0,CL
1740,Skins,0,CL
1740,Skins,0,CL
1740,Staves,302,CL
1740,Tar,42,CL
